,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
349891,https://anchorage.craigslist.org/apa/d/anchorage-love-to-entertain-this-is-the/7045306109.html,anchorage / mat-su,975,apartment,1100,2,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00303_gBsLTNqyQR1_600x450.jpg,"Arctic Sun Apartment Homes      show contact info   Unit Details: 2-BR 1-BA |Square footage: 1100 sq ft | Terms: 3-12 Months Great apartment renting for only $999/month! Apartment Features: .. Spacious Floor Plans.. Ceiling Fans.. Dining Room.. Patio/Balcony In Select Units.. Large Walk-In Closets In Select Units.. Dishwasher.. Cable Available.. Range.. Abundant Natural Light Wonderful Amenities:.. Online Maintenance Requests.. Public Transportation.. Some Paid Utilities.. Pet Friendly.. Maintenance on site.. 24 HR Maintenance!.. Laundry facilities located in the building!.. Located just minutes from shopping, restaurants, entertainment, parks and public transportation!.. Public Yard & Pet Areas.. Interior Hallways.. Midtown Location.. Online Rent Payment.. Spacious Floor Plans.. On Site Management About Our Community: Welcome home to Arctic Sun in Anchorage AK offering 1 and 2 bedroom apartments. We provide an excellent midtown location with a variety of restaurants - parks - and playgrounds a short walk away. University of Alaska Anchorage is nearby!   Apartment Amenities include: Spacious Floor Plans - Walk-In Closets - Large Windows - Heat Included - Cable Package Included - Pet-Friendly Apartments. A special place for you to conveniently enjoy comfort - privacy and space! Located at: 625 W 46th Ave Anchorage, AK 99503 Pet Policy: Cat(s);Dog(s);Arctic Sun is a pet friendly community. $30 Monthly Pet Rent. $300 Fee. 2 Pet Limit.  The following breeds are not allowed: * Pit Bull * American Pit Bull Terrier * American Staffordshire Terrier * Wolf hybrids * Doberman Pinscher * Saint Bernard * Pit Bull Mix * American Bulldog * Staffordshire Bull Terrier * Rottweiler * German Shepherd * Chow Chow * Great Dane * Akita *Call us at:  show contact info     Website: https://alaska.weidner.com/apartments/ak/anchorage/arctic-sun-0/   Along with our income and credit requirements, we do not automatically exclude rental applicants based on criminal history. Any criminal history will be evaluated in consideration of when the crime occurred, what the underlying conduct entailed and/or what the rental applicant has done since the conviction.EQUAL HOUSING OPPORTUNITY",61.178999999999995,-149.895,ak
349920,https://anchorage.craigslist.org/apa/d/anchorage-1045-huge-2-br-washer-dryer/7044021282.html,anchorage / mat-su,1045,apartment,1100,2,1.0,1,0,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00O0O_kgf1VT1Q35H_600x450.jpg,"Call or Text Today! 268-9951  *NEW YEAR special ~ first month free with a 13 month lease*                 HUGE WEST ANCHORAGE 2 Bedroom                Property Address  4305 | #4 | Wisconsin St., Anchorage, AK 99517      Offered By     Lakeshore  Park Apartment          Description      This first floor apartment features two spacious bedrooms with a shared full-size bathroom. An open floor design living area and Designated Dining Area with the  kitchen looking out to the living space. The kitchen boasts full-size appliances and lots of counter and cabinet space. Stackable washer and dryer in unit...dont worry about sharing or quarters because its NOT SHARED...BRING ON THE LAUNDRY!    Tenant pays GAS AND ELECTRIC. Please budget between $50 and $200 per month for utilities, depending on season and personal usage.  One assigned space per unit with additional overflow for additional vehicles and your guests.  Zoned for Lakehood Elementary, Romig Middle and West High Schools  6 month lease options available with an additional $50 per month added to the rent; we encourage our tenants to stay longer with price incentives ;)  Pets allowed are cats only, sorry no dogs. Additional rent is $20 per month per cat, with NO ADDITIONAL PET DEPOSIT!!   Successful applicants for tenancy will have the following characteristics: *Maximum occupancy:4 people *Household income of at least 2.5 times the monthly rent *Currently employed (or enrolled in educational program) with a verifiable income *Minimum credit score of 575 *Verifiable previous tenancy: Positive record of timely rent payments, compliance with agreements and no evictions *No unit damage or housekeeping problems at current or previous place of tenancy. *Must be of legal age to sign rental agreement. (18 years of age) Applicant may be denied based on current or past criminal convictions.        Amenities          Garbage Disposal       Cats on Approval       In Unit Laundry       Full-Size Appliances & Dishwasher       Quite Neighborhood       24 Hour On-Call Maintenance       Premium Cable Included       Professionally Managed       Details           Beds/Baths: 2BD/1.0BA       Square Feet: 1100        Rental Terms         Rent: $995.00      Application Fee: $25.00 per person 18 and over     Security Deposit: $1045.00     Pictures shown may not be from available unit      Phone 268-9951 Call or Text For Appointment",61.1901,-149.936,ak
349930,https://anchorage.craigslist.org/apa/d/anchorage-large-2br-washer-dryer-new/7048574001.html,anchorage / mat-su,1045,apartment,1100,2,1.0,1,0,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00k0k_6OGjH01XrNt_600x450.jpg,"Call or Text Today! 268-9951   !! NEW YEAR special - first month free w/13 month lease !!                 HUGE WEST ANCHORAGE 2 Bedroom                Property Address  4317 | #6 | Wisconsin St Anchorage, AK 99517      Offered By     Lakeshore  Park Apartment          Description      This first floor apartment features two spacious bedrooms with a shared full-size bathroom. An open floor design living area and Designated Dining Area with the  kitchen looking out to the living space. The kitchen boasts full-size appliances and lots of counter and cabinet space. Stackable washer and dryer in unit...dont worry about sharing or quarters because its NOT SHARED...BRING ON THE LAUNDRY!  You will be impressed with the very large courtyard!!  Tenant pays GAS AND ELECTRIC. Please budget between $50 and $200 per month for utilities, depending on season and personal usage.  One assigned space per unit with additional overflow for additional vehicles and your guests.  Zoned for Lakehood Elementary, Romig Middle and West High Schools  6 month lease options available with an additional $50 per month added to the rent; we encourage our tenants to stay longer with price incentives ;)  Pets allowed are cats only, sorry no dogs. Additional rent is $20 per month per cat, with NO ADDITIONAL PET DEPOSIT!!   Successful applicants for tenancy will have the following characteristics: *Maximum occupancy:4 people *Household income of at least 2.5 times the monthly rent *Currently employed (or enrolled in educational program) with a verifiable income *Minimum credit score of 575 *Verifiable previous tenancy: Positive record of timely rent payments, compliance with agreements and no evictions *No unit damage or housekeeping problems at current or previous place of tenancy. *Must be of legal age to sign rental agreement. (18 years of age) Applicant may be denied based on current or past criminal convictions.        Amenities          Garbage Disposal       Cats on Approval       In Unit Laundry       Full-Size Appliances & Dishwasher       Quite Neighborhood       24 Hour On-Call Maintenance       Premium Cable Included       Professionally Managed       Details           Beds/Baths: 2BD/1.0BA       Square Feet: 1100        Rental Terms         Rent: $1,045.00      Application Fee: $25.00 per person 18 and over     Security Deposit: $1,045.00     Pictures shown may not be from available unit      Phone 268-9951 Call or Text For Appointment",61.1812,-149.94299999999998,ak
349958,https://anchorage.craigslist.org/apa/d/anchorage-at-last-this-is-what-youve/7047206590.html,anchorage / mat-su,1265,apartment,840,3,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00r0r_a6waNjR8hn8_600x450.jpg,"Legacy West Apartment Homes  Featured Floorplan: 3-bed / 1-bathMonthly Rent Starting at: $1265Deposit: Call  show contact info Description: Come home to spacious living areas and comfortable living at Legacy West Apartment Homes. Our community features beautiful garden-style apartments with mature landscaping, designated pet areas, a community laundry center, and onsite management to care for all your resident needs. Inside your apartment home, you'll find a fully equipped kitchen with all major appliances, including stove, hood, refrigerator, and dishwasher. You'll also love your own private fireplace, washer dryer, and patio/balcony. Visit us today!Lease Terms: 3-12 Month Apartment Amenities:-- Linen Closet-- Right next to Turpin St Play Ground-- Cable Ready-- Patio or Balcony-- Heating-- Dishwasher-- Some units with views of the Chugach Range-- School bus stops directly in front of property-- Complete Kitchen Appliance Package Community Features: -- Pet Friendly-- Courtesy Patrol-- Emergency Maintenance-- Reserved Parking-- Maintenance on site-- Near Stores, Restaurants and Movie theater-- Property Manager on Site-- Accepts Electronic Payments-- Assigned and Guest Parking-- Turpin Park just outside community-- Residential Neighborhood-- Located by Boundary Ave and Turpin St-- Proximity - one mile to Elmendorf Air Force Base Call us:  show contact info   141 Patterson St Anchorage, AK 99504Website: https://alaska.weidner.com/apartments/ak/anchorage/legacy-west-0/ **Price reflects rent only, other charges may apply. Price is subject to change daily, depending on availability. **  We conduct a credit and criminal background check on all future residents and have income requirements of 3.0 x the amount of rent.  Along with our income and credit requirements, we do not automatically exclude rental applicants based on criminal history. Any criminal history will be evaluated in consideration of when the crime occurred, what the underlying conduct entailed and/or what the rental applicant has done since the conviction.  459-8796EQUAL HOUSING OPPORTUNITY",61.2234,-149.748,ak
350005,https://anchorage.craigslist.org/apa/d/anchorage-your-dream-efficiency-is/7024736121.html,anchorage / mat-su,825,apartment,450,0,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00r0r_jQmDzQWW8u6_600x450.jpg,"Terrace on the LakeA great apartment home in Anchorage is waiting for you!We currently have gorgeous: Efficiency Bedroom 1 Bathroom from $825 - $1225 per month. Anchorage, AK studio, 1 & 2 bedroom apartments for rent at Terrace on the Lake close to walking trails with washer and dryer, microwave, wood burning fireplace, walk-in closets, dedicated parking with plug-in, mountain views, fitness center, sauna, and multi-purpose court. show contact info Highlights:* 24-Hour Emergency Maintenance* Military Discount* Washer & Dryer in Each Home* Walk-in-Closets in Select Homes* On-Site Management* Package Receiving* Triple Pane Windows - Keep Out the Noise, Keep In the Heat!* Parking With Plug-Ins* Vinyl Flooring* Refrigerator* Washer/Dryer* Cable Ready* Dishwasher* Carpeting* Microwave* Free Cable TV* Garbage Disposal* Pet Play Area* Corporate Suites* Barbecue Area* Accepts Credit Card Payments* Accepts Electronic PaymentsPh.  show contact info  2421 Bentzen Cir Anchorage, AK 99517    Website: https://alaska.weidner.com/apartments/ak/anchorage/terrace-on-the-lake-0/   Professionally managed by Weidner Apartment Homes, LLCIncluded in rent is cable, garbage, on site management staff, maintenance, and emergency maintenance for after hours and the weekends. You are responsible for only water and electric, which we help out with during the winter months!  *Price reflects rent only, other charges may apply. Price is subject to change daily, depending on availability.  Along with our income and credit requirements, we do not automatically exclude rental applicants based on criminal history. Any criminal history will be evaluated in consideration of when the crime occurred, what the underlying conduct entailed and/or what the rental applicant has done since the conviction. EQUAL HOUSING OPPORTUNITY",61.1736,-149.929,ak
350010,https://anchorage.craigslist.org/apa/d/anchorage-looking-for-the-perfect-place/7040883660.html,anchorage / mat-su,920,apartment,540,1,1.0,1,1,1,0,0,0,laundry in bldg,,https://images.craigslist.org/00101_g6HtapaUtXs_600x450.jpg,Look no farther this is the place for you! 540 Sq Ft. Ceiling Fan Vaulted Ceiling Energy Efficient Appliances Fireplace Patio / Balcony Secure Entrance,61.1972,-149.909,ak
350030,https://anchorage.craigslist.org/apa/d/2-bed-1ba-icludes-utilities-great-view/7035343871.html,anchorage / mat-su,1150,apartment,900,2,1.0,0,0,0,0,0,0,w/d in unit,carport,https://images.craigslist.org/00w0w_2FEboVyrjEr_600x450.jpg,"Beautiful city view in a quiet setting up in Bear Valley.  Rent includes utilities.  No smokers or pets allowed.  One year lease and security deposit of $900.  Upstairs unit, carport for two cars.  $1,150 per month.",61.1054,-149.78,ak
350036,https://anchorage.craigslist.org/apa/d/anchorage-just-what-you-wanted-great-2/7024734881.html,anchorage / mat-su,1235,apartment,920,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00101_h7QCrsJvgi5_600x450.jpg,"Visit Our Community Today!Terrace on the Lake2421 Bentzen Cir Anchorage, AK 99517Nestled among trees on landscaped grounds next to Bentzen Lake, Terrace on the Lake Apartment Homes offers easy access to the airport, schools, downtown and south Anchorage. Features include nearby bicycle, running and skiing trails, in home washer/dryer, wood burning fireplaces, fitness center, sauna, views of the Chugach Mt. Range and an outdoor tennis court. Nearby schools are Northwood, Romig & West. Pet friendly - cats and dogs are welcome!  show contact info  Our Amenities:  -- Fitness Center-- Public Transportation-- Cardio Machines-- Accepts Electronic Payments-- Accepts Credit Card Payments-- Vinyl Flooring-- Microwave-- Carpeting-- Free Cable TV-- Refrigerator-- Garbage Disposal-- Washer/Dryer-- Dishwasher-- Cable Ready-- Professional On Site Management Team-- On-Site Management-- Close To Walking Trails-- Mountain Views-- Triple Pane Windows - Keep Out the Noise, Keep In the Heat!-- Online Rent Payment-- Online Payments and Maintenance Requests-- Lots of Cabinet Space Our Pet-Policy: Cat(s);Dog(s);Breed Restriction;No Weight Restrictions;There are no weight restrictions, but there are some breed restrictions. Please contact the community for specific breed information. The number of household pets (dogs or cats) is limited to two. Residents may also have up to two (2) birds, turtles must be kept in an aquarium, hamsters and gerbils must be caged, tropical fish must be limited   Our Phone-Number:  show contact info Website: https://alaska.weidner.com/apartments/ak/anchorage/terrace-on-the-lake-0/ Directions: Terrace on the Lake apartments are conveniently located on Bentzen Circle, right of International Airport Road - making any commute right around the corner!  Included in rent is cable, garbage, on site management staff, maintenance, and emergency maintenance for after hours and the weekends. You are responsible for only water and electric, which we help out with during the winter months!  *Price reflects rent only, other charges may apply. Price is subject to change daily, depending on availability.  Along with our income and credit requirements, we do not automatically exclude rental applicants based on criminal history. Any criminal history will be evaluated in consideration of when the crime occurred, what the underlying conduct entailed and/or what the rental applicant has done since the conviction.EQUAL HOUSING OPPORTUNITY",61.1736,-149.929,ak
350055,https://fairbanks.craigslist.org/apa/d/ester-winter-move-in-special-free-rent/7036758273.html,fairbanks,2100,house,1700,3,1.5,1,1,1,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00e0e_h4UBLPdeyZx_600x450.jpg,"Yes, thatâs right!  With a 2 year lease we will give you your first monthâs rent for free.  You do still need to pay the Security Deposit, but this limited time offer cuts your move-in cost in half.  If you can only agree to a 1 year lease we will still give you half off your first monthâs rent.  Recently renovated, 5 star energy rated home on 2 acres in the hills above the ice fog (often 20 degrees warmer than in town).  Yet only 20 minutes from town!  South facing passive solar design can keep the house warm to well below zero (on sunny days, of course) without even running the heat. Very quiet and private, on heavily forested property with (limited) views of the river and mountains.  Neighbors are close enough you wonât feel completely isolated, but far enough away you rarely see or hear them.  Features:  â¢	3 bedrooms, 1Â½ baths â¢	Spacious open floor plan with vaulted ceilings â¢	Large country kitchen with plenty of cupboards and counter space â¢	Pantry â¢	Open dining area with large picture windows â¢	Sunken living room with south facing wall that is all windows â¢	New Blaze King Princess Ultra airtight wood stove can heat the whole house, even in the coldest temps, to save on oil â¢	Utility room with washer and dryer and System 2000 high tech boiler â¢	Arctic Entry with tile floor â¢	Almost New top of the line double oven range â¢	Recently installed laminate flooring on the main level â¢	Recently installed carpet with extra plush luxury padding everywhere else â¢	New energy efficient windows throughout with window blinds and screens â¢	New front and back entry doors with storm/screen doors â¢	New sinks, faucets and toilets in both bathrooms â¢	Walls recently painted and extensive woodwork all completely refinished â¢	Lots of built in bookshelves â¢	Microwave: can either stay or go â¢	Large front and back decks â Great for the BBQ! â¢	Beautiful lawn â¢	GCI cable for TV, Internet & phone service.  ACS also available â¢	Satellite dishes for both DirecTV and Dish Network already on the roof â¢	Large outdoor antenna on the roof for free over the air TV reception â¢	Oversized heated 2 car detached garage with lots of storage space â¢	Plenty of parking for all your toys (cars, trucks, boats, RVs, etc.)  The rent is $2100 + utilities (heating oil & electric) with a $2100 Security Deposit. Minimum 1 year lease, no smoking please. Pets will be considered on a case by case basis and with an additional deposit.  Please call or text Dave at  show contact info  to set up an appointment to see this exceptional home.  Available now!",64.7857,-148.03,ak
350139,https://anchorage.craigslist.org/apa/d/anchorage-stop-the-perfect-home-awaits/7024676133.html,anchorage / mat-su,1245,apartment,840,3,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00a0a_15nOcDrZqNT_600x450.jpg,"Legacy West Apartment HomesA great apartment home in Anchorage is waiting for you!We currently have gorgeous: 3 Bedroom 1 Bathroom starting at $1255 per month. Pet-friendly, convenient living can be yours at Legacy West Apartment Homes! Our beautiful community is conveniently located near Joint Base Elmendorf-Richardson and Tikahntnu Commons. Discover comfortable living spaces in our spacious 2 and 3 bedroom apartments, featuring private balconies and patios, an in home washer and dryer, and convenient dishwasher. Call us for a tour today!This 3 bedroom features a custom updated bathroom - unique to all others! show contact info Highlights:.. Schools Track: Creekside, Begich, Bartlett.. Turpin Park just outside community.. Complete Kitchen Appliance Package.. Located by Boundary Ave and Turpin St.. Residential Neighborhood.. Accepts Electronic Payments.. Washer/Dryer In Homes.. Proximity - one mile to Elmendorf Air Force Base.. Cable Ready.. Carpeting.. Bathtub/Shower.. Online Rent Payment.. Pet Friendly.. Mature Landscaping.. On Site Management.. Reserved ParkingPh.  show contact info  141 Patterson St Anchorage, AK 99504  Facebook: https://www.facebook.com/Legacy-West-Apartment-Homes-168459536506368/  Website: https://alaska.weidner.com/apartments/ak/anchorage/legacy-west-0/   Professionally managed by Weidner Apartment Homes, LLC**Price reflects rent only, other charges may apply. Price is subject to change daily, depending on availability. **  We conduct a credit and criminal background check on all future residents and have income requirements of 3.0 x the amount of rent.  Along with our income and credit requirements, we do not automatically exclude rental applicants based on criminal history. Any criminal history will be evaluated in consideration of when the crime occurred, what the underlying conduct entailed and/or what the rental applicant has done since the conviction.  459-8796 EQUAL HOUSING OPPORTUNITY",61.2234,-149.748,ak
