,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
20462,https://washingtondc.craigslist.org/nva/apa/d/mc-lean-close-to-silver-line-metro/7049751307.html,"washington, DC",3215,apartment,1156,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,https://images.craigslist.org/00000_gxqVbDcfvne_600x450.jpg,"Brand new apartment in Tysons, VA  The Kingston at Mclean Crossing  WELCOME TO YOUR EVERYDAY OASIS! Steps away from the Urban Bustle, Kingston offers the opportunity for a breath of fresh air. Where big city living meets the serenity of a neighborhood feel, discover the perfect place to call home. A place to relax. A place to play. A place to call your own. Live the life you've dreamed of at Kingston. Bright and fresh, warm and comfortable, Kingston offers something for everyone.  Apartment Features â¢	Chef-quality kitchens with Regent cabinetry offering extensive storage â¢	GEÂ® Energy Star stainless steel kitchen appliances and Moen fixtures â¢	Bosch Ascenta washer and dryers conveniently in each residence â¢	STRATUM flooring in kitchen and common spaces â¢	Quartz countertops in kitchen and bathrooms â¢	Spacious walk-In closets â¢	Large outdoor balconies in select floor plans â¢	Floor-to-ceiling windows providing plenty of natural light  Community Amenities â¢	Iconic, two-story Sky Bridge for special events â¢	Resort-style pool deck and spacious courtyard with poolside grilling and dining options â¢	Rooftop private grilling and dining areas, in addition to outdoor gardens â¢	High DefinitionTM Golf Simulator â¢	State of the Art Fitness Center with yoga studio â¢	Kids' play room for all ages â¢	Ample collaborative work space â¢	Fully-equipped, upscale private dining room with catering capability for any occasion â¢	Complimentary Wifi in All Common Areas â¢	Pet-friendly community with grooming facilities  Parking Controlled-access garage parking. Please call for more details.   Pet Policy Cats and Dogs are allowed. Breed and weight restrictions apply, please call for details.   Equal Housing Opportunity",38.953,-77.2295,dc
20542,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-beautiful-one-bedroom/7049730858.html,"washington, DC",1843,apartment,684,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00D0D_1WRdMWvP5Av_600x450.jpg,"Core 8621 Georgia Avenue, Silver Spring, MD, 20910Full Color Brochure Here:http://foulger-pratt.aptdetails.com/6c6221 Call Now:  show contact info  x 135OR Text 135 to  show contact info  to text us.High-Impact Residences in Downtown Silver Spring This is a 1 Bedroom, 1 Bath, approximately 684 Sq. Ft.  Your home is the center of your life. At Core, we do it justice with carefully selected features and finishes, and delicate craftsmanship that shows in every detail.Make the most of life with energized social spaces and all of the extras at the ready â from electric car chargers and bike storage to a comfy coffee lounge.With a selection of studio, one-, and two-bedroom apartments, Core is not simply a residence, but a destination all its own. Call, Email or Text us today for a showing. Features - Glass backsplashes  - Usb charging outlets  - Plush bathrooms with luxe finishes  - Stainless steel energy star appliances  - Private balconies and patios*  - Verizon Fios  - Stylish gourmet kitchens  - Full-size washer and dryer  - Nest programmable thermostat  - Designer lighting  - Rich wood look flooring throughout  - Granite countertops  - Keyless entry *in select units Community Amenities - Electric car charging stations  - Indoor garage parking  - Elegant concierge services  - Bicycle storage facility  - Emergency maintenance  - Zipcar access  - Luxury rooftop pool with expansive sundeck for lounging  - Private rooftop clubroom with fully equipped kitchen, cozy Fireplace and outdoor sky lounge  - Custom dog park and grooming spa  - Cutting-edge fitness center Office Hours Monday-Friday:9:00AM-6:00PMSaturday:10:00AM-5:00PMSunday:12:00PM-5:00PMPet Policy Pet Friendly - Call or Text for details Equal Housing Opportunity bKx52PcwhpBx",38.9982,-77.0338,dc
20554,https://washingtondc.craigslist.org/nva/apa/d/sterling-lease-today-beautiful-wooded/7049730743.html,"washington, DC",1695,apartment,1080,2,2.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00J0J_lVe92hvXdAz_600x450.jpg,"VIEW OUR WEBSITE:  https://www.morgan-properties.com/apartments/va/sterling/village-at-potomac-falls/  Village at Potomac Falls, managed by Morgan Properties 20576 Idle Brook Ter Sterling, VA 20165  show contact info   Our community is perfectly situated close to the best establishments in Sterling, including One Loudon and Tysons Corner Center for all of your entertainment needs. So whether you choose to find entertainment nearby or in the comfort of our community - at a picnic area or the resident clubhouse - it's all close to home. Did we mention how easy it is to check chores off the list? A car wash area is onsite, and our business center provides you with a quiet space to get some work done, with WiFi available.  This two bedroom two bathroom apartment features a washer and dryer, dishwasher, 9-foot ceilings, patio or balcony area, walk in closets and more!   Apartment Features * Walk-in Closet * Breakfast Bar * Vertical Blinds * Roommate Friendly Floor Plan * Private Balcony * Air Conditioning * Pantry * Wood-Like Floors * Granite Countertops * Alarm Activation Available * Direct Access to Apartment from Garage * Ceiling Fan * Stainless Steel Appliances * Garden Tub * Fireplace * Linen Closet * Pre-wired for internet and cable * Whirlpool Appliances * Central Heat and Air * Refrigerator, Microwave, Dishwasher & Electric Stove * Full sized Washer and Dryer in unit * Disposal * Private Patio * Washer and Dryer in unit   Apply NOW and receive $750 off Two Bedroom Apartment Homes! On select homes. Limited Time Only.  Certain Restrictions apply. New Applicants Only. Application must be approved. No Cash Value.    Community Features * Extra Storage * After-Hours Emergency Maintenance * Fitness Studio * Controlled Access * Garage Parking * We are a social community! Find our Yelp, Facebook or Twitter page online.  * Easy Access to Public Transportation * Our prices can change daily, price listed is based on today's availability. Call for details. * Car Wash Area * Guest Parking * Corporate Housing * Green Recycling Center * Credit Cards Accepted * Reserved Parking * Bark Park * Basketball Court * Renters Insurance is Required * Swimming Pool * Package Acceptance * Professionally Managed * Minutes from Restaurants, Shopping, and Much More * Outdoor Grill Area * Putting Green * Liability Insurance is Required * Playground * Landscaped Courtyards * Short Term Lease Available * Short or Long Term Lease Available * Long Term Lease Available * Sun Deck * Covered Parking  [#7006816]",39.0458,-77.4232,dc
20568,https://washingtondc.craigslist.org/doc/apa/d/washington-2-months-rent-free-on/7045876523.html,"washington, DC",3000,apartment,639,1,1.0,1,1,0,0,0,1,w/d in unit,carport,https://images.craigslist.org/00202_fZnvjYObBU5_600x450.jpg,"**Lease rent is $3,400. $3,000 reflects effective monthly rent inclusive of up front concession of two months over 18 month lease term. Must take possession by 01/15/20.**   To schedule a tour We now book our tour appointments online! Please call or text us at   show contact info  to self-schedule from your phone! Book your appointment online today or anytime 24/7! Property Description Experience the finest in boutique apartment living at Ora with refined features, premier amenities, and panoramic vistas of DC's most distinguished neighborhood, Kalorama. Breathing new life into an inimitable address, Ora offers a fresh take on sophistication in the city. Ora's next-level perks are designed to accentuate the defining nature of life in Kalorama. Ora's modern amenities including a fully equipped fitness center with a Peloton(R) bike; a rooftop sky lounge and terrace with grilling stations and 360-degree views; a resident lounge with a coffee bar and a workspace with complimentary WiFi; an exclusive, resident-only Ora Club with a wet bar and multi-media entertainment system... and more! Call Ora ""home"" and discover a whole new view. Details Availability date: Today Pets: Cats, Small Dogs (< 25lb), Large Dogs (> 25lb) Pet notes: Dogs Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢100 lb Weight Limit â¢2 Pet Limit Cats Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢2 Pet Limit Deposit: $300 and up based on credit Leasing options:  Leasing notes: None Application fee: $75 per adult Amenities Included in Utilities Cost: Garbage, Gas Utilities Cost: Based on usage Laundry: In Unit Parking type: Covered, Off-Street  Parking notes: 275 Appliances: Dishwasher, Refrigerator, Garbage disposal, Microwave, Range/Oven Exterior: Balcony/Patio** (in select apts) Heating/cooling: Central AC Wiring: Cable-ready Facilities and Recreation: Fitness center, Clubhouse, Barbecue, Roof Top Sky Lounge Security and Access: Elevator, Controlled access Views: City Additional features: Hardwood floor, Tile floor, Granite countertop, Non-Smoking Property, Pet Spa Offered by: Ora  Equal Housing Opportunity",38.9165,-77.0477,dc
20912,https://washingtondc.craigslist.org/doc/apa/d/washington-get-2-months-rent-free-on/7045876148.html,"washington, DC",3062,apartment,653,1,1.0,1,1,0,1,0,1,w/d in unit,carport,https://images.craigslist.org/00a0a_7uWvRfpSJjH_600x450.jpg,"**Lease rent is $3,470. $3,062 reflects effective monthly rent inclusive of up front concession of two months over 18 month lease term. Must take possession by 01/15/20.**   To schedule a tour We now book our tour appointments online! Please call or text us at   show contact info  to self-schedule from your phone! Book your appointment online today or anytime 24/7! Property Description Experience the finest in boutique apartment living at Ora with refined features, premier amenities, and panoramic vistas of DC's most distinguished neighborhood, Kalorama. Breathing new life into an inimitable address, Ora offers a fresh take on sophistication in the city. Ora's next-level perks are designed to accentuate the defining nature of life in Kalorama. Ora's modern amenities including a fully equipped fitness center with a Peloton(R) bike; a rooftop sky lounge and terrace with grilling stations and 360-degree views; a resident lounge with a coffee bar and a workspace with complimentary WiFi; an exclusive, resident-only Ora Club with a wet bar and multi-media entertainment system... and more! Call Ora ""home"" and discover a whole new view. Details Availability date: Today Pets: Cats, Small Dogs (< 25lb), Large Dogs (> 25lb) Pet notes: Dogs Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢100 lb Weight Limit â¢2 Pet Limit Cats Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢2 Pet Limit Deposit: $300 and up based on credit Leasing options:  Leasing notes: None Application fee: $75 per adult Amenities Included in Utilities Cost: Garbage, Gas Utilities Cost: Based on usage Laundry: In Unit Parking type: Covered, Off-Street  Parking notes: 275 Appliances: Dishwasher, Refrigerator, Garbage disposal, Microwave, Range/Oven Exterior: Balcony/Patio** (in select apts) Heating/cooling: Central AC Wiring: Cable-ready Facilities and Recreation: Fitness center, Clubhouse, Barbecue, Roof Top Sky Lounge Security and Access: Elevator, Controlled access Views: City Additional features: Hardwood floor, Tile floor, Granite countertop, Non-Smoking Property, Pet Spa Offered by: Ora  Equal Housing Opportunity",38.9165,-77.0477,dc
20955,https://washingtondc.craigslist.org/nva/apa/d/arlington-its-wonderful-life-at/7049672801.html,"washington, DC",3295,apartment,1330,3,3.0,0,0,0,0,0,0,w/d in unit,,https://images.craigslist.org/00w0w_1M8RLuDRWgr_600x450.jpg,"Location:   4301 N Henderson Rd. - Arlington, VA 22203 Rental Information:$3295 - $3415 /Month |3 Bedroom 3 Bath | 1300 sq ftLease Term:  12-Month, 13-Month  Call: Thomas Place at  show contact info  Amenities featured in these residences include a PRECOR exercise facility with state of the art cardio theater and strength equipment and fully equipped kitchens with electric smooth-top range, microwave, frost free refrigerator, icemaker, dishwasher, and disposal. Come experience this convenient community, Because Where You Live Matters.   PROPERTY FEATURES â¶ Business Center â¶ Controlled Access â¶ Emergency Maintenance â¶ Extra Storage â¶ Fitness Center â¶ Public Transportation â¶ Trail, Bike, Hike, Jog  HIGHLIGHTS â¶ PRECOR Exercise Facility â¶ 24-Hour Emergency Maintenance â¶ Accepts Electronic Payments â¶ Assigned Garage Parking â¶ Close to Restaurants, Grocery Store, Shopping â¶ Community Room â¶ Concrete, Noise-Reducing Walls â¶ Disability Access â¶ Open Layouts â¶ Patio w/ 3 Gas Grilling Stations â¶ Your Choice of Comcast or Verizon Fios  INTERIOR FEATURES â¶ Air Conditioning â¶ Cable Ready â¶ Dishwasher â¶ Elevator â¶ Microwave â¶ New/Renovated Interior â¶ Oversized Closets â¶ Refrigerator â¶ Smoke Free â¶ Washer & Dryer in Unit  INTERIOR HIGHLIGHTS â¶ Abundant Closet Space â¶ Designer Flooring and Lighting â¶ Fully Equipped Kitchen â¶ High Speed Internet and Cable TV Available â¶ Individually Controlled Heating & Cooling â¶ Private Balcony â¶ Sound Proofing Between Residences â¶ Walk in Closet â¶ Wall-to-Wall Carpeting      Website: http://www.rentdittmar.com/apartment-communities/Henderson-ParkEQUAL HOUSING OPPORTUNITY",38.8738,-77.1142,dc
21117,https://washingtondc.craigslist.org/doc/apa/d/washington-306-newly-renovated-studio/7045874591.html,"washington, DC",1836,apartment,426,0,1.0,1,1,0,0,0,1,w/d in unit,carport,https://images.craigslist.org/00D0D_alRPO2BhAUi_600x450.jpg,"**Lease rent is $2,080. $1,836 reflects effective monthly rent inclusive of up front concession of two months over 18 month lease term. Must take possession by 01/15/20.**  To schedule a tour We now book our tour appointments online! Please call or text us at   show contact info  to self-schedule from your phone! Book your appointment online today or anytime 24/7! Property Description Experience the finest in boutique apartment living at Ora with refined features, premier amenities, and panoramic vistas of DC's most distinguished neighborhood, Kalorama. Breathing new life into an inimitable address, Ora offers a fresh take on sophistication in the city. Ora's next-level perks are designed to accentuate the defining nature of life in Kalorama. Ora's modern amenities including a fully equipped fitness center with a Peloton(R) bike; a rooftop sky lounge and terrace with grilling stations and 360-degree views; a resident lounge with a coffee bar and a workspace with complimentary WiFi; an exclusive, resident-only Ora Club with a wet bar and multi-media entertainment system... and more! Call Ora ""home"" and discover a whole new view. Details Availability date: Today Pets: Cats, Small Dogs (< 25lb), Large Dogs (> 25lb) Pet notes: Dogs Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢100 lb Weight Limit â¢2 Pet Limit Cats Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢2 Pet Limit Deposit: $300 and up based on credit Leasing options:  Leasing notes: None Application fee: $75 per adult Amenities Included in Utilities Cost: Garbage, Gas Utilities Cost: Based on usage Laundry: In Unit Parking type: Covered, Off-Street  Parking notes: 275 Appliances: Dishwasher, Refrigerator, Garbage disposal, Microwave, Range/Oven Exterior: Balcony/Patio** (in select apts) Heating/cooling: Central AC Wiring: Cable-ready Facilities and Recreation: Fitness center, Clubhouse, Barbecue, Roof Top Sky Lounge Security and Access: Elevator, Controlled access Views: City Additional features: Hardwood floor, Tile floor, Granite countertop, Non-Smoking Property, Pet Spa Offered by: Ora  Equal Housing Opportunity",38.9165,-77.0477,dc
21133,https://washingtondc.craigslist.org/doc/apa/d/washington-905-this-unit-has-an-amazing/7045844172.html,"washington, DC",2895,apartment,620,1,1.0,1,1,0,0,0,1,w/d in unit,carport,https://images.craigslist.org/00D0D_alRPO2BhAUi_600x450.jpg,"**Lease rent is $3,280.  $2,895 reflects effective monthly rent inclusive of up front concession of two months over 18 month lease term. Must take possession by 01/15/20.**  To schedule a tour We now book our tour appointments online! Please call or text us at   show contact info  to self-schedule from your phone! Book your appointment online today or anytime 24/7! Property Description Experience the finest in boutique apartment living at Ora with refined features, premier amenities, and panoramic vistas of DC's most distinguished neighborhood, Kalorama. Breathing new life into an inimitable address, Ora offers a fresh take on sophistication in the city. Ora's next-level perks are designed to accentuate the defining nature of life in Kalorama. Ora's modern amenities including a fully equipped fitness center with a Peloton(R) bike; a rooftop sky lounge and terrace with grilling stations and 360-degree views; a resident lounge with a coffee bar and a workspace with complimentary WiFi; an exclusive, resident-only Ora Club with a wet bar and multi-media entertainment system... and more! Call Ora ""home"" and discover a whole new view. Details Availability date: Today Pets: Cats, Small Dogs (< 25lb), Large Dogs (> 25lb) Pet notes: Dogs Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢100 lb Weight Limit â¢2 Pet Limit Cats Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢2 Pet Limit Deposit: $300 and up based on credit Leasing options:  Leasing notes: None Application fee: $75 per adult Amenities Included in Utilities Cost: Garbage, Gas Utilities Cost: Based on usage Laundry: In Unit Parking type: Covered, Off-Street  Parking notes: 275 Appliances: Dishwasher, Refrigerator, Garbage disposal, Microwave, Range/Oven Exterior: Balcony/Patio** (in select apts) Heating/cooling: Central AC Wiring: Cable-ready Facilities and Recreation: Fitness center, Clubhouse, Barbecue, Roof Top Sky Lounge Security and Access: Elevator, Controlled access Views: City Additional features: Hardwood floor, Tile floor, Granite countertop, Non-Smoking Property, Pet Spa Offered by: Ora  Equal Housing Opportunity",38.9165,-77.0477,dc
21142,https://washingtondc.craigslist.org/doc/apa/d/washington-504-make-this-renovated-2/7045843308.html,"washington, DC",3989,apartment,817,2,2.0,1,1,0,0,0,0,w/d in unit,carport,https://images.craigslist.org/00D0D_alRPO2BhAUi_600x450.jpg,"**Lease rent is $4,520.  $3,989 reflects effective monthly rent inclusive of up front concession of two months over 18 month lease term.  Must take possession by 12/15/19.**  To schedule a tour We now book our tour appointments online! Please call or text us at   show contact info  to self-schedule from your phone! Book your appointment online today or anytime 24/7! Property Description Experience the finest in boutique apartment living at Ora with refined features, premier amenities, and panoramic vistas of DC's most distinguished neighborhood, Kalorama. Breathing new life into an inimitable address, Ora offers a fresh take on sophistication in the city. Ora's next-level perks are designed to accentuate the defining nature of life in Kalorama. Ora's modern amenities including a fully equipped fitness center with a Peloton(R) bike; a rooftop sky lounge and terrace with grilling stations and 360-degree views; a resident lounge with a coffee bar and a workspace with complimentary WiFi; an exclusive, resident-only Ora Club with a wet bar and multi-media entertainment system... and more! Call Ora ""home"" and discover a whole new view. Details Availability date: Today Pets: Cats, Small Dogs (< 25lb), Large Dogs (> 25lb) Pet notes: Dogs Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢100 lb Weight Limit â¢2 Pet Limit Cats Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢2 Pet Limit Deposit: $300 and up based on credit Leasing options:  Leasing notes: None Application fee: $75 per adult Amenities Included in Utilities Cost: Garbage, Gas Utilities Cost: Based on usage Laundry: In Unit Parking type: Covered, Off-Street  Parking notes: 275 Appliances: Dishwasher, Refrigerator, Garbage disposal, Microwave, Range/Oven Exterior: Balcony/Patio** (in select apts) Heating/cooling: Central AC Wiring: Cable-ready Facilities and Recreation: Fitness center, Clubhouse, Barbecue, Roof Top Sky Lounge Security and Access: Elevator, Controlled access Views: City Additional features: Hardwood floor, Tile floor, Granite countertop, Non-Smoking Property, Pet Spa Offered by: Ora  Equal Housing Opportunity",38.9165,-77.0477,dc
21386,https://washingtondc.craigslist.org/doc/apa/d/washington-large-renovated-1-bdrm/7045842559.html,"washington, DC",3330,apartment,687,1,1.0,1,1,0,0,0,1,w/d in unit,carport,https://images.craigslist.org/00D0D_alRPO2BhAUi_600x450.jpg,"To schedule a tour We now book our tour appointments online! Please call or text us at   show contact info  to self-schedule from your phone! Book your appointment online today or anytime 24/7! Property Description Experience the finest in boutique apartment living at Ora with refined features, premier amenities, and panoramic vistas of DC's most distinguished neighborhood, Kalorama. Breathing new life into an inimitable address, Ora offers a fresh take on sophistication in the city. Ora's next-level perks are designed to accentuate the defining nature of life in Kalorama. Ora's modern amenities including a fully equipped fitness center with a Peloton(R) bike; a rooftop sky lounge and terrace with grilling stations and 360-degree views; a resident lounge with a coffee bar and a workspace with complimentary WiFi; an exclusive, resident-only Ora Club with a wet bar and multi-media entertainment system... and more! Call Ora ""home"" and discover a whole new view. Details Availability date: Today Pets: Cats, Small Dogs (< 25lb), Large Dogs (> 25lb) Pet notes: Dogs Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢100 lb Weight Limit â¢2 Pet Limit Cats Allowed  â¢$55 Monthly Pet Rent â¢$500 Fee â¢2 Pet Limit Deposit: $300 and up based on credit Leasing options:  Leasing notes: None Application fee: $75 per adult Amenities Included in Utilities Cost: Garbage, Gas Utilities Cost: Based on usage Laundry: In Unit Parking type: Covered, Off-Street  Parking notes: 275 Appliances: Dishwasher, Refrigerator, Garbage disposal, Microwave, Range/Oven Exterior: Balcony/Patio** (in select apts) Heating/cooling: Central AC Wiring: Cable-ready Facilities and Recreation: Fitness center, Clubhouse, Barbecue, Roof Top Sky Lounge Security and Access: Elevator, Controlled access Views: City Additional features: Hardwood floor, Tile floor, Granite countertop, Non-Smoking Property, Pet Spa Offered by: Ora  Equal Housing Opportunity",38.9165,-77.0477,dc
