,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
27587,https://delaware.craigslist.org/apa/d/newark-beautiful-3-bedroom-and-2-bath/7040321516.html,delaware,859,apartment,1458,3,2.0,1,1,1,0,0,1,,attached garage,https://images.craigslist.org/00W0W_ajRA7KQxWoN_600x450.jpg,"The large windows surrounding the home make this space light and bright! The households kitchen is well equipped with an electric range, refrigerator, and room for a dining nook. Each of the households bedrooms are large in size with adequate closet space for storage.",39.7011,-75.7375,de
30571,https://delaware.craigslist.org/apa/d/condo-apartment-housing-for-rent/7049100655.html,delaware,1500,condo,1138,2,2.0,0,0,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00c0c_l239GHgmuTD_600x450.jpg,"Painters Crossing  2 bed, 2.0 bath, 1138 sqft, $1,500.00  Painters Crossing  Chadds Ford, PA 19317  2 beds  Full Baths: 2  Half Baths: 0  Square Feet: 1138   Description  Location, Location, Location and much, much more. Easy access to West Chester, Wilmington and Philadelphia. Great, clean, bright, lower unit, new front load washer and dryer, new heating and AC units and refrigerator. Enjoy tennis, basketball, pool, playground and trails. Tenant pays electric, cable and phone ONLY!",39.875,-75.5506,de
31042,https://delaware.craigslist.org/apa/d/newark-stay-warm-in-new-home-this-winter/7039390256.html,delaware,1250,apartment,665,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00T0T_d3ZoXBVZl80_600x450.jpg,"Another great Galman community you're looking for. Unwind at the swimming pool, or take advantage of the fitness center or tennis courts. At Cooper's Place, enjoy our convenient location close to public transportation, shopping, and entertainment. With a wide variety of apartment layouts to choose from featuring large living rooms & modern kitchens, there's a perfect home for you at Cooper's Place. Contact us today to schedule a personal tour!",39.6662,-75.7196,de
32862,https://delaware.craigslist.org/apa/d/wilmington-efficient-appliances-large/7036009428.html,delaware,1235,apartment,1500,3,3.0,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00Z0Z_dZicNv4WNSy_600x450.jpg,"Lighthouse Hill is the ideal community for anyone who needs to be close to downtown Wilmington without suffering from the congestion of the city. The community offers its residents beautifully appointed one, two, and three bedroom apartments with newly renovated kitchens and all new appliances. Now under new management, Lighthouse Hill strives to satisfy all community residents with attentive and timely service.  -New HVAC Systems -Landscaped Courtyards -Refrigerator -New Dog Park -New Windows -Pass-thru Kitchens -Dishwasher -Walk-In Closets -Air Conditioner -Tiled Dining Area -Hardwood Floors -On-site Management Office  Call: show contact info",39.7559,-75.499,de
32941,https://delaware.craigslist.org/apa/d/wilmington-nine-foot-ceilings-laminated/7043569409.html,delaware,1098,apartment,475,0,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00d0d_4huUfyPpqUz_600x450.jpg,"The Residences at Rodney Square include the highest quality upgrades and amenities making them one of the most sought after properties when searching for Wilmington apartments for rent.  Each pet-friendly and modern apartment includes 9â² ceilings, washers and dryers in every unit, laminate flooring, and much more.  As an added bonus, when you live at The Residences at Rodney Square, you are automatically eligible to participate in the Play Where You Live program which gives you access to discounts at local businesses!  Building amenities include a state-of-the-art fitness center, business center, screening room with theatre-style seating , resident lounge with pool table, and more! Call today to schedule a tour and see why our Wilmington apartments for rent are the best in the area.  -Engineered Hardwood Flooring -Spacious Bathrooms -Walk-in Closets -Convenience and resident services at your fingertips. -Laminated Hardwood Flooring -Furry friends are welcomed with open arms. -Work from home in our fully-equipped business center. -Resort-Style Resident Lounge with Billiards! -Washer/Dryer in Every Home -Programmable Thermostats -Incredible Views of Downtown Wilmington -Take in a movie in our media room with theater-style seating.  Call:  show contact info",39.7447,-75.5484,de
32942,https://delaware.craigslist.org/apa/d/wilmington-two-story-fitness-center/7037901886.html,delaware,1893,apartment,871,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00Z0Z_aiJaAZkv2kX_600x450.jpg,"The former office park known as Concord Plaza has been reimagined to introduce a true walkable lifestyle to suburban Wilmington, Delaware by adding new shops and apartments along Silverside Road. The Concord apartments feature unparalleled luxury amenities for residents, including a two-story fitness center, expansive outdoor courtyard with a pool, dog washing station, spa treatment room, clubhouse, media lounge, and more. We offer 1- or 2-bedroom apartment rentals in Wilmington, DE.  Our community is conveniently located near existing onsite office services, such as doctorâs offices and daycare center. If you are a student at Wilmington University, Brandywine, residing at our luxury apartments in Wilmington, DE will give you an easy commute every day! Within close proximity, you will have access to the trail along the Brandywine Creek, great restaurants, cafe's and more!  -Two-Story Fitness Center -Outdoor Courtyard with Private Terraces, BBQ area and Resort-style Swimming Pool -Amazon Hub Lockers -Walk-in Closets -Dog spa/ Washing Station -Sliding Barn Doors -Open kitchens with large islands and breakfast bars -Retail, fine-dining and services on-site -Professionally Managed by ResideBPG -Washer/Dryer in every home -Two-Story Resident Lounge -Floor Plans with office space and dens  Call:  show contact info",39.8188,-75.5064,de
32943,https://delaware.craigslist.org/apa/d/wilmington-2-bed-1-bath-full-quality/7047408335.html,delaware,1062,apartment,820,2,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00S0S_5reDwTOO4Fg_600x450.jpg,"Beds: 2 Baths: 1 Floor Plan: 2 Bed 1 Bath  Greenview at Chestnut Run features One, Two and Three bedroom apartments for rent in Wilmington, DE. The community offers a selection of amenities including off-street parking, on-site laundry and a fitness center, and is set in a park-like atmosphere. It is conveniently located just outside of downtown Wilmington and DART transportation is accessible right outside of the community. Inside the apartments you'll find a variety of features such as spacious layouts, large closets, and modern kitchens. Professionally managed by Berger Rental Communities, residents are provided with unmatched lease flexibilities and access to an award-winning on-site maintenance & office team. Make your move to Greenview at Chestnut Run today!  -Home Purchase Freedom -30-Day Move-In Satisfaction -Convenient Relocation -24/7 Phone Support -Transfer Flexibility -Online Leasing & Service Requests -Security Deposit Alternative -Full Quality Inspection -Pet Friendly- No Weight Limits -Furniture Discounts  Call:  show contact info   Pricing and availability are subject to change.",39.7557,-75.5975,de
32944,https://delaware.craigslist.org/apa/d/wilmington-one-bedroom-one-bathroom/7048467829.html,delaware,1350,apartment,700,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00v0v_aRnmf4bq7Nt_600x450.jpg,"The Residences at Justison Landing offer the most luxurious Wilmington riverfront apartments for rent. Our waterfront apartments are first-in-class with stainless steel appliances, ceramic tile bathrooms, hardwood floors, and balconies with french doors available! Every luxury apartment includes large closets and kitchen spaces with individual heat and A/C controls. These apartments are just minutes from dining, shopping, entertainment venues and more! Plus, while renting at our riverfront Wilmington, DE apartments, you become a ResideBPG member, gaining you discounts at local business through our Play Where You Live program. Call us today to schedule a tour of the best Wilmington riverfront apartments for rent!  -Large Kitchen Islands -Nine Foot Ceilings -Safety, Security, Convenience and Resident Services at Your Fingertips. -European Front-Load Washer/Dryer -Dry-Cleaning Services -Including Del Pez Mexican GastroPub, Currie Salon, Veritas Wine and Beer and Crossfit -Pet-friendly -Ceramic Tile Bathrooms with Shower and Soaking Tub, and Double-Sink Vanities Available -Riverfront Parks and Walkways -Dishwasher and Microwave -Stainless-Steel Appliances Including Glass-Top -Large Closet Space  Call:  show contact info",39.7394,-75.5578,de
32945,https://delaware.craigslist.org/apa/d/wilmington-dog-spa-washing-station/7046930774.html,delaware,2374,apartment,1245,2,2.0,0,0,1,0,0,0,,,https://images.craigslist.org/00707_5meMa1VBXTJ_600x450.jpg,"The former office park known as Concord Plaza has been reimagined to introduce a true walkable lifestyle to suburban Wilmington, Delaware by adding new shops and apartments along Silverside Road. The Concord apartments feature unparalleled luxury amenities for residents, including a two-story fitness center, expansive outdoor courtyard with a pool, dog washing station, spa treatment room, clubhouse, media lounge, and more. We offer 1- or 2-bedroom apartment rentals in Wilmington, DE.  Our community is conveniently located near existing onsite office services, such as doctorâs offices and daycare center. If you are a student at Wilmington University, Brandywine, residing at our luxury apartments in Wilmington, DE will give you an easy commute every day! Within close proximity, you will have access to the trail along the Brandywine Creek, great restaurants, cafe's and more!  -Sliding Barn Doors -Two-Story Fitness Center -Amazon Hub Lockers -Luxurious Bathrooms with Soaking Tub and Shower -Outdoor Courtyard with Private Terraces, BBQ area and Resort-style Swimming Pool -Retail, fine-dining and services on-site -Walk-in Closets -Media Room with Lounge Style Seating -Spa Treatment Room -Floor Plans with office space and dens -Professionally Managed by ResideBPG -Dog spa/ Washing Station  Call:  show contact info",39.8188,-75.5064,de
32946,https://delaware.craigslist.org/apa/d/wilmington-1-bed-1-bath-convenient/7041347232.html,delaware,912,apartment,715,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00H0H_f9Nq6NJe62p_600x450.jpg,"Beds: 1 Baths: 1 Floor Plan: Wilmington Deluxe  Chestnut Run Village features one, two and three-bedroom apartments for rent in Wilmington, DE. The community offers off-street parking as well as gas, water, sewer, and trash removal. It is conveniently located near public transportation options and major roadways. Inside the apartments, you'll find a variety of features such as spacious layouts, large closets, and you'll have the choice of outdoor living spaces with a selection of apartments that include patios and balconies. Professionally managed by Berger Rental Communities, residents are provided with unmatched lease flexibilities and access to an award-winning on-site maintenance and office team. Make your move to Chestnut Run Village today!  -Close to tax-free shopping, major employers and downtown Wilmington -Online Leasing & Service Requests -Security Deposit Alternative -Pet Friendly-No Weight Limits -24/7 Phone Support -Full Quality Inspection -Easily accessible to major highways and public transportation -Gas, Sewer, Water and Trash Included -Pet Friendly -Green and flowered areas -Convenient Relocation -On-site Management & Maintenance  Call:  show contact info   Pricing and availability are subject to change.",39.7535,-75.594,de
32947,https://delaware.craigslist.org/apa/d/wilmington-programmable-thermostats/7043569440.html,delaware,1393,apartment,1075,2,2.0,0,0,1,0,0,0,,,https://images.craigslist.org/00a0a_ivCvzVEckuR_600x450.jpg,"The Residences at Rodney Square include the highest quality upgrades and amenities making them one of the most sought after properties when searching for Wilmington apartments for rent.  Each pet-friendly and modern apartment includes 9â² ceilings, washers and dryers in every unit, laminate flooring, and much more.  As an added bonus, when you live at The Residences at Rodney Square, you are automatically eligible to participate in the Play Where You Live program which gives you access to discounts at local businesses!  Building amenities include a state-of-the-art fitness center, business center, screening room with theatre-style seating , resident lounge with pool table, and more! Call today to schedule a tour and see why our Wilmington apartments for rent are the best in the area.  -Walk-in Closets -Large Closets -State-of-the-art fitness center with free weights open 24/7. -Convenience and resident services at your fingertips. -Web-Programmable Thermostat -Furry friends are welcomed with open arms. -Get a little work done and stay connected in our well-equipped Business Center -Incredible Views of Downtown Wilmington -Resort-Style Resident Lounge with Billiards! -Spacious Bathrooms -Take in a Movie. It's time to unwind with some friends -Work from home in our fully-equipped business center.  Call:  show contact info",39.7447,-75.5484,de
32948,https://delaware.craigslist.org/apa/d/wilmington-hardwood-flooring-stainless/7033597431.html,delaware,1068,apartment,475,0,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00q0q_2osD9YiryIx_600x450.jpg,"The Residences at Rodney Square include the highest quality upgrades and amenities making them one of the most sought after properties when searching for Wilmington apartments for rent.  Each pet-friendly and modern apartment includes 9â² ceilings, washers and dryers in every unit, laminate flooring, and much more.  As an added bonus, when you live at The Residences at Rodney Square, you are automatically eligible to participate in the Play Where You Live program which gives you access to discounts at local businesses!  Building amenities include a state-of-the-art fitness center, business center, screening room with theatre-style seating , resident lounge with pool table, and more! Call today to schedule a tour and see why our Wilmington apartments for rent are the best in the area.  -Large Closets -Kitchens with Granite Countertops -Incredible Views of Downtown Wilmington -Challenge your Rodney Square neighbors to a game of billiards. -Take in a Movie. It's time to unwind with some friends -Furry friends are welcomed with open arms. -Laminated Hardwood Flooring -Resort-Style Resident Lounge with Billiards! -State-of-the-art fitness center with free weights open 24/7. -Programmable Thermostats -Walk-in Closets -Get a little work done and stay connected in our well-equipped Business Center  Call:  show contact info",39.7447,-75.5484,de
32949,https://delaware.craigslist.org/apa/d/wilmington-two-bedroom-additional/7048560292.html,delaware,1951,apartment,1612,2,2.0,0,0,1,0,0,0,,,https://images.craigslist.org/00v0v_aRnmf4bq7Nt_600x450.jpg,"The Residences at Justison Landing offer the most luxurious Wilmington riverfront apartments for rent. Our waterfront apartments are first-in-class with stainless steel appliances, ceramic tile bathrooms, hardwood floors, and balconies with french doors available! Every luxury apartment includes large closets and kitchen spaces with individual heat and A/C controls. These apartments are just minutes from dining, shopping, entertainment venues and more! Plus, while renting at our riverfront Wilmington, DE apartments, you become a ResideBPG member, gaining you discounts at local business through our Play Where You Live program. Call us today to schedule a tour of the best Wilmington riverfront apartments for rent!  -Dry-Cleaning Services -Garbage Disposal -Polished Laminated Hardwood and Carpet Flooring -Ceramic Tile Bathrooms with Shower and Soaking Tub, and Double-Sink Vanities Available -Dishwasher and Microwave -Pet-friendly -Including Del Pez Mexican GastroPub, Currie Salon, Veritas Wine and Beer and Crossfit -Riverfront Parks and Walkways -Safety, Security, Convenience and Resident Services at Your Fingertips. -Individual Heat and A/C Controls -Open Concept Kitchens -Furry friends are Welcomed With Open Arms.  Call:  show contact info",39.7394,-75.5578,de
32950,https://delaware.craigslist.org/apa/d/wilmington-dog-spa-washing-station-two/7045087633.html,delaware,1818,apartment,871,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00Y0Y_kaXxhDthxv9_600x450.jpg,"The former office park known as Concord Plaza has been reimagined to introduce a true walkable lifestyle to suburban Wilmington, Delaware by adding new shops and apartments along Silverside Road. The Concord apartments feature unparalleled luxury amenities for residents, including a two-story fitness center, expansive outdoor courtyard with a pool, dog washing station, spa treatment room, clubhouse, media lounge, and more. We offer 1- or 2-bedroom apartment rentals in Wilmington, DE.  Our community is conveniently located near existing onsite office services, such as doctorâs offices and daycare center. If you are a student at Wilmington University, Brandywine, residing at our luxury apartments in Wilmington, DE will give you an easy commute every day! Within close proximity, you will have access to the trail along the Brandywine Creek, great restaurants, cafe's and more!  -Retail, fine-dining and services on-site -Floor Plans with office space and dens -Dog spa/ Washing Station -Sliding Barn Doors -Luxurious Bathrooms with Soaking Tub and Shower -Balconies with striking views of the picturesque landscape and shops below -Stainless-Steel Appliances -Washer/Dryer in every home -Outdoor Courtyard with Private Terraces, BBQ area and Resort-style Swimming Pool -Media Room with Lounge Style Seating -Amazon Hub Lockers -Walk-in Closets  Call:  show contact info",39.8188,-75.5064,de
