,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
79232,https://honolulu.craigslist.org/oah/apa/d/waipahu-act-meow-we-woof-love-to-have/7048751976.html,hawaii,1780,townhouse,882,2,1.5,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00O0O_3yPkHPpazTZ_600x450.jpg,"Bring Your Pets! OASIS TOWNHOMES IN WAIPAHU, HAWAII Call Now:  show contact info  x 59OR Text 59 to  show contact info  for more information.Oasis Townhomes 94-207 Waipahu St, Waipahu, HI, 96797Want more info on this unit? See the link (below):http://cl.greystar.com/2oqw84 This is a 2 Bedroom, 1.5 Bath, approximately 882 Sq. Ft.  Aloha & welcome home to Oasis Townhomes located in historic Waipahu, Hawaii. Blending relaxation & sophistication to create the ideal place to come home to, you'll be excited each day to walk back in the door of your apartment. We are within walking distance to local shopping centers, restaurants, entertainment & a short 10 minute drive to the new Ka Makana Aliâi Shopping Center. With easy access to the H1 Freeway & Farrington Highway, your commute to work/school is sure to be quick & easy. Relax poolside, work it out in the Gym, get down to business in the Business Center or enjoy your day at our Dog Park. Here at Oasis Townhomes our professional team personify the Aloha Spirit, providing warm & friendly service to make your stay an enjoyable one. Oasis Townhomes is where our residents love to live. Discover your very own Oasis today! Features - Ceiling Fan(s)  - Newly Renovated Townhomes  - Air Conditioning  - Large Bedrooms  - Washer & Dryer In Select Units Community Amenities - Professional Management  - Great Neighborhood  - Fitness Center  - Business Center  - Online Payments Accepted  - Courtesy Patrol Service  - Military Welcome  - Dog Park  - Leasing Center  - Swimming pool  - Laundry Facility  - Onsite Management  - Gated Community  - 24hr Emergency Maintenance  - Pet Friendly Pet Policy Breed restrictions do apply. Income Requirements: 2.5x the rent Office Hours Monday-Friday:9:00AM-6:00PMSaturday:9:00AM-5:00PMSunday:10:00AM-5:00PMEqual Housing Opportunity 5AlFJB1N49",21.3833,-158.02100000000002,hi
79283,https://honolulu.craigslist.org/oah/apa/d/waipahu-affordable-home-24-hr-fitness/7048750842.html,hawaii,1599,townhouse,882,2,1.5,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00E0E_dV9e9hORH0J_600x450.jpg,"We Bet Youâll Love It! OASIS TOWNHOMES IN WAIPAHU, HAWAII Call Now:  show contact info  x 12OR Text 12 to  show contact info  to contact us.Oasis Townhomes 94-207 Waipahu St, Waipahu, HI, 96797Full Color Brochure Here:http://cl.greystar.com/ww64u9 This is a 2 Bedroom, 1.5 Bath, approximately 882 Sq. Ft.  Aloha & welcome home to Oasis Townhomes located in historic Waipahu, Hawaii. Blending relaxation & sophistication to create the ideal place to come home to, you'll be excited each day to walk back in the door of your apartment. We are within walking distance to local shopping centers, restaurants, entertainment & a short 10 minute drive to the new Ka Makana Aliâi Shopping Center. With easy access to the H1 Freeway & Farrington Highway, your commute to work/school is sure to be quick & easy. Relax poolside, work it out in the Gym, get down to business in the Business Center or enjoy your day at our Dog Park. Here at Oasis Townhomes our professional team personify the Aloha Spirit, providing warm & friendly service to make your stay an enjoyable one. Oasis Townhomes is where our residents love to live. Discover your very own Oasis today! Features - Washer & Dryer In Select Units  - Newly Renovated Townhomes  - Air Conditioning  - Ceiling Fan(s)  - Large Bedrooms Community Amenities - Laundry Facility  - Swimming pool  - Onsite Management  - Military Welcome  - Business Center  - Great Neighborhood  - Dog Park  - Online Payments Accepted  - Pet Friendly  - Leasing Center  - Courtesy Patrol Service  - 24hr Emergency Maintenance  - Fitness Center  - Gated Community  - Professional Management Pet Policy Breed restrictions do apply. Income Requirements: 2.5x the rent Office Hours Monday-Friday:9:00AM-6:00PMSaturday:9:00AM-5:00PMSunday:10:00AM-5:00PMEqual Housing Opportunity 36e8sW1MhW",21.3794,-158.028,hi
79290,https://honolulu.craigslist.org/oah/apa/d/waipahu-easy-freeway-access-close-to/7048745626.html,hawaii,1784,townhouse,882,2,1.5,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00E0E_80O5XzcrhEY_600x450.jpg,"Where Your Future Begins. OASIS TOWNHOMES IN WAIPAHU, HAWAII Call Now:  show contact info  x 14OR Text 14 to  show contact info  to text with us.Oasis Townhomes 94-207 Waipahu St, Waipahu, HI, 96797Use this link for more info:http://cl.greystar.com/9i4amk This is a 2 Bedroom, 1.5 Bath, approximately 882 Sq. Ft.  Aloha & welcome home to Oasis Townhomes located in historic Waipahu, Hawaii. Blending relaxation & sophistication to create the ideal place to come home to, you'll be excited each day to walk back in the door of your apartment. We are within walking distance to local shopping centers, restaurants, entertainment & a short 10 minute drive to the new Ka Makana Aliâi Shopping Center. With easy access to the H1 Freeway & Farrington Highway, your commute to work/school is sure to be quick & easy. Relax poolside, work it out in the Gym, get down to business in the Business Center or enjoy your day at our Dog Park. Here at Oasis Townhomes our professional team personify the Aloha Spirit, providing warm & friendly service to make your stay an enjoyable one. Oasis Townhomes is where our residents love to live. Discover your very own Oasis today! Features - Large Bedrooms  - Washer & Dryer In Select Units  - Air Conditioning  - Newly Renovated Townhomes  - Ceiling Fan(s) Community Amenities - Swimming pool  - Fitness Center  - Dog Park  - Onsite Management  - Laundry Facility  - Gated Community  - Military Welcome  - 24hr Emergency Maintenance  - Online Payments Accepted  - Courtesy Patrol Service  - Professional Management  - Great Neighborhood  - Pet Friendly  - Leasing Center  - Business Center Pet Policy Breed restrictions do apply. Income Requirements: 2.5x the rent Office Hours Monday-Friday:9:00AM-6:00PMSaturday:9:00AM-5:00PMSunday:10:00AM-5:00PMEqual Housing Opportunity 1cM38Hv6",21.3833,-158.02100000000002,hi
79424,https://honolulu.craigslist.org/oah/apa/d/honolulu-palolo-3-bdrm-2-bath-detached/7034962640.html,hawaii,2500,house,1277,3,2.0,0,0,1,0,0,0,w/d in unit,carport,https://images.craigslist.org/00s0s_dy1F50bgctO_600x450.jpg,"Newly painted, detached 3 bedroom, 2 bath single family home. Located in a cul-de-sac the home features a large master bedroom suite at rear of dwelling. Appliances include range/oven (gas), and refrigerator with ice dispenser. Full size washer and dryer in large covered laundry area. No pets/smoking. No Section 8.  Living Area - 1,277 square feet  Application fee - $20 per adult.  For more information or to schedule a showing contact John Uyemura (R) at KMJ Realty LLC -  show contact info",21.2887,-157.80100000000002,hi
79432,https://honolulu.craigslist.org/oah/apa/d/kaneohe-studio-on-the-water/7048206032.html,hawaii,2400,apartment,500,0,1.0,0,0,0,0,0,1,laundry on site,off-street parking,https://images.craigslist.org/00V0V_48rI7PXFnEm_600x450.jpg,"New, private studio  located on the water, on the picturesque Kaneohe Bay. Situated in a quiet, upscale neighborhood, this offers private entrance, off road parking and weekly linen and towel servicing. Easy access to the H3 freeway, only 2 miles from Kailua beach and 5 minutes from Kaneohe Marine Corps Base. No pets. This is a non smoking/vaping property, both inside and out. Offering month to month.",21.4228,-157.811,hi
79582,https://honolulu.craigslist.org/oah/apa/d/honolulu-kapahulu-area-3-bedroom-2-bath/7044922467.html,hawaii,2300,apartment,900,3,2.0,0,0,1,0,0,0,laundry on site,,https://images.craigslist.org/00h0h_9gdsSGkKScZ_600x450.jpg,"3 Bedroom and 2 Bath with 2 tandem parking stall. Convenience location for shopping and restaurant in Kapahulu.  Unit is vacant. Utilities are not included.  Available immediately.  Koam Realty RB-19545 1311 Kapiolani Blvd. #205 Honolulu, HI 96814 348-5739(message only)",21.2809,-157.816,hi
79772,https://honolulu.craigslist.org/oah/apa/d/honolulu-kaimuki-house/7039164619.html,hawaii,1800,house,700,2,1.0,0,0,0,0,0,0,laundry on site,carport,https://images.craigslist.org/00R0R_iOp4kLD6NGx_600x450.jpg,"Kaimuki 2 bedroom 1 bath 2 parking  washer and dryer. clean breeze quiet neighborhood. 10 minutes to Waikiki. Near Liholiho elementary school, Kaimuki middle school and Kalani high school .Kapiolani community college. University of Hawaii . Bus line .available from December 16.please call  show contact info  or 382-6110 .",21.2887,-157.80100000000002,hi
79812,https://honolulu.craigslist.org/oah/apa/d/honolulu-1-1-university-ave-utilities/7048806556.html,hawaii,1225,apartment,550,1,1.0,0,0,0,0,0,0,laundry on site,street parking,https://images.craigslist.org/00E0E_lKLfcpANIln_600x450.jpg,"611 University Ave.  1 bedroom, 1 bath units available, street parking only, utilities included. Coin operated laundry on premises. Units have been painted, upgraded, all have lanai's.  Excellent location! Minutes away from bus stops, schools, shopping, and much more.....  NO PETS, NO SMOKING!  Application Fee of $22 is required for applicants over 18 years of age.  Sherie Hitchcock (RS) /Marie Hansen Properties -  show contact info",21.2875,-157.826,hi
79842,https://honolulu.craigslist.org/oah/apa/d/pearl-city-2bds-1bth-1650-month/7046672162.html,hawaii,1650,duplex,800,2,1.0,0,0,1,0,0,0,laundry on site,,https://images.craigslist.org/01717_8N2fvcVTDSw_600x450.jpg,water&electric included  *month-to-month rental ï¼one-month rent security deposit required.move in readyï¼  no section 8  Text or email to schedule a showing,21.3908,-157.933,hi
79870,https://honolulu.craigslist.org/big/apa/d/kamuela-still-available-waimea-3bdrm/7046670143.html,hawaii,3000,house,1400,3,2.0,0,0,1,0,0,0,w/d hookups,attached garage,https://images.craigslist.org/01010_axINweGEODK_600x450.jpg,"1400 square foot home with 3 bedroom and 2 full bathrooms. $3000 monthly rental includes electric, water, gas & yard service. No inside smoking. Lease and security deposit to be discussed.",20.0081,-155.705,hi
79936,https://honolulu.craigslist.org/oah/apa/d/honolulu-hausten-street/7049016998.html,hawaii,1250,apartment,460,1,1.0,0,0,0,0,0,0,laundry in bldg,carport,https://images.craigslist.org/00u0u_b9EOu1rpuRy_600x450.jpg,"New Renovated 1/1 unit, new floor on living room and open kitchen, kitchen counter top, new bath room, laminate wood floor on bedroom Very convenient location to college, super market & restaurant No yard work but need to maintain clean $1250/month include water one Tandem assign parking which can fit 2 car  Minimum one year lease Application fee- $20 Please text kenny @  show contact info  for showing, I will prefer showing from 8am to 8:30am, 5pm to 5:30pm",21.2896,-157.825,hi
