,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
130417,https://maine.craigslist.org/apa/d/westbrook-new-construction-gorgeous/7041602229.html,maine,1930,condo,2100,3,2.0,0,0,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00V0V_4ylVTqm2GfV_600x450.jpg,"340 Brook St, #1, Westbrook, ME  3b/2B or use as 2B/2B and an office New (1year) construction Gorgeous townhouse at unbeatable location awaiting its residents! Available immediately.  Take the pride to live in this gorgeous and spacious duplex townhouse! Both units are identical mirror to each other, left or #1 is available. Conveniently located in quiet, serene residential area in Westbrook at the border with Falmouth, and Pride's corner, just minutes outside of Portland, close to I-95 and many restaurants and shops.  This large 1,400 sq. ft. , 2 level, 3B/2 Full baths condo with a plus 700 sq ft full basement in addition is in a Colonial style Duplex and offers loads of charm, light, and modern touches and features as Granite counter tops, beautiful Dartmouth Maple high kitchen cabinets with dovetailed drawers, modern light fixtures, brand new Stainless steel appliances, wood style bath tiles with adorable dark grey vanity cabinets, lovely hardwood floors, comfortable decks. Washer/Dryer Hookups in the basement, On demand water heater, ceiling light -fans in each bedroom; walk-in closets, and great size backyard space. Basement has an additional dog-house entrance in the back. Parking for 2 cars. An amazing property.  Residents will enjoy quiet airy surroundings offered by 1.6 acres lot behind the building with many mature trees and a great landscaping, while still finding all the necessities within easy reach -15 minutes from downtown Portland and 10 minutes from downtown Westbrook, minutes from Riverside Golf Course, Falmouth Spur, U.S. Route 302, 295, Turnpike Exit 53, UNE and IDEX. Steps from Sebago to Sea trail.   The rent is $1,930. Available 12/1/2019.  1 YEAR LEASE. Snow plowing, landscape and sewer are included. Residents are responsible for electricity, water, and very economic gas (propane) heat and HW.  No pets and Non-smokers only, sorry.  $35 non-refundable application fee per applicant. Phone interview required.  Rental Requirements- - 2 years of good rental history, homeowner or cosigner - Good credit and references - Proof of income - First rent and a 2 month rent security deposit   Please email with a brief description of your situation and a phone # to contact you. Emails w/o phone # will not be answered. Once the condo is rented the ad will be removed from CL.",43.7194,-70.3238,me
130452,https://maine.craigslist.org/apa/d/westbrook-new-construction-gorgeous/7041602354.html,maine,1930,condo,2100,3,2.0,0,0,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00V0V_4ylVTqm2GfV_600x450.jpg,"340 Brook St, #1, Westbrook, ME  3b/2B or use as 2B/2B and an office New (1year) construction Gorgeous townhouse at unbeatable location awaiting its residents! Available immediately.  Take the pride to live in this gorgeous and spacious duplex townhouse! Both units are identical mirror to each other, left or #1 is available. Conveniently located in quiet, serene residential area in Westbrook at the border with Falmouth, and Pride's corner, just minutes outside of Portland, close to I-95 and many restaurants and shops.  This large 1,400 sq. ft. , 2 level, 3B/2 Full baths condo with a plus 700 sq ft full basement in addition is in a Colonial style Duplex and offers loads of charm, light, and modern touches and features as Granite counter tops, beautiful Dartmouth Maple high kitchen cabinets with dovetailed drawers, modern light fixtures, brand new Stainless steel appliances, wood style bath tiles with adorable dark grey vanity cabinets, lovely hardwood floors, comfortable decks. Washer/Dryer Hookups in the basement, On demand water heater, ceiling light -fans in each bedroom; walk-in closets, and great size backyard space. Basement has an additional dog-house entrance in the back. Parking for 2 cars. An amazing property.  Residents will enjoy quiet airy surroundings offered by 1.6 acres lot behind the building with many mature trees and a great landscaping, while still finding all the necessities within easy reach -15 minutes from downtown Portland and 10 minutes from downtown Westbrook, minutes from Riverside Golf Course, Falmouth Spur, U.S. Route 302, 295, Turnpike Exit 53, UNE and IDEX. Steps from Sebago to Sea trail.   The rent is $1,930. Available 12/1/2019.  1 YEAR LEASE. Snow plowing, landscape and sewer are included. Residents are responsible for electricity, water, and very economic gas (propane) heat and HW.  No pets and Non-smokers only, sorry.  $35 non-refundable application fee per applicant. Phone interview required.  Rental Requirements- - 2 years of good rental history, homeowner or cosigner - Good credit and references - Proof of income - First rent and a 2 month rent security deposit   Please email with a brief description of your situation and a phone # to contact you. Emails w/o phone # will not be answered. Once the condo is rented the ad will be removed from CL.",43.7194,-70.3238,me
130466,https://maine.craigslist.org/apa/d/westbrook-new-construction-gorgeous/7041604770.html,maine,1930,condo,2100,3,2.0,0,0,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00J0J_2BBUgARc8sy_600x450.jpg,"340 Brook St, #1, Westbrook, ME  3b/2B or use as 2B/2B and an office New (1year) construction Gorgeous townhouse at unbeatable location awaiting its residents! Available immediately.  Take the pride to live in this gorgeous and spacious duplex townhouse! Both units are identical mirror to each other, left or #1 is available. Conveniently located in quiet, serene residential area in Westbrook at the border with Falmouth, and Pride's corner, just minutes outside of Portland, close to I-95 and many restaurants and shops.  This large 1,400 sq. ft. , 2 level, 3B/2 Full baths condo with a plus 700 sq ft full basement in addition is in a Colonial style Duplex and offers loads of charm, light, and modern touches and features as Granite counter tops, beautiful Dartmouth Maple high kitchen cabinets with dovetailed drawers, modern light fixtures, brand new Stainless steel appliances, wood style bath tiles with adorable dark grey vanity cabinets, lovely hardwood floors, comfortable decks. Washer/Dryer Hookups in the basement, On demand water heater, ceiling light -fans in each bedroom; walk-in closets, and great size backyard space. Basement has an additional dog-house entrance in the back. Parking for 2 cars. An amazing property.  Residents will enjoy quiet airy surroundings offered by 1.6 acres lot behind the building with many mature trees and a great landscaping, while still finding all the necessities within easy reach -15 minutes from downtown Portland and 10 minutes from downtown Westbrook, minutes from Riverside Golf Course, Falmouth Spur, U.S. Route 302, 295, Turnpike Exit 53, UNE and IDEX. Steps from Sebago to Sea trail.   The rent is $1,930. Available 12/1/2019.  1 YEAR LEASE. Snow plowing, landscape and sewer are included. Residents are responsible for electricity, water, and very economic gas (propane) heat and HW.  No pets and Non-smokers only, sorry.  $35 non-refundable application fee per applicant. Phone interview required.  Rental Requirements- - 2 years of good rental history, homeowner or cosigner - Good credit and references - Proof of income - First rent and a 2 month rent security deposit   Please email with a brief description of your situation and a phone # to contact you. Emails w/o phone # will not be answered. Once the condo is rented the ad will be removed from CL.",43.7194,-70.3238,me
130538,https://maine.craigslist.org/apa/d/westbrook-new-construction-gorgeous/7041602653.html,maine,1930,condo,2100,3,2.0,0,0,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00J0J_2BBUgARc8sy_600x450.jpg,"340 Brook St, #1, Westbrook, ME  3b/2B or use as 2B/2B and an office New (1year) construction Gorgeous townhouse at unbeatable location awaiting its residents! Available immediately.  Take the pride to live in this gorgeous and spacious duplex townhouse! Both units are identical mirror to each other, left or #1 is available. Conveniently located in quiet, serene residential area in Westbrook at the border with Falmouth, and Pride's corner, just minutes outside of Portland, close to I-95 and many restaurants and shops.  This large 1,400 sq. ft. , 2 level, 3B/2 Full baths condo with a plus 700 sq ft full basement in addition is in a Colonial style Duplex and offers loads of charm, light, and modern touches and features as Granite counter tops, beautiful Dartmouth Maple high kitchen cabinets with dovetailed drawers, modern light fixtures, brand new Stainless steel appliances, wood style bath tiles with adorable dark grey vanity cabinets, lovely hardwood floors, comfortable decks. It has plenty of parking spaces, Washer/Dryer Hookups in the basement, On demand water heater, ceiling light -fans in each bedroom; walk-in closets, and great size backyard space. Basement has an additional dog-house entrance in the back. Parking for 2 cars.  Residents will enjoy quiet airy surroundings offered by 1.6 acres lot behind the building with many mature trees and a great landscaping, while still finding all the necessities within easy reach -15 minutes from downtown Portland and 10 minutes from downtown Westbrook, minutes from Riverside Golf Course, Falmouth Spur, U.S. Route 302, 295, Turnpike Exit 53, UNE and IDEX. Steps from Sebago to Sea trail.   The rent is $1,930. Available 12/1/2019. 1 YEAR LEASE A MUST- NOT A SHORT TERM RENTAL. Snow plowing, landscape and sewer are included. Residents are responsible for electricity, water, and very economic gas (propane) heat and HW.  Absolutely No pets and Non-smokers only, NO EXCEPTIONS, sorry.  $35 non-refundable application fee per applicant. Phone interview required.  Rental Requirements- - 2 years of good rental history, homeowner or cosigner - Good credit and references - Proof of income - First rent and a 2 month rent security deposit   Please email with a brief description of your situation and a phone # to contact you. Emails w/o phone # will not be answered. Once the condo is rented the ad will be removed from CL.",43.7194,-70.3238,me
130583,https://maine.craigslist.org/apa/d/westbrook-new-construction-gorgeous/7041602839.html,maine,1930,condo,2100,3,2.0,0,0,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00b0b_hHAlct4hxjb_600x450.jpg,"340 Brook St, #1, Westbrook, ME  3b/2B or use as 2B/2B and an office New (1year) construction Gorgeous townhouse at unbeatable location awaiting its residents! Available immediately.  Take the pride to live in this gorgeous and spacious duplex townhouse! Both units are identical mirror to each other, left or #1 is available. Conveniently located in quiet, serene residential area in Westbrook at the border with Falmouth, and Pride's corner, just minutes outside of Portland, close to I-95 and many restaurants and shops.  This large 1,400 sq. ft. , 2 level, 3B/2 Full baths condo with a plus 700 sq ft full basement in addition is in a Colonial style Duplex and offers loads of charm, light, and modern touches and features as Granite counter tops, beautiful Dartmouth Maple high kitchen cabinets with dovetailed drawers, modern light fixtures, brand new Stainless steel appliances, wood style bath tiles with adorable dark grey vanity cabinets, lovely hardwood floors, comfortable decks. Washer/Dryer Hookups in the basement, On demand water heater, ceiling light -fans in each bedroom; walk-in closets, and great size backyard space. Basement has an additional dog-house entrance in the back. Parking for 2 cars. An amazing property.  Residents will enjoy quiet airy surroundings offered by 1.6 acres lot behind the building with many mature trees and a great landscaping, while still finding all the necessities within easy reach -15 minutes from downtown Portland and 10 minutes from downtown Westbrook, minutes from Riverside Golf Course, Falmouth Spur, U.S. Route 302, 295, Turnpike Exit 53, UNE and IDEX. Steps from Sebago to Sea trail.   The rent is $1,930. Available 12/1/2019.  1 YEAR LEASE. Snow plowing, landscape and sewer are included. Residents are responsible for electricity, water, and very economic gas (propane) heat and HW.  No pets and Non-smokers only, sorry.  $35 non-refundable application fee per applicant. Phone interview required.  Rental Requirements- - 2 years of good rental history, homeowner or cosigner - Good credit and references - Proof of income - First rent and a 2 month rent security deposit   Please email with a brief description of your situation and a phone # to contact you. Emails w/o phone # will not be answered. Once the condo is rented the ad will be removed from CL.",43.7194,-70.3238,me
130595,https://maine.craigslist.org/apa/d/westbrook-new-construction-gorgeous/7041602516.html,maine,1930,condo,2100,3,2.0,0,0,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00W0W_5VS2ERSODkf_600x450.jpg,"340 Brook St, #1, Westbrook, ME  3b/2B or use as 2B/2B and an office New (1year) construction Gorgeous townhouse at unbeatable location awaiting its residents! Available immediately.  Take the pride to live in this gorgeous and spacious duplex townhouse! Both units are identical mirror to each other, left or #1 is available. Conveniently located in quiet, serene residential area in Westbrook at the border with Falmouth, and Pride's corner, just minutes outside of Portland, close to I-95 and many restaurants and shops.  This large 1,400 sq. ft. , 2 level, 3B/2 Full baths condo with a plus 700 sq ft full basement in addition is in a Colonial style Duplex and offers loads of charm, light, and modern touches and features as Granite counter tops, beautiful Dartmouth Maple high kitchen cabinets with dovetailed drawers, modern light fixtures, brand new Stainless steel appliances, wood style bath tiles with adorable dark grey vanity cabinets, lovely hardwood floors, comfortable decks. Washer/Dryer Hookups in the basement, On demand water heater, ceiling light -fans in each bedroom; walk-in closets, and great size backyard space. Basement has an additional dog-house entrance in the back. Parking for 2 cars. An amazing property.  Residents will enjoy quiet airy surroundings offered by 1.6 acres lot behind the building with many mature trees and a great landscaping, while still finding all the necessities within easy reach -15 minutes from downtown Portland and 10 minutes from downtown Westbrook, minutes from Riverside Golf Course, Falmouth Spur, U.S. Route 302, 295, Turnpike Exit 53, UNE and IDEX. Steps from Sebago to Sea trail.   The rent is $1,930. Available 12/1/2019.  1 YEAR LEASE. Snow plowing, landscape and sewer are included. Residents are responsible for electricity, water, and very economic gas (propane) heat and HW.  No pets and Non-smokers only, sorry.  $35 non-refundable application fee per applicant. Phone interview required.  Rental Requirements- - 2 years of good rental history, homeowner or cosigner - Good credit and references - Proof of income - First rent and a 2 month rent security deposit   Please email with a brief description of your situation and a phone # to contact you. Emails w/o phone # will not be answered. Once the condo is rented the ad will be removed from CL.",43.7194,-70.3238,me
130615,https://maine.craigslist.org/apa/d/westbrook-new-construction-gorgeous/7041604606.html,maine,1930,condo,2100,3,2.0,0,0,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/01616_1CvhgEed5ke_600x450.jpg,"340 Brook St, #1, Westbrook, ME  3b/2B or use as 2B/2B and an office New (1year) construction Gorgeous townhouse at unbeatable location awaiting its residents! Available immediately.  Take the pride to live in this gorgeous and spacious duplex townhouse! Both units are identical mirror to each other, left or #1 is available. Conveniently located in quiet, serene residential area in Westbrook at the border with Falmouth, and Pride's corner, just minutes outside of Portland, close to I-95 and many restaurants and shops.  This large 1,400 sq. ft. , 2 level, 3B/2 Full baths condo with a plus 700 sq ft full basement in addition is in a Colonial style Duplex and offers loads of charm, light, and modern touches and features as Granite counter tops, beautiful Dartmouth Maple high kitchen cabinets with dovetailed drawers, modern light fixtures, brand new Stainless steel appliances, wood style bath tiles with adorable dark grey vanity cabinets, lovely hardwood floors, comfortable decks. Washer/Dryer Hookups in the basement, On demand water heater, ceiling light -fans in each bedroom; walk-in closets, and great size backyard space. Basement has an additional dog-house entrance in the back. Parking for 2 cars. An amazing property.  Residents will enjoy quiet airy surroundings offered by 1.6 acres lot behind the building with many mature trees and a great landscaping, while still finding all the necessities within easy reach -15 minutes from downtown Portland and 10 minutes from downtown Westbrook, minutes from Riverside Golf Course, Falmouth Spur, U.S. Route 302, 295, Turnpike Exit 53, UNE and IDEX. Steps from Sebago to Sea trail.   The rent is $1,930. Available 12/1/2019.  1 YEAR LEASE. Snow plowing, landscape and sewer are included. Residents are responsible for electricity, water, and very economic gas (propane) heat and HW.  No pets and Non-smokers only, sorry.  $35 non-refundable application fee per applicant. Phone interview required.  Rental Requirements- - 2 years of good rental history, homeowner or cosigner - Good credit and references - Proof of income - First rent and a 2 month rent security deposit   Please email with a brief description of your situation and a phone # to contact you. Emails w/o phone # will not be answered. Once the condo is rented the ad will be removed from CL.",43.7194,-70.3238,me
130630,https://maine.craigslist.org/apa/d/portland-cape-elizabeth-2-bedrooms/7048940824.html,maine,1500,apartment,800,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00v0v_6XaxWUm4vTq_600x450.jpg,"Welcome Home to Summit Terrace at Woodlands!   Located in Cape Elizabeth, ME you are just a short drive from the picturesque Cape Elizabeth waterfront, as well as everything the Downtown Portland Area has to offer! At Summit Terrace at Woodland you will find yourself minutes from local beaches as well as local and state parks that are right on the water. We have the convenience, comfort, and amenities you desire with dining, shopping, walking trails, and beaches located just minutes from your front door.  ***GREAT LOCATION!!***  Our pet policy allows for a maximum of two pets per apartment. Summit Terrace at Woodland prohibits aggressive dog breeds; please contact the Management Office for special accommodations. The monthly pet rent will be $50.00 for a dog and $35.00 per cat. Location and price can't be beat, call today to make Summit Terrace at Woodland your new home!  Community Features Â» Pet Friendly: Dogs & Cats Allowed Â» Off-Street Parking Â» Covered Parking/Storage Available Â» 24-Hour Emergency Maintenance Â» Professional Local Management Â» Online Rent Payments and Service Requests  Â» Fully Equipped Laundry Area in Every Building Â» Basketball/Multi-Use Court Â» Trash Removal Â» Lawn Care/Snow Removal Â» Garages  Apartment Features Â» Open Concept Floorplans  Â» Luxury Vinyl Plank Flooring with Plush Carpeted Bedroom Flooring  Â» Stainless Steel Appliances  Â» Dishwasher and Built-In Microwaves Â» Washer/Dryer IN UNIT!! Â» Patio or Balcony in Select Units Â» Spacious Closets  Summit Terrace at Woodlands is professionally managed by Briarcliff Management.  Please feel free to call us at  show contact info , email us at the address above or stop by if you are in the area. We are open Monday through Friday 9:00am to 5:00pm and Saturdays' by appointment only.  To learn more information visit our website at: www.summitterraceapartments.com     We look forward to meeting you soon!  â",43.6291,-70.2332,me
130636,https://maine.craigslist.org/apa/d/brewer-3-bedroom-house/7049542718.html,maine,1600,house,1200,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,https://images.craigslist.org/00j0j_3lDeY3PaGgf_600x450.jpg,"3 bedroom/2 bath ranch home with semi-finished basement, 1 car attached garage and private yard in desirable Brewer neighborhood. W/D hookup in basement. H and HW included.",44.79600000000001,-68.748,me
130689,https://maine.craigslist.org/apa/d/augusta-updated-1-br-river-views-walk/7049350818.html,maine,700,apartment,600,1,1.0,0,0,0,0,0,0,no laundry on site,,https://images.craigslist.org/00y0y_gogcSnKjWss_600x450.jpg,"Recently renovated 1 Br in Augusta's downtown area. River views. Rent includes free WIFI! New efficient natural gas heat. Available immediately!  12 Month Lease. Tenant Pays Heat/HW and electric. Credit Check, Rental Application, Rental References. Required. First Months Rent & Security Due at Lease Signing.",44.3232,-69.7665,me
