,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
159254,https://joplin.craigslist.org/apa/d/carl-junction-completely-remodeled/7044046819.html,joplin,1000,house,2000,3,2.0,1,1,1,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00v0v_8Mv5DUHIYXR_600x450.jpg,"Completely remodeled executive townhouse in Briarbrook, open floor plan with 3 bedrooms plus office,2.5 bath, huge closets, lots of storage. Appliances include stove, fridge, dishwasher and microwave.",37.1795,-94.555,mo
159307,https://kirksville.craigslist.org/apa/d/kirksville-one-bedroom-house-for-rent/7050303168.html,kirksville,466,house,390,1,1.0,1,1,1,0,0,0,w/d hookups,,https://images.craigslist.org/00H0H_gVg3D3fzKWh_600x450.jpg,"Pretty cool house. All appliances remain,new windows in main part of house. Dont miss out. KINDLY REPLY VIA TEXT- show contact info .",40.1908,-92.5856,mo
159465,https://kirksville.craigslist.org/apa/d/la-plata-4-bedroom-2-baths-super/7043856123.html,kirksville,925,townhouse,1558,3,1.5,1,1,1,0,0,0,,,https://images.craigslist.org/00I0I_fa15TK0EYNw_600x450.jpg,"Best of both worlds, country living with easy commute to city life!. Call for info on additional tracts Hurdland Leonard Milan",40.031,-92.5094,mo
160212,https://joplin.craigslist.org/apa/d/carl-junction-completely-remodeled/7044046956.html,joplin,1000,house,2000,3,2.0,1,1,1,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00v0v_8Mv5DUHIYXR_600x450.jpg,"Completely remodeled executive townhouse in Briarbrook, open floor plan with 3 bedrooms plus office,2.5 bath, huge closets, lots of storage. Appliances include stove, fridge, dishwasher and microwave.",37.1795,-94.555,mo
160340,https://joplin.craigslist.org/apa/d/carl-junction-completely-remodeled/7044047137.html,joplin,1000,house,2000,3,2.0,1,1,1,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00v0v_8Mv5DUHIYXR_600x450.jpg,"Completely remodeled executive townhouse in Briarbrook, open floor plan with 3 bedrooms plus office,2.5 bath, huge closets, lots of storage. Appliances include stove, fridge, dishwasher and microwave.",37.1795,-94.555,mo
160773,https://springfield.craigslist.org/apa/d/springfield-open-energy-efficient/7049281079.html,springfield,695,apartment,671,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00F0F_5mo79sk7JmH_600x450.jpg,"Scotsdale Apartments â¢	1 bedroom x 1 bathroom:  $695.00  Amenities: â¢	1Gig Unlimited High Speed Internet Available â¢	Washer/Dryer Hookups â¢	Water, trash, & sewer included â¢	2 Sparkling Pools My office hours are 9-6 M-F",37.16,-93.2805,mo
160853,https://columbiamo.craigslist.org/apa/d/2-bed-1bath-duplex-in-valley-view/7009988008.html,columbia / jeff city,650,duplex,1181,2,1.0,0,0,1,0,0,0,w/d hookups,attached garage,https://images.craigslist.org/00y0y_le5gwDzzUd3_600x450.jpg,"$650 per month rent; $650 Deposit 2 Bedroom 1 Bath 1/2 of a duplex 1 car garage  Nice quiet neighborhood, close to the mall and Cosmo park. Backs to Trees 1708 Garden Dr. Unit A    washer and dryer hookups  $25 Per person Application fee. Credit and Background Check  Local Inquires only - Please  Thanks for looking!",38.9725,-92.3765,mo
160896,https://springfield.craigslist.org/apa/d/springfield-open-energy-efficient/7049280075.html,springfield,695,apartment,671,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00z0z_fQGlsDfi38T_600x450.jpg,"Scotsdale Apartments â¢	1 bedroom x 1 bathroom:  $695.00  Amenities: â¢	1Gig Unlimited High Speed Internet Available â¢	Washer/Dryer Hookups â¢	Water, trash, & sewer included â¢	2 Sparkling Pools My office hours are 9-6 M-F",37.16,-93.2805,mo
161057,https://springfield.craigslist.org/apa/d/springfield-2bd-1ba-apt/7037192049.html,springfield,475,apartment,800,2,1.0,0,0,1,0,0,0,no laundry on site,,https://images.craigslist.org/00303_iYJSMWutvVJ_600x450.jpg,"2BD 1 BA APT. GREAT LOCATION COMES WITH ALL APPLIANCES TENANT PAYS ELECTRIC ONLY WE PAY WATER, SEWER, AND TRASH. SCHOOLS ARE BINGHAM, HICKORY HILLS, GLENDALE HIGH. SEASONAL POOL. ENFORCED PARKING. UNITS TO VIEW ARE MON-FRI FROM 9:30 AM TILL 4PM. THIS UNIT HAS NEW CARPET NO PETS IN THIS UNIT.",37.2098,-93.2342,mo
161129,https://springfield.craigslist.org/apa/d/springfield-open-energy-efficient/7049279095.html,springfield,695,apartment,671,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00a0a_h9HeGm54Ztx_600x450.jpg,"Scotsdale Apartments â¢	1 bedroom x 1 bathroom:  $695.00  Amenities: â¢	1Gig Unlimited High Speed Internet Available â¢	Washer/Dryer Hookups â¢	Water, trash, & sewer included â¢	2 Sparkling Pools My office hours are 9-6 M-F",37.16,-93.2805,mo
161156,https://springfield.craigslist.org/apa/d/springfield-open-energy-efficient/7049277996.html,springfield,695,apartment,671,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00L0L_6r488qfwxQ5_600x450.jpg,"Scotsdale Apartments â¢	1 bedroom x 1 bathroom:  $695.00  Amenities: â¢	1Gig Unlimited High Speed Internet Available â¢	Washer/Dryer Hookups â¢	Water, trash, & sewer included â¢	2 Sparkling Pools My office hours are 9-6 M-F",37.16,-93.2805,mo
161307,https://springfield.craigslist.org/apa/d/springfield-2-br-1-ba-all-brick-duplex/7029667219.html,springfield,620,duplex,1000,2,1.0,0,0,1,0,0,0,w/d hookups,attached garage,https://images.craigslist.org/00g0g_6Hv7WcgB1St_600x450.jpg,"Yard service provided Large Living Room Dining room Kitchen w/ disposer, dishwasher, stove &oven, refrigerator Large master bedroom w/ walk in closet Large bedroom w/ large closet Linen closet Coat closet Pantry Washer/dryer hook up One car garage w/ storage closet  show contact info  No texts please",37.1501,-93.3387,mo
