,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
162937,https://billings.craigslist.org/apa/d/billings-2-br-1-bath-attached-garage-d/7045617253.html,billings,810,apartment,1686,2,1.0,1,1,1,1,0,1,,attached garage,https://images.craigslist.org/00s0s_absoVnR3MQ6_600x450.jpg,"Investor Special! Bring your creative vision to this 2 bedroom, 1 bath home. Very cute layout with potential. Large fenced yard. Offers will be presented on Monday, December 23rd. Highest and best offer. Reserve in place. Visible mold observed.                 If interested you can contact :  show contact info",45.7833,-108.501,mt
162990,https://missoula.craigslist.org/apa/d/missoula-really-sharp-clean-remodeled/7031041343.html,missoula,1195,apartment,1000,2,1.0,0,0,0,0,0,0,w/d hookups,detached garage,https://images.craigslist.org/00P0P_grMyHsqqpW7_600x450.jpg,"2 bdrm apt in 4 plex.  Heat, water, garbage included.  Main floor.  Garage.  Huge living room (18x13), huge master bdrm 14.5x12) , brand new tiled bath, updated kitchen, self-cleaning range.  Washer/dryer hookups.  Super convenient location-bike to everywhere!  Great slant street neighborhood.  Sorry, no pets. $1,195",46.863,-114.01,mt
172820,https://billings.craigslist.org/apa/d/billings-2-beds-1-bath-924-sqft/7031143846.html,billings,750,house,924,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00a0a_genhtkKVhas_600x450.jpg,"An Adorable 2 beds 1 bath 924 sqft Newly remodeled Nice mobile Quiet neighborhood Large yard with shed W/D hook-ups. Pets are welcome with no charges and there are terms and conditions applied to all payment. All showings are conducted after application process includes credit check, criminal background, residential history has been completed and application fee paid. Dryer, Laundry: In Unit, Off Street Parking, Washer.",45.614,-108.387,mt
173391,https://billings.craigslist.org/apa/d/billings-washer-and-dryer-provided/7051190591.html,billings,1310,apartment,1362,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00J0J_gwVLRVP2HVE_600x450.jpg,"Specials: Ask about our current specials. We are thankful for all of our residents and would like you to call Country Meadows home too.Nestled at the base of Billingsâ Rimrocks and only moments from shops, parks and restaurants, Country Meadows Apartment Homes offers a life of leisure and relaxation for its lucky residents. Pet-lovers can bring their furry friends and enjoy the dog park nearby, plus plenty of open green spaces with mature trees for shade throughout summer. This gorgeous apartment community also boasts a fitness center, plus a controlled entry system and 24-hour maintenance. An on-site leasing office, affordable deposits and online applications make Country Meadows Apartment Homes the easy choice when it comes to relaxed and comfortable living.Bedrooms: 3Bathrooms: 2Rent: 1310Amenities Include:Dog ParkPicnic AreasWasher and Dryer ProvidedWalk In ClosetPatioBalconyFitness CenterOnline ApplicationsCall:  show contact info Find more info at https://www.iretapartments.com/country-meadows-apartment-homes/craigslistOffice Hours: Mon-Fri 8:30am-5pm | Sat-Sun Closed Price and availability subject to change.",45.7868,-108.615,mt
173392,https://billings.craigslist.org/apa/d/billings-apply-today-dishwasher-stove/7038574869.html,billings,935,apartment,936,2,1.0,1,1,1,0,0,0,,,https://images.craigslist.org/01111_cePyL8dwRLD_600x450.jpg,"Specials: Our Next 10 Move Ins Before December 15th Will Receive 2 Weeks FREE!These west-end Billings apartment homes are located on a large, beautiful complex with easy access to the interstate and only minutes from the finest restaurants and shopping in the city. At Olympic Village, our pet-friendly, one and two bedroom apartments combine excellent community-wide amenities like swimming pool and fitness areas, with perks like in-unit laundry and 24-hour Emergency Maintenance help transform your Billings apartment, into your home.Bedrooms: 2Bathrooms: 1Rent: 960Amenities Include:In-Unit Washer & DryerCommunity GrillsWasher & Dryer Hook ups24-Hr Emergency MaintenanceGarbage DisposalPlaygroundDog ParkDishwasherCall:  show contact info Find more info at http://www.iretapartments.com/property/montana/billings/olympic-village-apartments/Office Hours: Mon-Sat 8am-6pm | Sun Closed Price and availability subject to change.",45.7603,-108.615,mt
173393,https://billings.craigslist.org/apa/d/billings-island-kitchen-fitness-center/7048989718.html,billings,1310,apartment,1362,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00h0h_iiFrWn8i8Fz_600x450.jpg,"Specials: Ask about our current specials. We are thankful for all of our residents and would like you to call Country Meadows home too.  Nestled at the base of Billingsâ Rimrocks and only moments from shops, parks and restaurants, Country Meadows Apartment Homes offers a life of leisure and relaxation for its lucky residents. Pet-lovers can bring their furry friends and enjoy the dog park nearby, plus plenty of open green spaces with mature trees for shade throughout summer. This gorgeous apartment community also boasts a fitness center, plus a controlled entry system and 24-hour maintenance. An on-site leasing office, affordable deposits and online applications make Country Meadows Apartment Homes the easy choice when it comes to relaxed and comfortable living.  -Controlled Entry System -Walk In Closet -Balcony -Central Air Conditioning -Dog Park -Online Applications -Split Bedrooms -On-Site Leasing Office -24-Hr Maintenance -Garage Included -Washer and Dryer Provided -Fitness Center  Call:  show contact info     Find more info at https://www.iretapartments.com/country-meadows-apartment-homes/craigslist   Price and availability subject to change.",45.7868,-108.615,mt
173394,https://billings.craigslist.org/apa/d/billings-air-conditioning-laundry/7051169855.html,billings,899,apartment,804,2,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/01313_5Of5Zeb7Zi4_600x450.jpg,"Shiloh Glen offers a peaceful setting with all the conveniences of the city. Enjoy being close to parks and trails and just across the street from some of the best dining and shopping in Billings. The property is just a short drive from the airport and the premier Shiloh Crossing Shopping Center, where new retail and restaurants are continually added.  -Laundry center -Reserved parking -Patio or deck with storage -Dishwasher -Walk-in closet -Water, sewer, garbage included -Dining room -Outdoor picnic areas -Brand-new playground -Air conditioning -Garages available  Call:  show contact info   Pricing and availability are subject to change",45.7574,-108.616,mt
173395,https://billings.craigslist.org/apa/d/billings-1bd-1ba-starting-at-750-sauna/7046953182.html,billings,755,apartment,692,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00N0N_l298So1qW6K_600x450.jpg,"Located in beautiful northern Billings, on the cusp of the famous Rimrock, Castlerock Apartment Homes offer quality living in one of the most picturesque settings of the city. The pool, hot tub, and exercise room were all designed with your stress-free living in mind. And at Castlerock Apartment Homes, your pets are more than welcome.  -Furnished Apartments Available -Online Payments Available -On-Site Maintenance -Postal Services -On-Site Management -Cable Ready -High-Speed Internet Access -Garbage Disposal -Built-in Microwave -Hot Tub -Wall Air Conditioning -24-Hr Fitness Center  Call:  show contact info     Find more info at https://www.iretapartments.com/castlerock-apartment-homes/craigslist   Price and availability subject to change.",45.8269,-108.50399999999999,mt
173396,https://billings.craigslist.org/apa/d/billings-apply-today-24-hour-fitness/7047103621.html,billings,955,apartment,952,2,1.5,1,1,1,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00j0j_kjjEjtFlPC1_600x450.jpg,"Recent renovations and excellent floorplans make Rimrock West one of Billings' most desirable apartment homes. The beautifully landscaped grounds and Rimrock's convenient location next to shopping malls, medical facilities, churches, schools, and recreational facilities make your life that much easier.Our Leasing Offices are located at 2460 Village Lane #110B, Billings, MT, 59102 at Rocky Meadows Apartments.Bedrooms: 2Bathrooms: 1.5Rent: 950Amenities Include:Detached GarageGated CommunityView - Patio24 Hour Fitness CenterBalconyUpgraded AppliancesGarage IncludedAir ConditioningCall:  show contact info Find more info at https://www.iretapartments.com/rimrock-west-apartments/craigslistOffice Hours: Mon-Fri 8:30am-5pm | Sat-Sun Closed Price and availability subject to change.",45.7715,-108.572,mt
173397,https://billings.craigslist.org/apa/d/billings-playground-covered-parking/7047487313.html,billings,1029,apartment,1154,3,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00F0F_avzGWSVnmZK_600x450.jpg,"Live in a great community in the up-and-coming Heights neighborhood. Brush Meadows is close to everything you need including shopping, restaurants, and beautiful parks. The property is just a short trip to Billings Logan International Airport, Montana State University, Rocky Mountain College and downtown Billings.  -Air conditioning -Washer/Dryer hookups -Basketball court -Covered parking available -Dishwasher -Garages available -Private deck or patio with storage -Playground -Laundry center -Most utilities included -Separate dining room   Call:  show contact info   Pricing and availability are subject to change",45.8201,-108.476,mt
173398,https://billings.craigslist.org/apa/d/billings-new-year-new-apartment-home/7048968494.html,billings,805,apartment,806,2,1.0,1,1,1,0,0,0,,,https://images.craigslist.org/00A0A_bkjGJCGfk2j_600x450.jpg,"Located in beautiful northern Billings, on the cusp of the famous Rimrock, Castlerock Apartment Homes offer quality living in one of the most picturesque settings of the city. The pool, hot tub, and exercise room were all designed with your stress-free living in mind. And at Castlerock Apartment Homes, your pets are more than welcome.Bedrooms: 2Bathrooms: 1Rent: 805Amenities Include:Hot TubTennis CourtDog ParkSaunaWall Air Conditioning24-Hr Fitness CenterGarbage DisposalPlaygroundCall:  show contact info Find more info at https://www.iretapartments.com/castlerock-apartment-homes/craigslistOffice Hours: Mon-Sat 8am-6pm | Sun Closed Price and availability subject to change.",45.8276,-108.505,mt
