,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
218921,https://nd.craigslist.org/apa/d/crookston-4-bedroom-2-bth-super-updated/7046148577.html,north dakota,1000,house,1928,3,1.5,1,1,1,0,0,0,,,https://images.craigslist.org/00J0J_igej8US3usF_600x450.jpg,WOW! Desirable property in a popular section ideal for your brand-new home. Don't miss this one !! Crosby Perley Crane Minto,47.7886,-96.5965,nd
218970,https://bismarck.craigslist.org/apa/d/bismarck-heat-is-paid-garage-24-hr/7047569031.html,bismarck,1060,apartment,1080,3,2.0,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00s0s_h8DGDV1lq5U_600x450.jpg,"Call Dawn for more information at  show contact info    Amenities:  -Controlled Access -Emergency Maintenance -Air Conditioning -Dishwasher -Heat, Water, Sewer & Trash paid -In-unit Washer & Dryer -Garage  We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -24 Hour Emergency Maintenance -Garbage Disposal -Dishwasher -Controlled Entry -Extra Storage Available -Air Conditioning -Microwave -Heat, Water, Garbage, Sewer Paid -Washer & Dryer in Unit -Extra Parking  Call:  show contact info",46.8394,-100.78399999999999,nd
218971,https://bismarck.craigslist.org/apa/d/bismarck-microwave-controlled-access/7046936796.html,bismarck,795,apartment,745,1,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00t0t_8z8cSMNHknz_600x450.jpg,"Lakewood Estates are new apartments for rent in Mandan. Great views, an elevator, community area, community patio with grills, on site resident manager and leasing agent, Elevator access, heated underground parking, and so much more. This is a pet friendly community with underground parking and garages available. Contact Melanie or Brittany today at  show contact info , or E-mail us at mandanleasing at immapartments dot com Check out our 3D floor plans on Apartments.com; http://www.apartments.com/lakewood-estates-mandan-nd/c0m91vd/   We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -Controlled Access Building -Community Room -Underground Garage Parking -Video Surveillance -On-site Manager -Fitness Room -24/7 Emergency Maintenance -Garage -Kitchen Island -Smoke Free Building  Call:  show contact info",46.8306,-100.90899999999999,nd
218972,https://bismarck.craigslist.org/apa/d/bismarck-classic-2-bed-2-bath-unit-at/7040057174.html,bismarck,1005,apartment,997,2,2.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00I0I_ihp6KZsAjnx_600x450.jpg,"Located in scenic southern Bismarck, Cottonwood Apartment Community stands as one of the most recently constructed rental communities in the city. Spacious units, industry-leading amenities, and close proximity to the University of Mary, Kirkwood Mall, all-the-best dining and entertainment that Bismarck has to offer makes Cottonwood the perfect place to call home.Bedrooms: 2Bathrooms: 2Rent: 940Amenities Include:Private BalconyClassic StyleDouble GarageCentral Heat PaidKitchen IslandCeiling Fan(s)Open Floor PlanEast FacingCall:  show contact info Find more info at http://www.iretapartments.com/property/north-dakota/bismarck-mandan/cottonwood-apartment-homes/Office Hours: Mon-Fri 8am-6pm | Sat 10am-3pm | Sun Closed Price and availability subject to change.",46.8034,-100.87700000000001,nd
218973,https://bismarck.craigslist.org/apa/d/bismarck-controlled-entry-microwave/7047570077.html,bismarck,815,apartment,900,2,1.0,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00404_5wXcv9g2Xp9_600x450.jpg,"Turnpike Apartments -Close to BSC College!   Great Location in Northwest Bismarck in a beautiful community!  Includes:  - Washer & Dryer  - Dishwasher - Fridge & Freezer - Garbage disposal - Balcony/Patio - Single garage - Designated parking spot - Air Conditioning  - Electric Grills Allowed on Balconies - Online Payments - Online Maintenance Requests -Heat, Water, Sewer, & Garbage are Paid! - Manager Office Near by    Available Now!  We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -Controlled Entry -Dishwasher -Spacious Kitchen -Private Patios and Balconies -Landscaping -Resident Manager On-Site -Garbage Disposal -Microwave -In-Unit Washer and Dryer  Call:  show contact info",46.8394,-100.78399999999999,nd
218974,https://bismarck.craigslist.org/apa/d/bismarck-off-street-designated-parking/7043868392.html,bismarck,795,apartment,940,2,1.0,0,0,1,0,0,0,,,https://images.craigslist.org/00W0W_7hDxvLcTQMy_600x450.jpg,"Mandan Place Apartments Located in Downtown Mandan! Call Melanie or Brittany today at  show contact info , or email mandanleasing at immapartments dot com We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -Controlled Access Building -24/7 Emergency Maintenance -Smoke Free -Central Air Conditioning -Off Street Parking -Coin Operated Laundry On-Site -Fitness Room -24 Hour Emergency Maintenance -Washer and Dryer Hookups -Video Surveillance  Call:  show contact info",46.8262,-100.891,nd
218975,https://bismarck.craigslist.org/apa/d/bismarck-apply-for-this-huge-2nd-floor/7044006366.html,bismarck,970,apartment,935,1,1.0,1,1,1,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00909_kwRXLX6yC0c_600x450.jpg,"Located in scenic southern Bismarck, Cottonwood Apartment Community stands as one of the most recently constructed rental communities in the city. Spacious units, industry-leading amenities, and close proximity to the University of Mary, Kirkwood Mall, all-the-best dining and entertainment that Bismarck has to offer makes Cottonwood the perfect place to call home.  -Garbage Disposal -Controlled Access -Microwave -In-Unit Washer and Dryer -Elevators -Community Room -Remodeled -Private Balcony -Controlled Entry System -On-Site Management -Pet Friendly  Call:  show contact info     Find more info at https://www.iretapartments.com/property/north-dakota/bismarck-mandan/cottonwood-apartment-homes  Price and availability subject to change.",46.8034,-100.87700000000001,nd
218976,https://bismarck.craigslist.org/apa/d/bismarck-life-just-got-better/7017961911.html,bismarck,1165,apartment,1280,2,2.0,1,1,1,0,0,0,,,https://images.craigslist.org/00h0h_k88L78Yxf8h_600x450.jpg,"Located in South Bismarck, River Ridge Apartments offers one, two and three-bed apartments and feature luxury amenities such as stainless steel appliances and granite countertops, indoor pool, fitness center, and heated underground parking.  -Underground Heated Garage -Microwave -Ceiling Fan(s) -Car Wash Bay -Deck -Community Room -Under Ground Parking -Indoor Pool & Hot Tub -Detached Garage -Fitness Center -Pet Friendly -30 Square Feet  Call:  show contact info     Find more info at http://www.iretapartments.com/property/north-dakota/bismarck-mandan/river-ridge-apartment-homes/   Price and availability subject to change.",46.7842,-100.774,nd
218977,https://bismarck.craigslist.org/apa/d/bismarck-move-in-ready-2-bedroom/7051139012.html,bismarck,1160,apartment,1122,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00T0T_lhR5n4CWJ4c_600x450.jpg,"Specials: Happy New Year 2020! We have storage units available throughout our community at a discounted monthly rate of $50 per month! Contact your leasing specialist for more information!  show contact info   Nestled just north of Bismark, the stunning Legacy Heights Apartments features beautiful kitchens complete with stainless steel appliances, and gorgeous granite counter tops. Legacy Heights Apartments offers a life of leisure and relaxation for its lucky residents, just moments from Legacy Heights School, Pebble Creek Golf Course and walking trails. Patios or decks, controlled entry, and garage are also included.  -Ice Maker -Dining Area -Microwave -Double Garage -In-Unit Washer/Dryer -Pantry -Fitness Center -Balcony -View - Patio -Close To The New Legacy High School -Island Kitchen -Close To Pebble Creek Golf Course  Call:  show contact info   For rental inquiries, please call at the number provided or email us with ""Legacy Heights"" in the subject line.  Find more info at https://www.iretapartments.com/legacy-heights-apartment-homes/craigslist   Price and availability subject to change.",46.8394,-100.78399999999999,nd
218978,https://bismarck.craigslist.org/apa/d/bismarck-gorgeous-ground-floor-2-bedroom/7049844271.html,bismarck,1160,apartment,1122,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00Y0Y_fXqK31jZ2Pr_600x450.jpg,"Specials: Happy New Year 2020! We have storage units available throughout our community at a discounted monthly rate of $50 per month! Contact your leasing specialist for more information!  show contact info Nestled just north of Bismark, the stunning Legacy Heights Apartments features beautiful kitchens complete with stainless steel appliances, and gorgeous granite counter tops. Legacy Heights Apartments offers a life of leisure and relaxation for its lucky residents, just moments from Legacy Heights School, Pebble Creek Golf Course and walking trails. Patios or decks, controlled entry, and garage are also included.Bedrooms: 2Bathrooms: 2Rent: 1145Amenities Include:Ice MakerPantryMicrowaveClose To Pebble Creek Golf CourseGranite CountertopsBalconyFitness CenterWalk In ClosetCall:  show contact info For rental inquiries, please call at the number provided or email us with ""Legacy Heights"" in the subject line.Find more info at https://www.iretapartments.com/legacy-heights-apartment-homes/craigslistOffice Hours: Mon-Fri 8am-6pm | Sat 10am-3pm | Sun Closed Price and availability subject to change.",46.8394,-100.78399999999999,nd
218979,https://bismarck.craigslist.org/apa/d/bismarck-tired-of-the-cliche-sheet/7051126689.html,bismarck,1275,apartment,1360,2,1.0,0,0,0,0,0,1,w/d in unit,attached garage,https://images.craigslist.org/01717_8HBQSO4qrpf_600x450.jpg,"Do you want a creative living space? Say no to living in a sheetrock box. Looking for something entirely different? Open floor plan gallery feel? Unapologetically rustic and farmhouse industrial esthetic in a rural residential setting just off River Road seven scenic miles north of Bismarck. Just blocks from the river. No extra charge for moose, deer, pheasant, wild turkey on the property.  1,125 sq ft plus a 20x8 ft. open loft that can be used as office/storage/extra bedroom. Air & light in soaring ceilings, french doors, large open kitchen with giant island, bedroom, walk-in closet. Side yard is a serene space with foliage privacy screening. Includes attached single garage.  Looking for one a low impact occupant  All utilities including electric, central air, heat, cable tv, internet garbage, sewer, water $275 per month  Background check",46.9005,-100.89399999999999,nd
218980,https://bismarck.craigslist.org/apa/d/bismarck-2-bed-2-bath-open-soon-with-d/7036718734.html,bismarck,905,apartment,997,2,2.0,1,1,1,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00f0f_1wi4UYsIcP2_600x450.jpg,"Located in scenic southern Bismarck, Cottonwood Apartment Community stands as one of the most recently constructed rental communities in the city. Spacious units, industry-leading amenities, and close proximity to the University of Mary, Kirkwood Mall, all-the-best dining and entertainment that Bismarck has to offer makes Cottonwood the perfect place to call home.  -Private Balcony -Walk In Closet -Pet Friendly -Detached Garages Included -In-Unit Washer and Dryer -Open Floor Plan -24-Hr Emergency Maintenance -3rd Floor -Controlled Entry System  Call:  show contact info     Find more info at https://www.iretapartments.com/property/north-dakota/bismarck-mandan/cottonwood-apartment-homes  Price and availability subject to change.",46.7842,-100.774,nd
218981,https://bismarck.craigslist.org/apa/d/bismarck-heat-is-paid-garage-24-hr/7051119172.html,bismarck,815,apartment,900,2,1.0,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00K0K_jv0JbPBSUd0_600x450.jpg,"Turnpike Apartments -Close to BSC College!   Great Location in Northwest Bismarck in a beautiful community!  Includes:  - Washer & Dryer  - Dishwasher - Fridge & Freezer - Garbage disposal - Balcony/Patio - Single garage - Designated parking spot - Air Conditioning  - Electric Grills Allowed on Balconies - Online Payments - Online Maintenance Requests -Heat, Water, Sewer, & Garbage are Paid! - Manager Office Near by    Available Now!  We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -Resident Manager On-Site -Private Patios and Balconies -In-Unit Washer and Dryer -Controlled Entry -Garbage Disposal -Microwave -Landscaping -Spacious Kitchen -Dishwasher  Call:  show contact info",46.8394,-100.78399999999999,nd
218982,https://bismarck.craigslist.org/apa/d/bismarck-call-for-showing-today/7051118261.html,bismarck,1015,apartment,1138,2,2.0,1,1,1,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00707_deCEULDhO1L_600x450.jpg,"Specials: Happy New Year 2020! We have storage units available throughout our community at a discounted monthly rate of $50 per month! Contact your leasing specialist for more information!  show contact info   Northridge Apartments is wonderfully situated on the north-east side of Bismarck and features stainless steel appliances, gorgeous granite countertops, patios/decks perfect for entertaining, controlled entry and included garage.Our leasing office is located 3841 Knudsen Ave., Bismarck, ND 58503 at Legacy Heights Apartments.  -Island Kitchen -Walk In Closet -View - Patio -Controlled Access -Central A/C & Heating -Oversized Windows -Patio -Secured Building -2nd Floor -Washer and Dryer Provided -Microwave -Balcony  Call:  show contact info   For rental inquiries, please call at the number provided, or email us with ""Northridge Apartments"" in the subject line!  Find more info at https://www.iretapartments.com/northridge-apartment-homes/craigslist   Price and availability subject to change.",46.8394,-100.78399999999999,nd
218984,https://bismarck.craigslist.org/apa/d/bismarck-garages-available-extra/7051116195.html,bismarck,920,apartment,960,2,2.0,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00404_5AahyZaZPwM_600x450.jpg,"Call Dawn for more information at  show contact info    Amenities:  -Controlled Access -Emergency Maintenance -Air Conditioning -Dishwasher Garbage Disposal -Heat, Water, Sewer & Trash paid -In-unit Washer & Dryer -Garage  We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -Washer & Dryer in Unit -Dishwasher -Extra Storage Available -Extra Parking -Garbage Disposal -24 Hour Emergency Maintenance -Controlled Entry -Microwave -Air Conditioning -Heat, Water, Garbage, Sewer Paid  Call:  show contact info",46.8394,-100.78399999999999,nd
218985,https://bismarck.craigslist.org/apa/d/bismarck-in-unit-washer-dryer-24-hour/7051114961.html,bismarck,945,apartment,1050,2,2.0,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00T0T_aoZLLehdtWz_600x450.jpg,"Hawk Pointe Apartments are located in Northwest Bismarck near Horizon Middle School, by Washington Street and 43rd Ave. This is a great and well maintained community and surrounding neighborhood. Hawk Pointe Apartments were built in 2008 this property stays very well maintained inside and out. Our on site Property Manager & Leasing Agent are in the office Monday-Friday 8:30 am to 5 pm and Saturdays by appointment. Professionally Managed by IMM (Investors Management & Marketing)   Call  show contact info  or email hawkpointeleasing at immapartments dot com Apartment Features: - 2 Bedrooms - 2 Bathrooms - In-unit washer & dryer - Large Laundry Room - Sliding Doors to Private Balcony/Patio - Air Conditioning - Full Bath Tub  - Microwave - Dishwasher - Electric Stove/Oven - Fridge with Freezer - Walk-in Closet in Master Bedroom - Bathroom attached to the master bedroom - Double Garage  Community Features - On-site Management - Controlled Entry - Fitness Room (Cardio & weight machines) - 24 Hour Emergency Maintenance Line - Online & Automatic Payments & Maintenance Requests  We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  https://my.matterport.com/show/?m=ZE7q2mVxHSN  -Extra Storage Available -Kitchen Island -Walk-in closets -Private Patios and balconies -In unit washer & Dryer -Microwave -Extra Parking -In unit laundry area -Dishwasher -Air Conditioning  Call:  show contact info",46.8394,-100.78399999999999,nd
218986,https://bismarck.craigslist.org/apa/d/bismarck-nw-bismarck/7051114137.html,bismarck,1750,apartment,1050,2,2.0,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/01414_hfIlLgnFsIn_600x450.jpg,"Our fully furnished units include all furnishings, soft goods, kitchenware and more! All utilities included in the price! Call us today for more information  show contact info !  Apartment Features: - In-unit washer & dryer - Large Laundry Room - Sliding Doors to Private Balcony/Patio - Air Conditioning - Full Bath Tub  - Microwave - Dishwasher - Electric Stove/Oven - Fridge with Freezer - Water, Sewer, & Garbage Paid - Double Garage   Community Features - On-site Management - Controlled Entry - Fitness Room (Cardio & weight machines) - 24 Hour Emergency Maintenance Line - Online & Automatic Payments & Maintenance Requests  We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -Private Patios and balconies -Walk-in closets -Microwave -Extra Parking -In unit washer & Dryer -Extra Storage Available -Air Conditioning -Dishwasher -In unit laundry area -Kitchen Island  Call:  show contact info",46.8394,-100.78399999999999,nd
218987,https://bismarck.craigslist.org/apa/d/bismarck-controlled-entry-microwave/7051113156.html,bismarck,1700,apartment,820,1,1.0,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00T0T_cd5S899OF0y_600x450.jpg,"Our fully furnished units include all furnishings, soft goods, kitchenware and more! All utilities included in the price!  Call us today for more information  show contact info !  Apartment Features: - In-unit washer & dryer - Large Laundry Room - Sliding Doors to Private Balcony/Patio - Air Conditioning - Full Bath Tub  - Microwave - Dishwasher - Electric Stove/Oven - Fridge with Freezer - Water, Sewer, Heat & Garbage Paid - Single Stall Garage   Community Features - On-site Management - Controlled Entry - Fitness Room (Cardio & weight machines) - 24 Hour Emergency Maintenance Line - Online & Automatic Payments & Maintenance Requests  We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -Air Conditioning -Kitchen Island -Extra Storage Available -In unit laundry area -Dishwasher -In unit washer & Dryer -Walk-in closets -Extra Parking -Microwave -Private Patios and balconies  Call:  show contact info",46.8394,-100.78399999999999,nd
218988,https://bismarck.craigslist.org/apa/d/bismarck-extra-storage-available/7051112489.html,bismarck,1155,apartment,1365,3,2.0,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00P0P_eYf7Mvbep2l_600x450.jpg,"Hawk Pointe Apartments are located in Northwest Bismarck near Horizon Middle School, by Washington Street and 43rd Ave. This is a great and well maintained community and surrounding neighborhood. Hawk Pointe Apartments were built in 2008 this property stays very well maintained inside and out. Our on site Property Manager & Leasing Agent are in the office Monday-Friday 8:30 am to 5 pm and Saturdays by appointment. Professionally Managed by IMM (Investors Management & Marketing)   Apartment Features: - 3 Bedrooms  - 2 Bathrooms - In-unit washer & dryer - Large Laundry Room - Sliding Doors to Private Balcony/Patio - Air Conditioning - Full Bath Tub  - Microwave - Dishwasher - Electric Stove/Oven - Fridge with Freezer - Walk-in Closet in Master Bedroom - Master Bathroom - 2 Car Garage  Community Features - On-site Management - Controlled Entry - Fitness Room (Cardio & weight machines) - 24 Hour Emergency Maintenance Line - Online & Automatic Payments & Maintenance Requests  -Private Patios and balconies -Extra Parking -Kitchen Island -Microwave -Walk-in closets -Extra Storage Available -In unit laundry area -Dishwasher -In unit washer & Dryer -Air Conditioning  Call:  show contact info",46.8394,-100.78399999999999,nd
218989,https://bismarck.craigslist.org/apa/d/bismarck-elevator-central-air/7035750022.html,bismarck,795,apartment,940,2,1.0,0,0,0,0,0,0,,,https://images.craigslist.org/01717_la0X30rwTFA_600x450.jpg,"Mandan Place Apartments Located in Downtown Mandan! Call Melanie or Brittany today at  show contact info , or email mandanleasing at immapartments dot com We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -Video Surveillance -24/7 Emergency Maintenance -24 Hour Emergency Maintenance -Off Street Parking -Central Air Conditioning -Washer and Dryer Hookups -Fitness Room -Coin Operated Laundry On-Site -Controlled Access Building -Smoke Free  Call:  show contact info",46.8262,-100.891,nd
218990,https://grandforks.craigslist.org/apa/d/grand-forks-2-bedroom-1-bathroom-near/7050844554.html,grand forks,650,apartment,850,2,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00I0I_brlVOcpZdtE_600x450.jpg,"Available NOW is a 2 bedroom 1 Bathroom at Bristol Park Apartments!  Included with rent $650: Controlled keypad entry Parking space w/ post outlet Wall unit a/c Dishwasher Balcony Walk in master closet Storage locker Coin laundry Smoke free No pets  Goldmark takes care of most utilities, including heat and hot water! You would only be responsible for electric and your own cable/internet.  Offering 6, 9, 12 and 24 month leases.  Call Columbia West to tour this apartment today!  show contact info",47.9268,-97.0881,nd
218991,https://bismarck.craigslist.org/apa/d/bismarck-top-floor-corner-unit-3-bed-2/7039710557.html,bismarck,1220,apartment,1396,3,2.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00m0m_4F3jlbIa9JX_600x450.jpg,"Located in scenic southern Bismarck, Cottonwood Apartment Community stands as one of the most recently constructed rental communities in the city. Spacious units, industry-leading amenities, and close proximity to the University of Mary, Kirkwood Mall, all-the-best dining and entertainment that Bismarck has to offer makes Cottonwood the perfect place to call home.Bedrooms: 3Bathrooms: 2Rent: 1155Amenities Include:MicrowaveClose To DowntownPrivate BalconyCeiling Fan(s)Corner UnitGarbage DisposalIn-Unit Washer and DryerPet FriendlyCall:  show contact info Find more info at http://www.iretapartments.com/property/north-dakota/bismarck-mandan/cottonwood-apartment-homes/Office Hours: Mon-Fri 8am-6pm | Sat 10am-3pm | Sun Closed Price and availability subject to change.",46.8034,-100.87700000000001,nd
218992,https://bismarck.craigslist.org/apa/d/bismarck-resident-manager-controlled/7048487939.html,bismarck,1155,apartment,1365,3,2.0,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/01010_7dEsEMwX3uq_600x450.jpg,"Hawk Pointe Apartments are located in Northwest Bismarck near Horizon Middle School, by Washington Street and 43rd Ave. This is a great and well maintained community and surrounding neighborhood. Hawk Pointe Apartments were built in 2008 this property stays very well maintained inside and out. Our on site Property Manager & Leasing Agent are in the office Monday-Friday 8:30 am to 5 pm and Saturdays by appointment. Professionally Managed by IMM (Investors Management & Marketing)   Apartment Features: - 3 Bedrooms  - 2 Bathrooms - In-unit washer & dryer - Large Laundry Room - Sliding Doors to Private Balcony/Patio - Air Conditioning - Full Bath Tub  - Microwave - Dishwasher - Electric Stove/Oven - Fridge with Freezer - Walk-in Closet in Master Bedroom - Master Bathroom - 2 Car Garage  Community Features - On-site Management - Controlled Entry - Fitness Room (Cardio & weight machines) - 24 Hour Emergency Maintenance Line - Online & Automatic Payments & Maintenance Requests  -Dishwasher -Air Conditioning -Extra Parking -Private Patios and balconies -In unit laundry area -Kitchen Island -Microwave -In unit washer & Dryer -Walk-in closets -Extra Storage Available  Call:  show contact info",46.8394,-100.78399999999999,nd
218993,https://bismarck.craigslist.org/apa/d/bismarck-granite-counter-tops-state-of/7036641758.html,bismarck,975,apartment,732,1,1.0,1,1,0,1,0,0,w/d in unit,,https://images.craigslist.org/00R0R_1ohmkZONzvy_600x450.jpg,"Contact us today to hear about our specials!This is our basic 1 bed/1 bath unit, featuring 732sq ft. The kitchen features all stainless steel appliances along with pull down faucet, and extra large sink situated on a center island. Also includes a corner pantry adding lots of storage space.We have on-site management, as well as 24 hour maintenance. Coulee Ridge warmly welcomes pets of many sizes. Please feel free to contact us for more information on this very spacious and modern floor plan or apply online at http://www.immapartments.com/property/coulee-ridge/available-units/Coulee%20Ridge/-Carpeting-On-Site Management-Controlled Access Building-Private Business Center with FREE Wifi and Cable T.V.-Central Heating and Air Conditioning-Video Surveillance-Smoke Free Building-Deluxe Coffee Bar and Snack Station-Laminate Flooring-Beautifully Maintained Grounds and Speedy Snow RemovalCall:  show contact info Equal Housing Opportunity*Prices are subject to change at any time.",46.8524,-100.744,nd
218994,https://bismarck.craigslist.org/apa/d/bismarck-available-now-great-corner/7046921618.html,bismarck,1285,apartment,1396,3,2.0,1,1,1,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00l0l_6dSgZTcIhij_600x450.jpg,"Located in scenic southern Bismarck, Cottonwood Apartment Community stands as one of the most recently constructed rental communities in the city. Spacious units, industry-leading amenities, and close proximity to the University of Mary, Kirkwood Mall, all-the-best dining and entertainment that Bismarck has to offer makes Cottonwood the perfect place to call home.  -Classic-3 Bed -In-Unit Washer and Dryer -Controlled Access -Close To Downtown -Microwave -Corner Unit -Location -Classic -Dishwasher -Walk In Closet -Patio -Elevators  Call:  show contact info     Find more info at https://www.iretapartments.com/property/north-dakota/bismarck-mandan/cottonwood-apartment-homes  Price and availability subject to change.",46.8034,-100.87700000000001,nd
218995,https://bismarck.craigslist.org/apa/d/bismarck-in-unit-washer-and-dryer/7041387900.html,bismarck,900,apartment,893,2,2.0,0,0,0,0,0,0,,,https://images.craigslist.org/00404_4P4capzq75s_600x450.jpg,"Lakewood Estates are new apartments for rent in Mandan. Great views, an elevator, community area, community patio with grills, on site resident manager and leasing agent, Elevator access, heated underground parking, and so much more. This is a pet friendly community with underground parking and garages available. Contact Melanie or Brittany today at  show contact info , or E-mail us at mandanleasing at immapartments dot com Check out our 3D floor plans on Apartments.com; http://www.apartments.com/lakewood-estates-mandan-nd/c0m91vd/   We donât just rent apartments, we create a community. From the moment you walk through the front door, youâll feel the comfort and security that makes our residents happy to come home to IMM Apartments. With more than 45 years of experience, our friendly and knowledgeable staff is committed to providing safe and affordable housing to all of our tenants.  -Underground Garage Parking -In-Unit Washer and Dryer -Smoke Free Building -Video Surveillance -Garage -Fitness Room -Pet Friendly -24/7 Emergency Maintenance -Community Room -Kitchen Island  Call:  show contact info",46.8306,-100.90899999999999,nd
