,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
195857,https://nh.craigslist.org/apa/d/manchester-all-pets-welcome-apartment/7050471344.html,new hampshire,1400,apartment,900,3,1.0,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00j0j_c2do2eGArJ4_600x450.jpg,"$1,400/MONTH THREE BEDROOM 2nd FLOOR ALL HARDWOOD APT FOR RENT IN A PET FRIENDLY BUILDING WITH HOT WATER AND OFF STREET PARKING AVAILABLE AT HAYWARD STREET. FOR A SHOWING PLEASE CALL DAVID  show contact info",42.98,-71.4574,nh
195990,https://nh.craigslist.org/apa/d/concord-duplex-for-rent/7046236874.html,new hampshire,1500,duplex,1250,3,1.0,0,0,1,0,0,0,w/d hookups,,https://images.craigslist.org/00J0J_gIlDsp3rjFN_600x450.jpg,"First floor duplex for rent in concord. Spacious 3 bedroom, 1 bath. Freshly painted. Hardwood floors throughout. Large kitchen, granite countertops. Fenced backyard. Minutes away from downtown concord and highway 93. Natural gas heating.",43.2185,-71.5277,nh
196098,https://nh.craigslist.org/apa/d/manchester-beautiful-apartments-here-at/7050299381.html,new hampshire,1610,apartment,916,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00B0B_830LKnOsDep_600x450.jpg,"$500 security deposit with your good credit on all one and two bedroom apartments.   The historic Lofts at Mill West is a stunning loft apartment community featuring exposed brick and beams, wood floors, soaring ceilings, bright oversized windows, and an assortment of tastefully-appointed amenities for the ultimate in chic loft style living!  All our apartments have sleek, modern kitchens with stainless steel appliances & granite counter tops, central A/C and a convenient in-unite washer and dryer.   Never leave home to work out again with the on-site fitness center.  Enjoy the community room with billiard table, air hockey, shuffleboard, and foosball.  Or jump on the internet with the Wi-Fi hotspot. Our state-of-the-art theatre room, lending library, indoor putting green, and rooftop deck make the Lofts at Mill West the perfect place to call home. And donât forget, your four-legged friends are welcome, too!  The Lofts at Mill West is located at 195 McGregor Street in Manchester, just a few blocks off Route 293, Granite Street Exit 5, and within a few city blocks of downtown Manchester and all that it has to offer.   The Lofts score high in walkability for its close proximity to restaurants, nightlife, grocery stores, SNHU Arena, Northeast Delta Dental/Fisher Cats Stadium, Arms Park, SEE Science Center/Millyard Museum, Palace Theatre, bakeries, coffee shops, salons and spas, Manchester Public Library, UNH Manchester, and business and industry within the Manchester Millyard. Use the Green Dash for free transportation around the Millyard.  NO APPLICATION FEES!  Units are ready for immediate occupancy!    Our leasing office is located at the rear of the Mill West building. You may access the new leasing office area located at the rear of Mill West using Foundry Street to the South.  Access from the rear of Mill West:  Using Foundry Street, take a left behind the main building and travel through the parking lot, under the ""bridge"" adjoining the main building with the Annex, and watch for the green double doors with awning on the left for the Leasing Office.  Owned and professionally managed by Brady Sullivan Properties.   Personal tours available 7 days: Monday through Saturday from 8:30am-6:00pm, and Sunday from 12:00pm-6:00pm PLEASE CALL FOR AN APPOINTMENT.   To schedule a personal tour, call us today at  show contact info  or click on the REPLY box above for our email contact info.    *Photos represent similar units. Units may vary.              MN Bedford, MA, Auburn, NH, Nashua, NH, Hooksett, NH, Goffstown, NH, Merrimack, NH, Londonderry, NH, Derry, NH, Chester, NH, Pembroke, NH, Litchfield, NH, Candia, NH, New Boston, NH, Amherst, NH, Raymond, NH, Manchester, NH, Keene, NH, Durham, NH",42.9937,-71.4727,nh
196223,https://nh.craigslist.org/apa/d/bristol-newly-renovated-2br-with-heat/7049045550.html,new hampshire,1039,condo,680,2,1.0,0,0,1,0,0,0,,off-street parking,https://images.craigslist.org/00I0I_5j3GJ8r3z6Z_600x450.jpg,"This third floor, NEWLY RENOVATED, 2BR WATERFRONT Condo (on the Newfound River right in the heart of beautiful Bristol NH) available on 01-January is looking for a great tenant to appreciate and care for it. This location is only about 6 miles from Route 93/Exit 23 and is easily commutable to Plymouth, Franklin, Tilton, Meredith, Laconia and perhaps even Concord and beyond. Rent INCLUDES: heat, hot water, sewer, dumpster and off-street parking. This newly renovated third floor condo is situated in a updated brick building which features tile floors and includes a modern fire annunciator system. 1 year lease required, small pets negotiable and persons on Social Security or Disability are WELCOME. This unit features new hardwood floors in the bedrooms, tile in the kitchen, and a new fridge with and Ice and Water dispenser in the door! Please note: The rent is $1099/mo but you will receive a $60/month discount for paying your rent within 5 days of the 1st of the month, resulting in a $1039 monthly rental. First month's rent + one month security deposit required. Also: We would be happy to rent this unit to a PSU student but the co-signature of a parent (who lives in NH) with solid financial wherewithal will be required. A good credit score, employment history and some cash cushion (savings) will be required but these requirements will be waived if you have guaranteed income and have a good rental history (or if you can come up with a financially solid co-signer who lives in NH)... You will not find a finer waterfront home at a more reasonable rent anywhere in New Hampshire. We are QUALITY, responsible and good natured landlords looking for a long-term QUALITY, responsible and good natured tenant(s)!  NO DOGS weighing more than 15 pounds will be considered. This is mandated by our Condo Association so PLEASE DO NOT ASK FOR AN EXCEPTION",43.611999999999995,-71.7507,nh
196266,https://nh.craigslist.org/apa/d/manchester-make-your-move-before-its/7050292283.html,new hampshire,1710,apartment,911,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/01616_9WhqqtoCml3_600x450.jpg,"$500 security deposit with your good credit on all one and two bedroom apartments.   The historic Lofts at Mill West is a stunning loft apartment community featuring exposed brick and beams, wood floors, soaring ceilings, bright oversized windows, and an assortment of tastefully-appointed amenities for the ultimate in chic loft style living!  All our apartments have sleek, modern kitchens with stainless steel appliances & granite counter tops, central A/C and a convenient in-unite washer and dryer.   Never leave home to work out again with the on-site fitness center.  Enjoy the community room with billiard table, air hockey, shuffleboard, and foosball.  Or jump on the internet with the Wi-Fi hotspot. Our state-of-the-art theatre room, lending library, indoor putting green, and rooftop deck make the Lofts at Mill West the perfect place to call home. And donât forget, your four-legged friends are welcome, too!  The Lofts at Mill West is located at 195 McGregor Street in Manchester, just a few blocks off Route 293, Granite Street Exit 5, and within a few city blocks of downtown Manchester and all that it has to offer.   The Lofts score high in walkability for its close proximity to restaurants, nightlife, grocery stores, SNHU Arena, Northeast Delta Dental/Fisher Cats Stadium, Arms Park, SEE Science Center/Millyard Museum, Palace Theatre, bakeries, coffee shops, salons and spas, Manchester Public Library, UNH Manchester, and business and industry within the Manchester Millyard. Use the Green Dash for free transportation around the Millyard.  NO APPLICATION FEES!  Units are ready for immediate occupancy!    Our leasing office is located at the rear of the Mill West building. You may access the new leasing office area located at the rear of Mill West using Foundry Street to the South.  Access from the rear of Mill West:  Using Foundry Street, take a left behind the main building and travel through the parking lot, under the ""bridge"" adjoining the main building with the Annex, and watch for the green double doors with awning on the left for the Leasing Office.  Owned and professionally managed by Brady Sullivan Properties.   Personal tours available 7 days: Monday through Saturday from 8:30am-6:00pm, and Sunday from 12:00pm-6:00pm PLEASE CALL FOR AN APPOINTMENT.   To schedule a personal tour, call us today at  show contact info  or click on the REPLY box above for our email contact info.    *Photos represent similar units. Units may vary.             MN Bedford, MA, Auburn, NH, Nashua, NH, Hooksett, NH, Goffstown, NH, Merrimack, NH, Londonderry, NH, Derry, NH, Chester, NH, Pembroke, NH, Litchfield, NH, Candia, NH, New Boston, NH, Amherst, NH, Raymond, NH, Manchester, NH, Keene, NH, Durham, NH",42.9937,-71.4727,nh
214193,https://nh.craigslist.org/apa/d/goffstown-luxury-2bed-2-full-bath/7043899586.html,new hampshire,1975,apartment,1236,2,2.0,1,0,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00Q0Q_gXTxCoxtMyy_600x450.jpg,"Luxury newly renovated apartment.  Granite counter tops in kitchen and baths.  Stainless steel appliances, refrigerator, microwave, d/w and glass cook top range.  Two full baths, with deep tubs.  Laundry room in unit, with w/d hookups.  All LED ceiling lights.  Sprinkler system.  First floor.  Center of town.  Large deck.  Solid core doors.  Lots of closet/storage space and light.  A must see",43.0201,-71.5697,nh
214215,https://nh.craigslist.org/apa/d/manchester-new-year-new-home/7046367807.html,new hampshire,1725,apartment,1199,2,2.0,1,1,0,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00Y0Y_8lETQyJZAF7_600x450.jpg,"Greenview Village Apartments    55 Golfview Drive, Manchester, NH 03102     New Years Savings at Greenview Village! Heat and Hot Water included! Available in NOW! Large 2 bedroom/2 bath, first floor.  UPGRADES including new counter tops, cabinets and stainless steel appliances! WILL GO FAST!!   165 Greenview Drive, Apt 2  $1,725/ 2-Bed / 2-Bath - 1199 sq ft   Apartment Features   Spacious one & two bedroom floorplans  Private balcony or patio in most homes UPDATED Cabinets and counter tops Stainless steel appliances Storage unit included Heat and hot water included  Community Features    Modern fitness center with cardio and strength equipment  Outdoor swimming pool and sundeck  Outdoor grilling area  Resident clubhouse with *FREE* WIFI, billiards, game tables and business center  Basketball Court, Tennis Court and playground  Package acceptance service  24-Hour emergency maintenance  Pet-friendly community with âBark Parkâ   Smoke-free community!   Laundry facilities in each building  Convenient access to Downtown Manchester, I-93, I-293  Shopping and dining just minutes away!   Resident Portal with Online Payments and Online Work Orders  On-site Management, professionally managed DOLBEN Property Highlights:   The apartments of Greenview Village are nestled in a quiet cul-de-sac along a beautiful golf course - yet conveniently located within moments of Interstates 93, 293 and downtown Manchester. Our apartment homes have been carefully designed and appointed with your every comfort and convenience in mind. Enjoy a game of billiards or table tennis in the club house. Work out with the cardio and strength training equipment in the fitness center. Stroll the grounds, and enjoy the beautifully manicured landscaping and playground. Soak up the sun or cool off in the pool. Take part in a friendly game of tennis or basketball. It's all here, at Greenview Village.  To tour our floor plans and see what amenities may be available, please call us at  show contact info . Office hours are Monday-Friday 9am-6pm, Saturday 9am-5pm and Sunday 12pm-5pm. We look forward to speaking with you soon!",42.9944,-71.4884,nh
214237,https://nh.craigslist.org/apa/d/manchester-moving-we-have-what-you-need/7040093627.html,new hampshire,1349,apartment,833,2,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00G0G_37zRQDhqdfF_600x450.jpg,"**Special** at Sunset Ridge Apartments Pay no rent till February 1, 2020!  Are you ready to live life to its fullest at Sunset Ridge Apartments? Itâs a great place to call home if your passion is carefree, luxury living.Our stylish apartment homes feature spacious closets, individually controlled room-by-room heating, wall-to-wall carpeting, secure entries with intercom system, private balconies, air conditioning unit in the living rooms, fully applianced kitchens with dishwasher and disposal, free storage area, laundry rooms just steps from your apartment door and parking. Apartment sizes range from 633 square feet to 833 square feet. Ask about our non-smoking buildings at this location.Our community amenities include a private clubhouse with a fireplace, cardio room, a fully applianced kitchen, and a party room. You will enjoy the manicured grounds, picnic areas, playground and exceptional sunset views.We are conveniently located moments to Routes I-93 and 101 with easy access to Derry, Bow, Salem, and Concord. We are close to the finest in shopping, dining, and entertainment. Call today to see your new home at Sunset Ridge Apartments. No Security Deposit is Required.Amenities  Playground and Manicured Grounds Non-Smoking Options Available Sparkling Outdoor Pool Modern Clubhouse with Cardio Room Dishwasher Large Closets Close to Routes 293 and 93 On-site Rental Office Grilling area Some with Microwaves Cats and Small Dogs Welcome Laundry room on every floor  Pet Policy  Cats: $35 / mo (per pet) Dog (Under 25lbs): $50 / mo (per pet) Must Be Under 25lbs (When Fully Mature)  Call or text us at  show contact info Take Advantage of our Exclusive NO SECURITY DEPOSIT Program. When you move in, you simply pay for your first month's rent and a non-refundable Lease Protect Bond starting at $299 with your good credit, landlord references and income qualifications.Craigslist pricing, specials and availability are correct at the time of posting and are subject to change at any time. Please call to verify.as",42.9998,-71.4201,nh
214244,https://nh.craigslist.org/apa/d/winnisquam-make-your-move-to-nhs/7038807911.html,new hampshire,1550,apartment,1094,3,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00Q0Q_4qAPaFMkxgF_600x450.jpg,"Life is better near the Lakes! Welcome home to Apple Ridge.  If you enjoy visiting the Lakes Region, just imagine what itâs like to live here! Apple Ridge apartments are located just minutes from Lake Winnipesaukee and surrounded by all of the gorgeous north country tranquility and Lakes Region activities you could ask for. Beautiful mountain views, meticulously landscaped grounds and a friendly, dedicated Leasing staff make our residents happy to call Apple Ridge home. Our clean, contemporary design 1, 2 & 3 bedroom garden style homes offer the luxury of modern living in a country setting. Each Apple Ridge home offers:  -Easy accessibility from route 106 (1.5 miles) -Upgraded kitchen with granite countertops & sleek stainless steel appliances -Keyed entry -In-unit washer and dryer  -Generous closet space  -Private porch -Select homes also have spectacular mountain range & water views -Apple Ridge is a pet-friendly rental community, ask about our policy!  Owned and professionally managed by Brady Sullivan Properties.   Apple Ridge is located at 65 Provencal Road in Laconia, NH. Call today to schedule your personal tour, or click on the REPLY box above for our email contact info. Our Leasing Office is open Monday - Saturday from 8:30 AM until 5:00 PM.  *Subject to change at any time. Photos may represent similar unit.  **Additional Charges will apply.                                             BS  Tilton, NH, Gilford, NH, Belmont, NH, Northfield, NH, Meredith, NH, Franklin, NH, Alton, NH, Wolfeboro, NH, Barnstead, NH, Moultonborough, NH, Loudon, NH, Pittsfield, NH, Plymouth, NH, Ossipee, NH, Epsom, NH, Wakefield, NH, Laconia, NH, Canterbury NH, Concord NH,  Gilmanton, NH,  Bristol, NH, Bridgewater, NH, Ashland, NH, New Durham, NH, Webster, NH, Holderness, NH, Nashua, NH, Manchester, NH",43.5114,-71.4686,nh
214256,https://nh.craigslist.org/apa/d/nashua-now-leasing-new-beginnings-at/7044648644.html,new hampshire,1850,apartment,1098,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/01717_53z1kjLiipt_600x450.jpg,"Not a Morning Person? Thatâs Okay!  Located near some of the finest coffee shops in Nashua, Lofts 34 is the perfect new home for you and your caffeine needs! With a sleek, modern kitchen, big, bright windows, exposed brick and soaring ceilings, youâre going to love waking up to your gorgeous new home at Lofts 34.   Our residents also enjoy full access to an assortment of convenient on-site amenities:  â¢	Rooftop deck â¢	Community gathering room with fireplace and fully-applianced kitchen â¢	Game room with billiards, ping pong, foosball, air hockey and shuffleboard â¢	Fully-equipped fitness center â¢	Pet washing station â¢	Indoor putting green & basketball court â¢	Theatre room with big screen TV and cinema-style seating â¢	Garage parking & additional storage available  â¢	Even a WiFi lounge and lending library  Lofts 34 is a pet-friendly community, ask for details!  Our quaint downtown is also just a short walk away, where youâll find a variety of great restaurants, nightlife, bakeries, coffee shops, salons and spas to explore. Mine Falls Park is just a half mile away and is sure to become a favorite for your four legged friends.  NO APPLICATION FEES!!  Come by and weâll take you on a personal tour! Our Leasing office is located at 34 Franklin Street, and weâre available for tours Monday through Saturday from 8:30am-6:00pm and Sunday from 12:00pm-6:00pm.   Owned and professionally managed by Brady Sullivan Properties.   To schedule a personal tour, call us at  show contact info  or click on the REPLY box above for our email contact info.    *Photos represent similar units. Units may vary.                                         BS  Bedford, NH, Auburn, NH, Nashua, NH, Hooksett, NH, Goffstown, NH, Merrimack, NH, Londonderry, NH, Derry, NH, Chester, NH, Pembroke, NH, Litchfield, NH, Candia, NH, New Boston, NH, Amherst, NH, Raymond, NH, Manchester, NH, Keene, NH, Durham, NH",42.778999999999996,-71.4748,nh
