,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
248250,https://providence.craigslist.org/apa/d/warren-large-3-bedroom-available-soon/7050935865.html,rhode island,2650,apartment,1873,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00s0s_1t1jd2YKtHB_600x450.jpg,"*CURRENT SPECIAL* $500 security deposit with your good credit on all one and two bedroom apartments Visit the luxurious new Tourister Mill, where youâll find a variety of spacious floor plans including Studio, 1, 2, 3, 4 and 5 bedrooms and 1, 2, and 3 baths- many with additional loft space and even fireplaces in select units. All of our apartments have sleek, modern kitchens, bright oversized windows, elegant wood flooring, and designer finishes throughout. Each unit also has an individual heating and cooling system and private washer/dryer. We are also a pet-friendly community, ask for details about our pet policy!  Tourister Mill residents also enjoy unparalleled luxury with an assortment of tastefully appointed on-site amenities, including:  -Indoor putting green -Community gathering room with fireplace and fully-applianced kitchen -Game room with billiards, ping pong and shuffleboard -Fully-equipped fitness center -Theatre room with big screen TV and cinema-style seating -Even a WiFi fi lounge and lending library Our Leasing office is open Monday, Tuesday Thursday, Friday & Saturday 8:30am-5:00pm and Wednesday 8:30am-7:00pm.  We would like to personally invite you to tour with us at Tourister Mill located at 91 Main St Warren, RI 02885. Conveniently located in the northern end of Warren with highway access to I-195. To schedule a personal tour, call us today at  show contact info  or click on the REPLY box above for our email contact info. *Prices and special are subject to change at any time.  Photos may represent similar unit.    Owned and professionally managed by Brady Sullivan Properties.  kc        Warren, RI, Bristol, RI, Cranston, RI, Attleboro, MA, Central Falls, RI, Valley Falls, RI, Providence, RI, East Providence, RI, North Providence, RI, Cumberland, RI, Cranston, RI, Greenville, RI, Smithfield, RI, Barrington, RI, North Smithfield, RI, Woonsocket, RI Sowams, RI, Maxfields Corner, RI, Fall River, MA, Beach Terrace, RI, East Warren, RI, Laurel Park, RI, Swansea, MA, Newport, RI, Johnston, RI, Harris Mill, US Rubber",41.7363,-71.2863,ri
248281,https://providence.craigslist.org/apa/d/warwick-large-one-bedroom-top-floor/7049022501.html,rhode island,1230,apartment,740,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00x0x_6zhN24GlrMV_600x450.jpg,"Welcome Home to Fairfax Village!   In the Heart of RI, Fairfax Village's Central Location and Apartment Upgrades Make Us a Great Value. Come Find Out Why! Post Generated: January 3rd 2020  Call Today to See Your New Home!  show contact info  1 Bedrooms / 1.0 Bath 740 sq. ft.  Apartment Number: A12 Rent: $1,230.00  Deposit: $150.00 Holding Deposit and Security Deposit Options Available: January 10th 2020 Address: 900 Post Road | Warwick, RI  Office Hours: Mon-Fri: 8:00am-5:00pmSat: 9:30am-5:00pm  Fairfax Village offers beautiful one bedroom, two bedroom and townhouse style community living. Heat and hot water are included and there are NO extra fees for off street parking, garbage removal, sewer and snow/ice removal. Here on site we have a sparkling 9ft deep swimming pool with new patio furniture and grill. The property also features a new dog park, playground and half basketball court. In addition we are a pet friendly community! Come see us today! Apartment Amenities: Plush Carpeting Tiled Kitchen and Bathroom Granite Bathroom Vanity Ample Storage! Huge Walk-In Closet in Bedroom! Maple Cabinets and Granite Counter tops in Open Concept Kitchen! Furnished Available  Live Worry Free with Heat and Hot Water Included! Exterior Advantages: Central Location! Beautiful Landscaping  Shimmering Swimming Pool Community Advantages: PET FRIENDLY! Pet Restrictions Apply.  Please Call for Details. On Site and On-Call Maintenance  Close to Public Transportation Easy Access to Freeways  Close to Shopping and Dining Half Basketball Court, Playground and Dog Park!  Childrenâs Play Area  Ask us about our Preferred Employer Program! Are you employed by one of the following companies?  Active Duty Military Active First Responders (Police, Fire, & Rescue) ADP USPS Amgen Bank of America Blue Cross Blue Shield Citizenâs Bank Cox Communications CVS Electric Boat Fidelity Investments FM Global G-Tech/IGT Hasbro Hospital Employees MetLife National Grid NUWC Raytheon RI Dept. of Corrections RI State & City Employees Toray Plastics Textron URI You are eligible for special incentives! Ask a Leasing Professional today!  Call Fairfax Village Home and Fall in Love with Our Premier Style and Affordable Pricing! *Restrictions Apply to All Promotions.  Call for Details.  â",41.7494,-71.4084,ri
248288,https://providence.craigslist.org/apa/d/warwick-2-bedroom-with-plenty-of-closet/7049027916.html,rhode island,1425,apartment,932,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00x0x_6zhN24GlrMV_600x450.jpg,"Welcome Home to Fairfax Village!   In the Heart of RI, Fairfax Village's Central Location and Apartment Upgrades Make Us a Great Value. Come Find Out Why! Post Generated: January 3rd 2020  Call Today to See Your New Home!  show contact info  2 Bedrooms / 1.0 Bath 932 sq. ft.  Apartment Number: C35 Rent: $1,425. Call for details. Deposit: Call for details. Available:  January 10th 2020 Address: 145 Essex Road | Warwick, RI Office Hours: Mon-Fri: 8:00am-5:00pmSat: 9:30am-5:00pm  Fairfax Village offers beautiful one bedroom, two bedroom and townhouse style community living. Heat and hot water are included.  There is also a $25 monthly community fee.We also offer off street parking, garbage removal, sewer and snow/ice removal. Here on site we have a sparkling 9ft deep swimming pool with new patio furniture and grills. The property also features a new dog park, playground and half basketball court. In addition we are a pet friendly community! Come see us today! Apartment Amenities: Plush Carpeting Tiled Kitchen and Bathroom Granite Bathroom Vanity Ample Storage! Walk-In Closets in Both Bedrooms! Open Concept Kitchen and Separate Dining Room! Furnished Available  Live Worry Free Winters with Heat and Hot Water Included! Exterior Advantages: Central Location! Beautiful Landscaping  Shimmering Swimming Pool Community Advantages: PET FRIENDLY! Pet Restrictions Apply.  Please Call for Details. On Site and On-Call Maintenance  Close to Public Transportation Easy Access to Freeways  Close to Shopping and Dining Half Basketball Court Childrenâs Play Area   Ask us about our Preferred Employer Program! Are you employed by one of the following companies?  Active Duty Military Active First Responders (Police, Fire, & Rescue) ADP USPS Amgen Bank of America Blue Cross Blue Shield Citizenâs Bank Cox Communications CVS Electric Boat Fidelity Investments FM Global G-Tech/IGT Hasbro Hospital Employees MetLife National Grid NUWC Raytheon RI Dept. of Corrections RI State & City Employees Toray Plastics Textron URI  You are eligible for special incentives! Ask a Leasing Professional today!  Call Fairfax Village Home and Fall in Love with Our Premier Style and Affordable Pricing! *Restrictions Apply to All Promotions.  Call for Details.",41.7494,-71.4084,ri
248327,https://providence.craigslist.org/apa/d/pawtucket-start-your-new-year-off-at/7050448368.html,rhode island,1470,apartment,1055,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00w0w_gr0hM5gkimJ_600x450.jpg,"American Wire Residential Lofts is so much more than your run-of-the-mill rental community,  these stylish historic lofts have it all- gorgeous modern finishes, a variety of floor plans to choose from, and a convenient assortment of on-site amenities, including  24 hour fitness center, community game room, indoor half basketball court, theatre room, even an outdoor patio & grilling area. No detail has been overlooked in this beautifully renovated historic mill!  Choose from a wide selection of floor plans including 1, 2 and 3 bedroom apartments,  all pet-friendly and completely renovated from the ground up, to meet the needs of your busy, urban lifestyle.   And even though you might never want to leave your gorgeous new loft, a whole world of great shopping, dining and entertainment awaits just minutes away in nearby Providence.   Weâd love to meet you! Call us to schedule your personal tour, at  show contact info  or click on the REPLY box above for our email contact info. Our leasing office is open 6 days a week, Monday thru Saturday 8:30 AM to 5 PM.   Owned and professionally managed by Brady Sullivan Properties. *Prices and special are subject to change at any time.  Photos may represent similar unit.                       MH    Warren, RI, Johnston, RI, Bristol, RI, Cranston, RI, Attleboro, MA, Central Falls, RI, Valley Falls, RI, Providence, RI, East Providence, RI, North Providence, RI, Cumberland, RI, Cranston, RI, Greenville, RI, Smithfield, RI, Barrington, RI, North Smithfield, RI, Woonsocket, RI, Sowams, RI, Maxfields Corner, RI, Fall River, MA, Beach Terrace, RI, East Warren, RI, Laurel Park, RI, Swansea, MA, Newport, RI, Tourister Mill, Harris Mill .",41.8853,-71.366,ri
248333,https://providence.craigslist.org/apa/d/providence-limitless-style-unreal/7050440641.html,rhode island,2100,apartment,1134,2,1.5,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00606_12FclFVPD6j_600x450.jpg,"Tired of the same boring apartment complexes filling up your feed? Come see Providenceâs hottest new loft community at ALCO- the newest phase at U.S. Rubber Lofts! This luxurious historic mill community captures the chic, urban spirit of Providence, with sleek, modern kitchens, exposed brick & beam architecture, and elegant designer finishes throughout; and with downtown Providence just walking distance away, you have easy access to all the amazing dining, shopping, entertainment and night life our great city has to offer.  Convenient extras such as in-unit washer/dryer, individual heating and cooling control and garage parking add to the ease and convenience of life in this upscale urban rental community. Our residents also enjoy 24 hour access to an assortment of on-site amenities, including a fully-equipped fitness center, community game room, theater room with cinema-style seating, courtyard with gas fire pit, indoor basketball court and putting green, and even a rooftop deck with panoramic city views.   ACT NOW and get 2 months FREE rent with a NEW 15-month lease on select apartments only at US Rubber Lofts. (Limited time offer, subject to change. New tenants only, not transferable.)  $500 security deposit with your good credit on all one and two bedroom apartments. Owned and professionally managed by Brady Sullivan Properties. Call  show contact info  for a personal tour today! Our Leasing office is open Mon/Weds/Fri/Sat/Sun 8:30am-5:00pm, and Tues/Thurs 8:30am-7:00pm, at 12 Eagle Street in Providence. Weâre also weâre available online at usrubberlofts.com.  *Prices are subject to change at any time.  Photos may represent similar apartment.               VD                           Keywords: ALCO, Butcher Block Mill, U.S Rubber Lofts, Slater Cotton Mill, Grant Mill, Lofts at Pocasset Mill, Lofts at Anthony Mill, American Wire, West Warwick, RI, Foster, RI, Exeter, RI, East Greenwich, RI, Plainfield, CT, Greenville, RI, Warwick, RI, Cranston, RI, North Providence, RI, Providence, RI, Smithfield, RI, Hopkinton, RI, Kingston, RI, Pascoag, RI, East Providence, RI, Tourister Mill, Harris Mill, Johnston, RI, Warren, RI",41.827,-71.4361,ri
248380,https://providence.craigslist.org/apa/d/providence-us-rubber-has-everything-you/7050438104.html,rhode island,1700,apartment,929,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00909_1cLmY78xRt4_600x450.jpg,"Come discover the unparalleled elegance of luxury loft living at ALCO, the latest addition to The US Rubber Lofts in Providence! These beautiful 1 - 4 bedroom loft apartments feature sleek modern kitchens, exposed brick and beams, vaulted ceilings and designer finishes throughout, including gas fireplaces in select units! Convenient extras such as in-unit washer/dryer, individual heating and cooling control and garage parking add to the ease and convenience of life in this upscale urban community. Residents of U.S. Rubber Lofts also enjoy 24 hour access to an assortment of nicely appointed on-site amenities, including fully-equipped fitness center, indoor basketball court, courtyard & gas fire pit, community game room and indoor putting green. Watch your favorite sports and movies on the big screen in our Theatre room with cinema-style seating,  or take in the panoramic view of Providence from our roof-top deck. U.S. Rubber Lofts is a pet-friendly community. Ask for details about our pet policy, and use of our FREE pet washing station!  ACT NOW and get 2 months FREE rent with a NEW 15-month lease on select apartments only at US Rubber Lofts. (Limited time offer, subject to change. New tenants only, not transferable.)  $500 security deposit with your good credit on all one and two bedroom apartments. Owned and professionally managed by Brady Sullivan Properties. To schedule a personal tour, call us today at  show contact info  or click on the REPLY box above for our email contact info.      Call  show contact info  for a personal tour today! Our Leasing office is open Mon/Weds/Fri/Sat/Sun 8:30am-5:00pm, and Tues/Thurs 8:30am-7:00pm, at 12 Eagle Street in Providence. Weâre also weâre available online at usrubberlofts.com.  *Prices are subject to change at any time.  Photos may represent similar apartment.                              MH   Keywords: ALCO, Butcher Block Mill, U.S Rubber Lofts, Slater Cotton Mill, Grant Mill, Lofts at Pocasset Mill, Lofts at Anthony Mill, American Wire, West Warwick, RI, Foster, RI, Exeter, RI, East Greenwich, RI, Plainfield, CT, Greenville, RI, Warwick, RI, Cranston, RI, North Providence, RI, Providence, RI, Smithfield, RI, Hopkinton, RI, Kingston, RI, Pascoag, RI, East Providence, RI, Tourister Mill, Harris Mill, Johnston, RI, Warren, RI",41.8271,-71.4361,ri
248395,https://providence.craigslist.org/apa/d/providence-blending-relaxation/7048667436.html,rhode island,2100,apartment,1253,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00t0t_5dAoxuEOk4X_600x450.jpg,"Tired of the same boring apartment complexes filling up your feed? Come see Providenceâs hottest new loft community at ALCO- the newest phase at U.S. Rubber Lofts! This luxurious historic mill community captures the chic, urban spirit of Providence, with sleek, modern kitchens, exposed brick & beam architecture, and elegant designer finishes throughout; and with downtown Providence just walking distance away, you have easy access to all the amazing dining, shopping, entertainment and night life our great city has to offer.  Convenient extras such as in-unit washer/dryer, individual heating and cooling control and garage parking add to the ease and convenience of life in this upscale urban rental community. Our residents also enjoy 24 hour access to an assortment of on-site amenities, including a fully-equipped fitness center, community game room, theatre room with cinema-style seating, courtyard with gas fire pit, indoor basketball court and putting green, and even a rooftop deck with panoramic city views.   ACT NOW and get 2 months FREE rent with a NEW 15-month lease on select apartments only at US Rubber Lofts. (Limited time offer, subject to change. New tenants only, not transferable.)  $500 security deposit with your good credit on all one and two bedroom apartments. Owned and professionally managed by Brady Sullivan Properties. Call  show contact info  for a personal tour today! Our Leasing office is open Mon/Weds/Fri/Sat/Sun 8:30am-5:00pm, and Tues/Thurs 8:30am-7:00pm, at 12 Eagle Street in Providence. Weâre also weâre available online at usrubberlofts.com.  *Prices are subject to change at any time.  Photos may represent similar apartment.               VD                                   Keywords: ALCO, Butcher Block Mill, U.S Rubber Lofts, Slater Cotton Mill, Grant Mill, Lofts at Pocasset Mill, Lofts at Anthony Mill, American Wire, West Warwick, RI, Foster, RI, Exeter, RI, East Greenwich, RI, Plainfield, CT, Greenville, RI, Warwick, RI, Cranston, RI, North Providence, RI, Providence, RI, Smithfield, RI, Hopkinton, RI, Kingston, RI, Pascoag, RI, East Providence, RI, Tourister Mill, Harris Mill, Johnston, RI, Warren, RI",41.827,-71.4361,ri
248411,https://providence.craigslist.org/apa/d/cranston-beautiful-move-in-ready/7046464333.html,rhode island,1310,apartment,740,1,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/01010_5Xq53GlDEDk_600x450.jpg,"Willowbrook Apartments  show contact info  (available 24 hours a day)  Rental Address: 825 Pontiac Avenue | Cranston, RI  Apartment Number: Telephone number:  show contact info  Rent: $1,310 Deposit: $299-$1,310 Community Fee: $25 per month Available: 1/5 Dog Friendly: Yes, allowing one dog in select buildings up to 75 lbs (breed restrictions apply) Dog Fee: $40/month Cat Friendly: Yes, allowing up to two cats per apartment Cat Fee: $25/month Utilities Paid by Resident: Electric, Internet/Cable Website: http://www.WillowbrookApartmentHomes.com  Office Hours: Mon-Fri: 8:00am-6:00pm Sat: 9:30am-5:00pm Sun: 12:00pm-5:00pm    Located on the banks of the Pocasset River in the heart of Cranston, Willowbrook Apartment Homes offer the modern luxuries you have come to expect. Willowbrook's central location is just minutes from Providence allowing you to immerse yourself in the cultural and entertainment experiences the capital city has to offer. You can also sink your toes into the sand at the famous beaches of Rhode Island or shop until you drop before enjoying a succulent meal at the large shopping centers which feature many stores, boutiques, and fine dining.  Our spacious one and two bedroom apartments come well-appointed with all the features and fine finishes uniquely created with you in mind. We offer fully-equipped gourmet kitchens with gas stoves and modern countertops, spacious walk in closets, private balcony and patios, 9 ft ceilings, and so much more! Relax by our lavish pool, enjoy a vigorous work out at our state-of-the-art fitness center, unwind at one of our weekly yoga classes, or bring your pup to our new dog park. We have something to offer for everyone! Our picturesque community is pet friendly, so bring the whole family!    Apartment Features:  Air Conditioning Breakfast Bar Brushed Nickel Fixtures and Accents Cable Ready Carpeted Floors Ceiling Fan(s) Dishwasher-Select Units Furnished Available Granite Bathroom Vanities Tiled Kitchen and Bathroom Intercom System Private Balconies and Patios Modern Countertops Community Amenities    Community Advantages  Access to Public Transportation Basketball Court(s) Beautiful Landscaping Business Center Clubhouse Copy & Fax Services Corporate Housing Available Easy Access to Freeways Easy Access to Shopping Intercom System Laundry Facility On-site Management On-site Notary Seasonal Resident Activities Shimmering Swimming Pool(s) Snow Removal Service State-Of-The-Art Fitness Center UPS/Fed Ex Package Acceptance Grilling Station    Ask us about our Preferred Employer Program!  Are you employed by one of the following companies?  Alex & Ani American Power Conversion Amgen Bank of America Blue Cross Blue Shield Brown University Dept. of Medical Ed. Citizens Bank Cox Communications Electric Boat Fidelity Investments FM Global G-Tech Hasbro  Hexagon Hospital Employees KVH Lockheed Martin NUWC Raytheon RI Dept. of Corrections SEACORP Toray Plastics United Parcel Service  You are eligible for special incentives!  Ask a leasing professional today!  Willowbrook Apartments  show contact info",41.7766,-71.4383,ri
248440,https://providence.craigslist.org/apa/d/providence-where-the-city-is-your/7050435452.html,rhode island,1755,apartment,809,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00606_2wzTPpJwFNQ_600x450.jpg,"Be one of the first to tour the beautiful, brand new apartments at ALCO- the latest addition to The US Rubber Lofts in Providence! If youâve been apartment hunting recently, then you know that there are plenty of cookie-cutter options out there- this DEF isnât one of them! These chic, historic mill lofts are unlike anything else you have seen, with beautifully upgraded  kitchens, exposed brick and beams, soaring ceilings and designer finishes throughout, even a gas fireplace in select units! Convenient extras such as in-unit washer/dryer, individual heating and cooling control and garage parking add to the ease and convenience of life in this upscale urban community. An assortment of convenient on-site amenities completes the package, including indoor basketball court, community game room, fully-equipped fitness center, state-of-the-art theatre room with big screen tv and cinema-style seating, an indoor putting green and a sunny rooftop deck with panoramic views of Providence.  We offer a variety of 1-4 bedroom/1-2 bath floorplans to choose from, come in and find your perfect space! Stop by for personal tour of this stunning property, and when youâre done take a quick walk to downtown Providence and enjoy a taste of some of the fantastic dining and shopping youâll have at your fingertips when you live with us at US Rubber!   U.S. Rubber Lofts is a pet-friendly community. Ask for details about our pet policy, and use of our FREE pet washing station!  ACT NOW and get 2 months FREE rent with a NEW 15-month lease on select apartments only at US Rubber Lofts. (Limited time offer, subject to change. New tenants only, not transferable.)  $500 security deposit with your good credit on all one and two bedroom apartments. Owned and professionally managed by Brady Sullivan Properties.  To schedule a personal tour, call us today at  show contact info  or click on the REPLY box above for our email contact info.      Call  show contact info  for a personal tour today! Our Leasing office is open Mon/Weds/Fri/Sat/Sun 8:30am-5:00pm, and Tues/Thurs 8:30am-7:00pm, at 12 Eagle Street in Providence. Weâre also weâre available online at usrubberlofts.com.  *Prices are subject to change at any time.  Photos may represent similar apartment.          VD                                                        Keywords: ALCO, Butcher Block Mill, U.S Rubber Lofts, Slater Cotton Mill, Grant Mill, Lofts at Pocasset Mill, Lofts at Anthony Mill, American Wire, West Warwick, RI, Foster, RI, Exeter, RI, East Greenwich, RI, Plainfield, CT, Greenville, RI, Warwick, RI, Cranston, RI, North Providence, RI, Providence, RI, Smithfield, RI, Hopkinton, RI, Kingston, RI, Pascoag, RI, East Providence, RI, Tourister Mill, Harris Mill, Johnston, RI, Warren, RI",41.827,-71.4361,ri
248446,https://providence.craigslist.org/apa/d/providence-always-fresh-forever/7050432729.html,rhode island,1475,apartment,687,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00F0F_5L1eHWcFBbX_600x450.jpg,"Come discover the unparalleled elegance of luxury loft living at ALCO, the latest addition to The US Rubber Lofts in Providence! These beautiful 1 - 4 bedroom loft apartments feature sleek modern kitchens, exposed brick and beams, vaulted ceilings and designer finishes throughout, including gas fireplaces in select units! Convenient extras such as in-unit washer/dryer, individual heating and cooling control and garage parking add to the ease and convenience of life in this upscale urban community. Residents of U.S. Rubber Lofts also enjoy 24 hour access to an assortment of nicely appointed on-site amenities, including fully-equipped fitness center, indoor basketball court, courtyard & gas fire pit, community game room and indoor putting green. Watch your favorite sports and movies on the big screen in our Theatre room with cinema-style seating,  or take in the panoramic view of Providence from our roof-top deck. U.S. Rubber Lofts is a pet-friendly community. Ask for details about our pet policy, and use of our FREE pet washing station!  ACT NOW and get 2 months FREE rent with a NEW 15-month lease on select apartments only at US Rubber Lofts. (Limited time offer, subject to change. New tenants only, not transferable.)  $500 security deposit with your good credit on all one and two bedroom apartments. Owned and professionally managed by Brady Sullivan Properties. To schedule a personal tour, call us today at  show contact info  or click on the REPLY box above for our email contact info.      Call  show contact info  for a personal tour today! Our Leasing office is open Mon/Weds/Fri/Sat/Sun 8:30am-5:00pm, and Tues/Thurs 8:30am-7:00pm, at 12 Eagle Street in Providence. Weâre also weâre available online at usrubberlofts.com.  *Prices are subject to change at any time.  Photos may represent similar apartment.      VD                                  Keywords: ALCO, Butcher Block Mill, U.S Rubber Lofts, Slater Cotton Mill, Grant Mill, Lofts at Pocasset Mill, Lofts at Anthony Mill, American Wire, West Warwick, RI, Foster, RI, Exeter, RI, East Greenwich, RI, Plainfield, CT, Greenville, RI, Warwick, RI, Cranston, RI, North Providence, RI, Providence, RI, Smithfield, RI, Hopkinton, RI, Kingston, RI, Pascoag, RI, East Providence, RI, Tourister Mill, Harris Mill, Johnston, RI, Warren, RI",41.827,-71.4361,ri
