,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
253494,https://sd.craigslist.org/apa/d/rapid-city-3-bedrooms-2-bathrooms/7045901158.html,south dakota,1295,house,1700,3,2.0,0,0,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00H0H_l6a7lsNnZiC_600x450.jpg,"3 Bedroom, 2 bath home between 5th and Mt Rushmore rd, close to hospital, finished basement with family room,  walk out lower level, rent is 1295. Call Larry  show contact info .",44.0686,-103.229,sd
253506,https://sd.craigslist.org/apa/d/vermillion-4-5-bedroom-house-june-1/7045524989.html,south dakota,895,house,1200,5,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00x0x_bxhgG1AyNXV_600x450.jpg,"4-5 bedroom 1 bath house. 302 N Franklin. $895/month. Plus utilities and garbage. Available June 1, 2020  Offered by Owners. No smoking. Dog ok. 24 hrs notice for showing.",42.7951,-96.9258,sd
256283,https://siouxfalls.craigslist.org/apa/d/sioux-falls-two-bedroom-townhome/7037647540.html,sioux falls / SE SD,1055,townhouse,1047,2,1.5,1,1,0,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00a0a_dA1ihKq6PrT_600x450.jpg,"Beautiful, cozy two bed townhome located on the west side of Sioux Falls by the corner of 41st Street and Tea Ellis Road at West Briar Commons, professionally managed by Lloyd Companies and available to rent. Attached Garage, Street level parking, and Washer and Dryer in unit.",43.5179,-96.7924,sd
256351,https://siouxfalls.craigslist.org/apa/d/sioux-falls-youll-feel-like-you-live-on/7019747094.html,sioux falls / SE SD,1050,house,1550,3,2.0,1,1,1,0,0,0,laundry in bldg,attached garage,https://images.craigslist.org/00H0H_8tnhpwMCVLy_600x450.jpg,"NO backyard neighbors for this cozy home. You'll feel like you live on a lake when you look out your kitchen window, because you basically do. Modern colors and finishes make this house shine, and the 3 stall garage is oversized, ready for parking and recreation.",43.5179,-96.7924,sd
256610,https://siouxfalls.craigslist.org/apa/d/sioux-falls-1-free-month/7016040016.html,sioux falls / SE SD,825,apartment,771,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00H0H_eq3nzDifHeT_600x450.jpg,"-NO APPLICATION FEES -$199 standard security deposit -Beautiful new community!  -One ($825), two ($945) and three ($1145) bedroom apartments available.  -Quick application process -Pet friendly (dog park)  -Central heat and air -Heated outdoor pool -Garages available -In unit laundry",43.4753,-96.7446,sd
264369,https://siouxfalls.craigslist.org/apa/d/sioux-falls-3-beds-1-bath-912-sqft/7039935485.html,sioux falls / SE SD,800,house,912,3,1.0,1,1,1,0,0,0,w/d hookups,attached garage,https://images.craigslist.org/00x0x_fdRZczr6Rgh_600x450.jpg,"Cute 3 beds 1 bath 912 sqft home with hardwood floors in the living room and all three main floor bedrooms, nice back yard, and single attached garage. Lower level is unfinished with a lot of room for storage. Close to Horace Mann elementary school. Dishwasher Flooring: Hardwood Heating: Other Living room Range/Oven Refrigerator Storage Space Yard",43.523999999999994,-96.7341,sd
264398,https://siouxfalls.craigslist.org/apa/d/vermillion-1-bedroom-1-bath-garden/7039857155.html,sioux falls / SE SD,595,apartment,425,1,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00c0c_cTVC14EUM8y_600x450.jpg,"Under NEW ownership & Management 1 Bedroom / 1 Bath Garden Apartment located close to schools, shopping and parks.  Pet friendly, con-op washer & dryer in the building.  Off street parking   Available Immediately",42.7827,-96.9465,sd
264483,https://siouxfalls.craigslist.org/apa/d/sioux-falls-big-yard-4-bedroom-2-baths/7032209175.html,sioux falls / SE SD,925,house,1232,3,2.0,0,1,1,0,0,0,,,https://images.craigslist.org/00707_8F4Wz0T0taf_600x450.jpg,"Theater, Stores, Library and much more. HVAC 2018, Water heater 2018, Replacement windows. Good 1st buyer home or rental. Lennox Chester Matlock",43.4817,-96.8217,sd
269103,https://sd.craigslist.org/apa/d/vermillion-2-bed-1-bath-apartment-for/7029203486.html,south dakota,695,apartment,700,2,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00b0b_gTCifwsnSzs_600x450.jpg,"Property Name: Vermillion Applewood  Property Address: 1015 W Clark St., Vermillion, SD, 57069  Property Type: Apartment  Rent: $696 per month  Bedrooms: 2  Bathrooms: 1  Pets Allowed: yes  Additional Information/Details:  2 bed 1 bath apartment. $695 for rent and $695 for deposit. Pets will be considered, coin laundry on site. Tenant is responsible for paying electricity. Water/sewer/garbage is included in rent.  Have Questions? Please call Lori at  show contact info",42.7951,-96.9258,sd
269441,https://sd.craigslist.org/apa/d/harrison-4-bedroom-2-baths-great-schools/7037123078.html,south dakota,1235,house,1954,4,1.5,1,1,1,0,0,0,,,https://images.craigslist.org/00h0h_4wB55x0RDI6_600x450.jpg,"Good maintained 1.5 story offers room for everyone. Features add a brick patio*hardwood flrs in admittance, kitchen & bath*vaulted ceilings in master & 2nd bdrm*whirlpool tub & double vanity in master bath*ceiling fans in almost every room*kitchen isle*see through fire place from great room to kitchen*damp bar in cellar & a lot more. All this sits in a park like placing w/mature trees and shrubs & landscaping. Belle Fourche Flandreau Dell Rapids Harrisburg",43.4381,-98.6086,sd
