,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
312297,https://vermont.craigslist.org/apa/d/unique-living-opportunity/7048105227.html,vermont,1500,apartment,700,1,2.0,1,1,0,0,0,1,laundry in bldg,off-street parking,https://images.craigslist.org/00I0I_f61bDdTl272_600x450.jpg,"Spacious one bedroom apartment. All utilities included. Rural setting on beautiful land with access to year round trails.  Available now. Adjoined to larger house where family lives, however each dwelling is separate and private. Good place for pets. Must be ok with dirt road.",44.3233,-72.9517,vt
314719,https://vermont.craigslist.org/apa/d/underhill-spacious-home-with-acreage/7043904032.html,vermont,1800,house,1872,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00v0v_2EJTjUv7xDM_600x450.jpg,"3 bed 2 bath house on 8.6 acres in Westford. Built in 1993, has full walkout basement and plenty of land. Master bedroom has attached bath, all appliances (W/D, microwave, stove, etc) included. Propane furnace and woodstove, can use either, but gas is cheap. Animals ok, chicken coop in the yard. 1 year lease, 1st month and 1 month deposit on move-in. Call  show contact info",44.5391,-72.9258,vt
314725,https://vermont.craigslist.org/apa/d/montpelier-two-bedroom-townhouse/7046959669.html,vermont,1400,condo,1200,2,1.5,0,0,0,0,0,0,w/d in unit,detached garage,https://images.craigslist.org/00A0A_eQdkybrMJl1_600x450.jpg,"Two bedroom townhouse on Freedom Drive in Montpelier. 1.5 bathrooms. Large living room and sun room. Less than one mile from National Life and downtown Montpelier. Rent includes trash, snow removal, lawn care, and use of garage and pool. Tenants are responsible for gas and electricity.  $1400/month  Contact Sally Bouffard at  show contact info .",44.2454,-72.585,vt
315423,https://vermont.craigslist.org/apa/d/essex-junction-utilities-heat-air/7030000500.html,vermont,1300,condo,583,1,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00j0j_gcJDv77c5qH_600x450.jpg,"One bedroom 1 bathroom end unit ground floor condo in Essex/Essex Jct/Colchester.  Close to IBM/Global Foundries, St. Michaels College, CCV, Winooski, Exit 15, UVM, UVM Medical Center. Below market.. $1300 is all inclusive which includes all utilities except phone, internet, cable.  Inclusions are heat, power, A/C, water, sewer, trash removal, seasonal heated swimming pool, exercise room, storage unit,  parking, snow removal.  coin operated laundry facilities on site.   NO smoking, NO pets.  call  show contact info  (leave a message)  Available Now!",44.5158,-73.1237,vt
315430,https://vermont.craigslist.org/apa/d/wilmington-mt-snow-furnished-wilmington/7013649299.html,vermont,850,apartment,800,1,1.0,0,0,0,0,0,1,no laundry on site,off-street parking,https://images.craigslist.org/00R0R_2aVpAZVfNNn_600x450.jpg,"Mount Snow Village Apartment, walking distance to Historic Wilmington Village; a quintessential New England Town with multiple dining options, unique shops and galleries; many featuring local artisans. Large open plan kitchen, dining and living room. One bedroom and one full bath. Furnished with a private rear deck, refrigerator, stove and microwave, and off street parking. Year round activities minutes from your door include winter sports on Mt Snow, snowmobiling, hiking, water sports on Lake Harriman, biking and leaf peeping to name just a few. On the Movers Transit. Will also consider seasonal rental.",42.8659,-72.8644,vt
315436,https://vermont.craigslist.org/apa/d/saint-albans-apartment-for-rent-st/7031537443.html,vermont,1200,apartment,1200,2,2.0,1,1,0,0,0,0,laundry on site,attached garage,https://images.craigslist.org/00q0q_dQBWIdkFsLH_600x450.jpg,"2 Bedroom 2 bath Apartment for rent. Hardwood floors, tile in 2 full baths. Large living space . fully appliance large kitchen, Natural Gas for heat and cooking , everything is energy efficient, Garage parking, elevators ,Available End of December . Pets ok. Please call  show contact info  .",44.7931,-73.0965,vt
315499,https://vermont.craigslist.org/apa/d/white-river-junction-3-bedroom-house/7029893846.html,vermont,1500,house,1124,3,1.0,0,0,1,0,0,0,w/d hookups,detached garage,https://images.craigslist.org/00e0e_h3O1ID5PBjI_600x450.jpg,"Newly renovated ranch style home in heart of White River Junction. 3 bedrooms 1 bath. Full, unfinished basement. Detached 1 car garage. Rent is $1500, tenant pays all utilities. Security deposit $2000. Pet negotiable with references and additional deposit. Application and references required. This post has been modified and is being used as a scam. I will not ask you to send money.",43.6722,-72.3813,vt
315505,https://vermont.craigslist.org/apa/d/burlington-2-bdr-25-bath-yard-private/7031480002.html,vermont,2500,condo,1570,2,2.5,0,0,1,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00v0v_hWtE2nX5VxG_600x450.jpg,"Clean, freshly painted condo for rent in Burlington hill section - close to Burlington Country Club. Offered unfurnished.   Details: - 2 full bedrooms w/ lake views - 2.5 bathrooms - Washer/dryer - 1 car garage plus off street parking - Open dining area - Living room w/ wood burning fireplace - Extensive built-ins - Private deck area - Access to 7-acre shared open space - Basement w/ storage space - Electric heat - Water included other utilities paid by tenant  Please email with any inquiries.",44.4665,-73.2047,vt
315550,https://vermont.craigslist.org/apa/d/vershire-vershire-vt-2-br-apt-heat-and/7011025733.html,vermont,950,apartment,1000,2,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00N0N_eenABpQSdWP_600x450.jpg,"AVAILABLE FOR THE September---Bright second floor  5+ rooms/ 2 BR apt!  NEW CARPET JUST INSTALLED!!   Nice KIT with  dining area, big,   large livingroom and 2 BRs plus full Bath.  Country setting but accessible all year long off Route 113. Estimate 1000 square feet of living area, coin operated washer and dryer on site.  Two porches.High speed internet is available! Responsible persons with references and deposit.  Occupancy  Sept. Call  show contact info",43.9864,-72.3673,vt
315555,https://vermont.craigslist.org/apa/d/burlington-amazing-location/7024885024.html,vermont,1600,apartment,800,2,1.0,0,0,0,0,0,0,,off-street parking,https://images.craigslist.org/00D0D_iQ5QnGos0xf_600x450.jpg,"This apartment is on popular Pine St. in the south end just steps away from the farmers  market, downtown and great restaurants. Included is spacious rooms throughout, plenty of parking, rubbish and water. Available 6/1/20, lease and no pets/smoke please.  show contact info",44.483999999999995,-73.2199,vt
316726,https://vermont.craigslist.org/apa/d/middlebury-quiet-living-working-space/7046859773.html,vermont,1250,apartment,1015,2,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00z0z_5Dfe0IuA5th_600x450.jpg,"Large, versatile two bedroom apartment with  plenty of natural light and parking. Walk to everything in Middlebury (it's right across the creek from Hannaford Career Center). Lower level apartment, with no stairs to climb. This unit has recently undergone extensive renovations and upgrades to prepare the building for sale. Two large bedrooms (one could be a great office) that are separated for extra privacy. Each apartment in the building has its own new furnace. Gas and electric service separately metered. Laundry room right next to the apartment's entrance. No smoking, no pets, no exceptions. (Possibly available earlier than 2/1/20)",44.0058,-73.1603,vt
