,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
335666,https://charlestonwv.craigslist.org/apa/d/elkview-charleston-townhouse-pinch/7030904075.html,charleston,750,townhouse,1300,3,1.5,0,0,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00R0R_4CBwsdj9184_600x450.jpg,Great Rental located just 12- 15 minutes outside of Charleston (Pinch),38.4732,-81.4682,wv
335987,https://charlestonwv.craigslist.org/apa/d/charleston-all-utilities-included-2/7050244084.html,charleston,1200,apartment,1000,2,1.0,1,0,1,0,0,0,laundry in bldg,street parking,https://images.craigslist.org/00F0F_1YPBg4uSkFU_600x450.jpg,"All utilities included, available Jan. 25 Walk to downtown, Farmers Market, Clay Center, Ball Park Central Air and heat, newly renovated, new stove and refrigerator Safe secure, well lit, owner landlord on site",38.3433,-81.6265,wv
336034,https://charlestonwv.craigslist.org/apa/d/knoxville-everything-you-need-all-right/7045071768.html,charleston,1160,apartment,717,1,1.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00404_bkxMEbm4Y7m_600x450.jpg,"To schedule a tour We now book our tour appointments online! Please call or text us at   show contact info  to self-schedule from your phone! Book your appointment online today or anytime 24/7! Property Description Features bright airy windows, patio/balcony, tall ceilings, granite counter tops, stainless appliances, farm-style sink, kitchen pantry, weathered barnwood style flooring, high-efficiency washer/dryer, walk-in closet, and spa-like bathroom.Enjoy picturesque waterfront living at The Village at Westland Cove. We offer one, two, and three bedroom apartment homes located on Fort Loudoun Lake, making your home at our community your own personal retreat. Each luxurious home features spacious bedrooms, chef-inspired kitchens, and spa bathrooms with granite counter tops and either a walk-in shower or tub with showerhead. The Village at Westland Cove will also offer garage parking. Residents of our West Knoxville apartments will have exclusive access to our clubhouse, lakefront pool, bark park, fitness on demand and more! Our community is also close to I-140 for an easy commute to Downtown, the airport, Northshore Town Center, West Town Mall, and nearby Turkey Creek shopping area.Come home to our brand-new, lakeside apartments in Knoxville, Tennessee. Details Availability date: Today Pets: Cats, Small Dogs (< 25lb), Large Dogs (> 25lb) Pet notes: Two pet limit.  No weight limit.  Above 50 pounds, restricted to certain floor levels.  Breed restrictions apply. Deposit: $250 with approved credit Leasing options:  Leasing notes: None Application fee: $50 per applicant Amenities Included in Utilities Cost:  Utilities Cost:  Laundry: In Unit Parking type: Garage parking available, Ample community parking  Parking notes: Garages available. Appliances: Washer/Dryer, Stainless kitchen appliances, Smooth top stoves Exterior: Balcony/patio, Lake, Dock, Small water craft launch, Lots of sidewalk trails Heating/cooling: Ceiling fans Wiring: Two internet & cable options available Facilities and Recreation: Dock, Covered grilling pavillion, Business center with meeting space, Traditional fitness center, Fitness on Demand virtual workouts, Lake side pool, Pet park, Community car care center, Bocce ball, Corn hole boards, Amazon Hub package locker, Door side trash pick-up, Fire pit, Outdoor heating at amenity areas, Wi-fi at pool and grilling areas Security and Access: Gated entry Views: Mountain, Lake, Wooded treetop views Additional features: Barn wood style flooring, Smoke-free community, Custom granite counter tops, Chef-inspired kitchens, Custom kitchen cabinetry, Double walk-in closets available, Removable goose-neck kitchen faucets, Double glassed-in showers available, Soaking bathtubs available, Resident Perks Program, Pet food delivery, Wine & spirits delivery, Granite kitchen & bathroom counter tops, 24-hour emergency maintenance Offered by: The Village of Westland Cove  Equal Housing Opportunity",35.884,-84.0976,wv
336091,https://charlestonwv.craigslist.org/apa/d/charleston-3-bedroom-house-for-rent-in/7011301371.html,charleston,750,house,1300,3,1.0,0,0,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00h0h_7iS4eGdMpCs_600x450.jpg,"For rent: 3 bedrooms. Dining room. Furnished kitchen. Washer-dryer hookups. Off-street parking. Fenced-in yard. Near bus line. Near Woodbridge subdivision, Charleston.   $750.00 per month $800.00 Security deposit  Call Jones Properties, LLC Tim Jones  show contact info",38.3508,-81.5838,wv
336114,https://morgantown.craigslist.org/apa/d/morgantown-spacious-2-br-2-ba-newly/7044522914.html,morgantown,900,duplex,1500,2,2.0,0,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00c0c_loWZnmMd1fc_600x450.jpg,"Spacious 2 bedroom, 2 bathroom duplex.  Walk to campus, AC, wood floors, Washer/Dryer, O/S parking, yard, covered porch and so much more.  Serious inquiries call or text  show contact info .  Inquire about pets.",39.64,-79.9526,wv
336399,https://charlestonwv.craigslist.org/apa/d/scott-depot-teays-valley-townhome-for/7045643633.html,charleston,800,apartment,950,2,1.5,1,1,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00x0x_7GJGVmsWGSw_600x450.jpg,"We have 1 unit available in Teays Valley - Park Circle Townhomes.  2 Bedrooms, 1 and 1/2 baths, 950 sq ft Townhome.  Very close to the highway access, and within walking distance of restaurants and shopping.  This is a quiet neighborhood, with great neighbors.  $800/month pet friendly (small dogs or cat)   Managed by Park Circle Properties, LLC",38.4501,-81.9005,wv
336409,https://charlestonwv.craigslist.org/apa/d/knoxville-where-excellence-and/7045802235.html,charleston,1562,apartment,1232,2,2.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00E0E_eP6B8Le75Da_600x450.jpg,"To schedule a tour We now book our tour appointments online! Please call or text us at   show contact info  to self-schedule from your phone! Book your appointment online today or anytime 24/7! Property Description Island kitchen, granite counter tops, stainless appliances, farm-style sink, kitchen pantry, coat closet, bright airy windows, tall ceilings, weathered barnwood style flooring, high-efficiency washer/dryer, walk-in closets, stand-up shower in guest bathroom, and patio/balcony.Enjoy picturesque waterfront living at The Village at Westland Cove. We offer one, two, and three bedroom apartment homes located on Fort Loudoun Lake, making your home at our community your own personal retreat. Each luxurious home features spacious bedrooms, chef-inspired kitchens, and spa bathrooms with granite counter tops and either a walk-in shower or tub with showerhead. The Village at Westland Cove will also offer garage parking. Residents of our West Knoxville apartments will have exclusive access to our clubhouse, lakefront pool, bark park, fitness on demand and more! Our community is also close to I-140 for an easy commute to Downtown, the airport, Northshore Town Center, West Town Mall, and nearby Turkey Creek shopping area.Come home to our brand-new, lakeside apartments in Knoxville, Tennessee. Details Availability date: Today Pets: Cats, Small Dogs (< 25lb), Large Dogs (> 25lb) Pet notes: Two pet limit.  No weight limit.  Above 50 pounds, restricted to certain floor levels.  Breed restrictions apply. Deposit: $250 with approved credit Leasing options:12-15 Leasing notes: None Application fee: $50 per applicant Amenities Included in Utilities Cost:  Utilities Cost:  Laundry: In Unit Parking type: Garage parking available, Ample community parking  Parking notes: Garages available. Appliances: Washer/Dryer, Stainless kitchen appliances, Smooth top stoves Exterior: Balcony/patio, Lake, Dock, Small water craft launch, Lots of sidewalk trails Heating/cooling: Ceiling fans Wiring: Two internet & cable options available Facilities and Recreation: Dock, Covered grilling pavillion, Business center with meeting space, Traditional fitness center, Fitness on Demand virtual workouts, Lake side pool, Pet park, Community car care center, Bocce ball, Corn hole boards, Amazon Hub package locker, Door side trash pick-up, Fire pit, Outdoor heating at amenity areas, Wi-fi at pool and grilling areas Security and Access: Gated entry Views: Mountain, Lake, Wooded treetop views Additional features: Barn wood style flooring, Smoke-free community, Custom granite counter tops, Chef-inspired kitchens, Custom kitchen cabinetry, Double walk-in closets available, Removable goose-neck kitchen faucets, Double glassed-in showers available, Soaking bathtubs available, Resident Perks Program, Pet food delivery, Wine & spirits delivery, Granite kitchen & bathroom counter tops, 24-hour emergency maintenance Offered by: The Village of Westland Cove  Equal Housing Opportunity",35.8839,-84.0973,wv
336440,https://morgantown.craigslist.org/apa/d/morgantown-townhouse-at-lakeview-golf/7023062547.html,morgantown,1275,townhouse,1200,2,2.5,0,0,0,0,0,0,w/d in unit,street parking,https://images.craigslist.org/00202_1DAmb7vI8XW_600x450.jpg,"Rent Price Reduced New Appliances:  Refrigerator, Range, Microwave, Dish Washer Washer, & Dryer Included Free Fitness Membership Rent plus utilities, (gas, electric)",39.6702,-79.8597,wv
336449,https://morgantown.craigslist.org/apa/d/morgantown-townhouse-at-lakeview-golf/7016639665.html,morgantown,1275,townhouse,1200,2,2.5,0,0,0,0,0,0,w/d in unit,street parking,https://images.craigslist.org/00202_1DAmb7vI8XW_600x450.jpg,"Rent Price Reduced New Appliances:  Refrigerator, Range, Microwave Washer, & Dryer Included Free Fitness Membership Rent plus utilities, (gas, electric)",39.6702,-79.8597,wv
336580,https://morgantown.craigslist.org/apa/d/morgantown-large-luxury-1bd-condo/7032972516.html,morgantown,1000,condo,870,1,1.0,0,0,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00D0D_4AatR7jvKyO_600x450.jpg,This top floor 1bd condo has a very large living room large walk in closet and very large bathroom.  Call Brittany today to schedule a tour  show contact info,39.6476,-79.9416,wv
