,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
339034,https://wyoming.craigslist.org/apa/d/glenrock-duplex-unit-available-in/7048053695.html,wyoming,1500,duplex,750,2,1.0,0,0,0,0,0,1,,off-street parking,https://images.craigslist.org/00s0s_hNMoYChatKN_600x450.jpg,"2 Bed/1 Bath upstairs duplex unit in Glenrock. Utilities & internet provided. Furnished, includes kitchenware, linens, & bi-weekly cleaning. No pets, no smoking, no exceptions. Month-to-month rental terms, $1500 p/month, $500 deposit.",42.8613,-105.87299999999999,wy
339555,https://wyoming.craigslist.org/apa/d/buffalo-buffallo-3-bedroom-1-bath/7031913833.html,wyoming,800,house,1100,3,1.0,0,0,1,0,0,1,w/d hookups,street parking,https://images.craigslist.org/00808_34Jv6HetDH0_600x450.jpg,"FOR RENT  THREE BEDROOM  ONE BATH,  FURNISHED!  Walk-to town and city park in minutes.Beautiful west sunset view of the  Big Hornn Mtn.  Feels more like a cabin/cottage...  Month to Month. CALL  MIKE  show contact info  . Available  December 15th.",44.2369,-106.656,wy
341318,https://wyoming.craigslist.org/apa/d/glenrock-duplex-unit-in-glenrock/7048050591.html,wyoming,1500,duplex,750,2,1.0,0,0,0,0,0,1,w/d in unit,off-street parking,https://images.craigslist.org/00202_2mRRqDaaFZo_600x450.jpg,"2 Bed, 1 Bath ground level unit with W/D in Glenrock. Utilities & internet provided. Furnished, includes kitchenware, linens, & bi-weekly cleaning. Clean and convenient. No pets, no smoking, no exceptions. Month-to-month rental terms, $1500 p/month, $500 deposit.",42.7803,-105.87200000000001,wy
341716,https://wyoming.craigslist.org/apa/d/cheyenne-clean-and-ready-to-move-in/7036809993.html,wyoming,900,house,1962,4,2.0,1,1,1,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00A0A_2kSmUvczwdk_600x450.jpg,"Clean and ready for you to move in! Nice detached garage or workshop, and 1 car attached garage to get in out of the weather. 4 bedrooms, 2 bathrooms, metal siding, storage shed, newer Pella windows. We invite you to come take a look at this great home for you and your family!",41.1496,-104.805,wy
346606,https://wyoming.craigslist.org/apa/d/victor-victor-1-bed-1-bath-yard/7034078177.html,wyoming,1050,duplex,750,1,1.0,0,0,1,0,0,0,no laundry on site,off-street parking,https://images.craigslist.org/00d0d_6G5ZNVUYuJk_600x450.jpg,"Quiet, spacious single story duplex on 1/2 acre lot in town (Victor), 1 bed 1 bath unit with yard. Long-term leases preferred (1 year). Walk to everything, shops, restaurants, grocery store,  bike path and bus.  Water, sewer, trash, and storage shed included. F/L/D, pets negotiable.   **  not all images in this post are from the exact unit for rent however all have the exact same floor-plan**  available now.   For more info. call Tim at  show contact info",43.606,-111.113,wy
346639,https://wyoming.craigslist.org/apa/d/mills-take-time-to-chase-the-snowflakes/7040747297.html,wyoming,1145,house,1685,4,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00c0c_2TzA3YeOf7i_600x450.jpg,"Enjoy a Mountain View from a spacious yard, located on the west side of town. Come build a snowman outside or entertain guests inside a spacious 4bd 2ba house for 1145/mo. *Income Restrictions Apply* 760 Landmark Dr.  Casper, Wy 82609 1 person - $33,480 2 person - $38,280 3 person - $43,080 4 person - $47,820 5 person - $51,660 6 person - $55,500 7 person - $59,340 8 person - $63,180 What is included?  LaundryÂ Â  Location: Private In-Home/In-SuiteOutdoor Spaces:Â Â  Use of Yard: Yes, West FacingÂ Â  BBQ Allowed: YesBuilding DetailsÂ Â  Elevator: NoÂ Â  Wheelchair Access: Yes",42.8261,-106.39,wy
346645,https://wyoming.craigslist.org/apa/d/mills-new-leasing-new-beginnings/7041265569.html,wyoming,1145,house,1685,4,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00c0c_2TzA3YeOf7i_600x450.jpg,"Enjoy a Mountain View from a spacious yard, located on the west side of town. Come build a snowman outside or entertain guests inside a spacious 4bd 2ba house for 1145/mo. *Income Restrictions Apply* 760 Landmark Dr.  Casper, Wy 82609 1 person - $33,480 2 person - $38,280 3 person - $43,080 4 person - $47,820 5 person - $51,660 6 person - $55,500 7 person - $59,340 8 person - $63,180 What is included?  LaundryÂ Â  Location: Private In-Home/In-SuiteOutdoor Spaces:Â Â  Use of Yard: Yes, West FacingÂ Â  BBQ Allowed: YesBuilding DetailsÂ Â  Elevator: NoÂ Â  Wheelchair Access: Yes",42.8261,-106.39,wy
346653,https://wyoming.craigslist.org/apa/d/victor-1-bdr-apartment-in-victor-at/7050972676.html,wyoming,700,apartment,580,1,1.0,0,0,0,0,0,1,w/d in unit,attached garage,https://images.craigslist.org/00G0G_7AqnWKjaNQc_600x450.jpg,"1 bdr with laundry and apartment sized kitchen. Wifi,Stereo and Flatscreen  Queensized bed . And also single bed .  Clean ,,,Next to Targee National forest. Very quiet neighborhood. First and last with deposit. Lease until june 1 .",43.6148,-111.126,wy
346655,https://wyoming.craigslist.org/apa/d/laramie-large-2-bdrm-garden-level-apt/7051280563.html,wyoming,800,apartment,1200,2,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00J0J_fG6Xdg56L5T_600x450.jpg,"Large 2 bedroom garden-level basement apartment for rent. $800 rent plus $200 utilities per month.  $800 deposit. Fireplace, off-street parking, shared laundry room with W/D, fenced back yard, lots of storage/closet space. Well-behaved spayed/neutered pets will be considered with an additional $100 deposit.  About 1 mile north of UW.  NO smoking/drugs/parties. 6 month to 1 year renewable lease.",41.4247,-105.478,wy
346656,https://wyoming.craigslist.org/apa/d/casper-plank-wood-style-flooring-non/7051205526.html,wyoming,1225,apartment,1193,2,2.0,1,1,0,1,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00b0b_71a2DW3evwC_600x450.jpg,"$500 Security Deposit with Approved Credit Granite 550 550 Granite Peak Dr, Casper, WY, 82609Interested in more information? See link below:http://EchelonPropertyGroup.touraptnow.com/i00770 Call Now:  show contact info  x 17OR Text 17 to  show contact info  to text with us.Apartments for Rent in Casper, WY! This is a 2 Bedroom, 2 Bath, approximately 1193 Sq. Ft.  At Granite 550, there are many great ways to spend your day without leaving the neighborhood with our many impressive onsite amenities. Entertain guests at the pool, park, or one of the community spaces. Year-round events bring excitement to our neighborhood and create a true sense of community. Onsite professional management services are also available 24/7, so you know you will always be taken care of. Features - Beautiful 1-, 2-, and 3-Bedroom Apartment Homes with Private Entries  - Plank-Wood Style Flooring  - In-Home Washer & Dryer  - Modern Kitchens with Granite Countertops, Islands*, and Stainless-Steel Appliances  - Grand 12-Foot Tall Ceilings  - Spacious Master Bedrooms with Walk-In Closets and Double Vanity Sinks  - Private Patio/Balcony  - Fully Furnished Homes Available*  - Central Heat & Air Conditioning *In Select Homes Community Amenities - Private Oversized Detached Garages Available with Power for Engine Block Heater, Power Tools, and More  - Resident Clubhouse Featuring a Business Center, TV Lounge & Rentable Party Space with a Pool Table & Foosball Table  - Non-Smoking Community  - Pet-Friendly Community with Dog Park & Pampered Pet Wash Station  - Sparking Heated Swimming Pool with Poolside Pavilion with Community BBQ Grills & Picnic Area  - 24-Hour Fitness Center with WellBeats OnDemand Virtual Classes, & TRX System  - Onsite Guest Suite Available  - Covered Car Center Including Vacuum Station  - Conference Room with AV Connections  - Community Playground  - Outdoor Fire-Pit Lounge Area  - On-Site Management with Courtesy Package Acceptance, 24-Hour Emergency Maintenance, and On-Call Courtesy Patrol Office Hours Monday-Friday:10:00AM-6:00PMSaturday:10:00AM-5:00PMPet Policy We love your pets and are excited to welcome them to their new home! We allow two pets per apartment home with a combined weight not exceed 160 lbs. Cats and dogs are welcome at our community although some breed restrictions apply.Pet Deposit for 1 Pet: $100Pet Fee for 1 Pet: $300Monthly Pet Rent for 1 Pet: $35Pet Deposit for 2 Pets: $200Pet Fee for 2 Pets: $500Monthly Pet Rent for 2 Pets: $65 Equal Housing Opportunity WtWX025esGH",42.8068,-106.189,wy
346657,https://wyoming.craigslist.org/apa/d/mills-warm-winter-wishes/7047386552.html,wyoming,1145,house,1685,4,2.0,1,1,1,0,0,0,w/d hookups,attached garage,https://images.craigslist.org/00c0c_2TzA3YeOf7i_600x450.jpg,"Enjoy a Mountain View from a spacious yard, located on the west side of town. Come build a snowman outside or entertain guests inside a spacious 4bd 2ba house for 1145/mo. *Income Restrictions Apply* 760 Landmark Dr.  Casper, Wy 82609 1 person - $33,480 2 person - $38,280 3 person - $43,080 4 person - $47,820 5 person - $51,660 6 person - $55,500 7 person - $59,340 8 person - $63,180 What is included?  LaundryÂ Â  Location: Private In-Home/In-SuiteOutdoor Spaces:Â Â  Use of Yard: Yes, West FacingÂ Â  BBQ Allowed: YesBuilding DetailsÂ Â  Elevator: NoÂ Â  Wheelchair Access: Yes",42.8261,-106.39,wy
346658,https://wyoming.craigslist.org/apa/d/mills-come-home-for-the-holidays-stay/7040373180.html,wyoming,1145,house,1685,4,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00c0c_2TzA3YeOf7i_600x450.jpg,"Enjoy a Mountain View from a spacious yard, located on the west side of town. Come build a snowman outside or entertain guests inside a spacious 4bd 2ba house for 1145/mo. *Income Restrictions Apply* 760 Landmark Dr.  Casper, Wy 82609 1 person - $33,480 2 person - $38,280 3 person - $43,080 4 person - $47,820 5 person - $51,660 6 person - $55,500 7 person - $59,340 8 person - $63,180 What is included?  LaundryÂ Â  Location: Private In-Home/In-SuiteOutdoor Spaces:Â Â  Use of Yard: Yes, West FacingÂ Â  BBQ Allowed: YesBuilding DetailsÂ Â  Elevator: NoÂ Â  Wheelchair Access: Yes",42.8261,-106.39,wy
346659,https://wyoming.craigslist.org/apa/d/mills-need-rest-call-the-best/7040666940.html,wyoming,1035,house,1285,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00z0z_a7skL8quTeu_600x450.jpg,"Enjoy a Mountain View from a spacious yard, located on the west side of town. Come build a snowman outside or entertain guests inside a spacious 3bd 2ba house for 1035/mo. *Income Restrictions Apply* 760 Landmark Dr.  Casper, Wy 82609 1 person - $33,480 2 person - $38,280 3 person - $43,080 4 person - $47,820 5 person - $51,660 6 person - $55,500 7 person - $59,340 8 person - $63,180 What is included?  LaundryÂ Â  Location: Private In-Home/In-SuiteOutdoor Spaces:Â Â  Use of Yard: Yes, West FacingÂ Â  BBQ Allowed: YesBuilding DetailsÂ Â  Elevator: NoÂ Â  Wheelchair Access: Yes",42.8261,-106.39,wy
346660,https://wyoming.craigslist.org/apa/d/mills-jack-frost-nipping-at-your-nose/7038352213.html,wyoming,1035,apartment,1285,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00c0c_2TzA3YeOf7i_600x450.jpg,"Enjoy a Mountain View from a spacious yard, located on the west side of town. Come build a snowman outside or entertain guests inside a spacious 3bd 2ba house for 1035/mo.  760 Landmark Dr.  Casper, Wy 82609 *Income Restrictions Apply* 1 person - $33,480 2 person - $38,280 3 person - $43,080 4 person - $47,820 5 person - $51,660 6 person - $55,500 7 person - $59,340 8 person - $63,180 What is included?  LaundryÂ Â  Location: Private In-Home/In-SuiteOutdoor Spaces:Â Â  Use of Yard: Yes, West FacingÂ Â  BBQ Allowed: YesBuilding DetailsÂ Â  Elevator: NoÂ Â  Wheelchair Access: Yes  CONTACT",42.8261,-106.39,wy
346661,https://wyoming.craigslist.org/apa/d/mills-cozy-warm-winter-wishes/7039416967.html,wyoming,1145,house,1685,4,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00c0c_2TzA3YeOf7i_600x450.jpg,"Enjoy a Mountain View from a spacious yard, located on the west side of town. Come build a snowman outside or entertain guests inside a spacious 4bd 2ba house for 1145/mo.  *Income Restrictions Apply* 760 Landmark Dr.  Casper, Wy 82609 1 person - $33,480 2 person - $38,280 3 person - $43,080 4 person - $47,820 5 person - $51,660 6 person - $55,500 7 person - $59,340 8 person - $63,180 What is included?  LaundryÂ Â  Location: Private In-Home/In-SuiteOutdoor Spaces:Â Â  Use of Yard: Yes, West FacingÂ Â  BBQ Allowed: YesBuilding DetailsÂ Â  Elevator: NoÂ Â  Wheelchair Access: Yes  CONTACT INFORMATION:Phone:Â  show contact info",42.8261,-106.39,wy
346662,https://wyoming.craigslist.org/apa/d/cheyenne-dr-bryan-home-renting/7042001751.html,wyoming,900,townhouse,2300,3,2.5,1,1,1,1,0,1,w/d in unit,attached garage,https://images.craigslist.org/00303_lzH8nLhHPWH_600x450.jpg,"GREAT NEW townhome! Super roomy with an finished basement.We are looking for courteous, respectful neighbors who treat other's property better than their own, consider their neighbors when setting the volume, and treat their home as their sanctuary. 1 month security deposit.  * Please text or call to Donald for questions or application Fees *",41.1437,-104.796,wy
346663,https://wyoming.craigslist.org/apa/d/mills-well-melt-your-heart/7039777788.html,wyoming,1145,house,1625,4,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00c0c_2TzA3YeOf7i_600x450.jpg,"Enjoy a Mountain View from a spacious yard, located on the west side of town. Come build a snowman outside or entertain guests inside a spacious 4bd 2ba house for 1145/mo. *Income Restrictions Apply* 760 Landmark Dr.  Casper, Wy 82609 1 person - $33,480 2 person - $38,280 3 person - $43,080 4 person - $47,820 5 person - $51,660 6 person - $55,500 7 person - $59,340 8 person - $63,180 What is included?  LaundryÂ Â  Location: Private In-Home/In-SuiteOutdoor Spaces:Â Â  Use of Yard: Yes, West FacingÂ Â  BBQ Allowed: YesBuilding DetailsÂ Â  Elevator: NoÂ Â  Wheelchair Access: Yes",42.8261,-106.39,wy
346664,https://wyoming.craigslist.org/apa/d/mills-snow-place-like-home-warm-with-us/7041400633.html,wyoming,1145,house,1685,4,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00c0c_2TzA3YeOf7i_600x450.jpg,"Enjoy a Mountain View from a spacious yard, located on the west side of town. Come build a snowman outside or entertain guests inside a spacious 4bd 2ba house for 1145/mo. *Income Restrictions Apply* 760 Landmark Dr.  Casper, Wy 82609 1 person - $33,480 2 person - $38,280 3 person - $43,080 4 person - $47,820 5 person - $51,660 6 person - $55,500 7 person - $59,340 8 person - $63,180 What is included?  LaundryÂ Â  Location: Private In-Home/In-SuiteOutdoor Spaces:Â Â  Use of Yard: Yes, West FacingÂ Â  BBQ Allowed: YesBuilding DetailsÂ Â  Elevator: NoÂ Â  Wheelchair Access: Yes",42.8261,-106.39,wy
